time m <n0> <cd>  nActive
7.4 13 0.853515637449 0.52381850474 16
7.5 13 0.851404934161 0.523786368896 16
7.6 14 0.849291305182 0.52371051559 16
7.7 15 0.847176056285 0.523603564868 16
7.8 15 0.845060486718 0.523477492792 18
7.9 15 0.842945878403 0.523343262635 20
8 16 0.84083348719 0.523210524547 20
8.1 16 0.838724528353 0.523087390526 20
8.2 17 0.836620171904 0.522980283657 20
8.3 17 0.834521529679 0.522893863668 20
8.4 17 0.832429648583 0.522831024934 20
8.5 18 0.83034550054 0.522792962061 20
8.6 18 0.828269975873 0.5227792934 20
8.7 19 0.826203875599 0.522788237056 20
8.8 19 0.824147905006 0.522816827694 20
8.9 19 0.822102668242 0.522861162971 20
9 19 0.820068666733 0.522916668423 20
9.1 19 0.818046288886 0.522978371159 20
9.2 21 0.816035814803 0.523041168896 20
9.3 22 0.814037412953 0.523100087107 20
9.4 23 0.812051140989 0.52315051375 20
9.5 22 0.810076947863 0.523188403838 20
9.6 22 0.808114676178 0.523210449719 20
9.7 22 0.806164067138 0.523214210204 20
9.8 22 0.80422476642 0.523198197375 20
9.9 22 0.8022963311 0.523161919262 20
10 22 0.800378237874 0.523105880008 20
10.1 22 0.798469891578 0.523031538067 20
10.2 22 0.796570637689 0.522941227563 20
10.3 22 0.794679767613 0.522838046826 20
10.4 24 0.792796533601 0.522725719329 20
10.5 24 0.790920160856 0.522608435393 20
10.6 24 0.789049858163 0.522490679278 22
10.7 23 0.787184830284 0.522377049522 20
10.8 23 0.785324288579 0.522272080301 20
10.9 24 0.783467462995 0.522180069336 22
11 24 0.781613612967 0.522104919035 22
11.1 24 0.779762037143 0.522049995926 22
11.2 25 0.777912083706 0.52201801343 22
11.3 25 0.776063156225 0.522010941348 22
11.4 25 0.774214724726 0.522029943232 22
11.5 25 0.77236632755 0.52207534442 22
11.6 25 0.770517579241 0.522146629936 22
11.7 25 0.7686681741 0.522242472088 20
11.8 26 0.766817887846 0.522360784603 22
11.9 26 0.76496658081 0.522498801058 22
12 26 0.76311419631 0.52265317493 22
12.1 26 0.761260760162 0.522820094873 22
12.2 27 0.759406378998 0.522995413048 22
12.3 26 0.757551237657 0.523174779961 22
12.4 27 0.755695594643 0.523353781528 22
12.5 28 0.753839775313 0.523528073469 22
12.6 28 0.751984169787 0.523693509101 22
12.7 28 0.75012922584 0.523846255318 22
12.8 28 0.74827544176 0.523982894301 22
12.9 28 0.746423359507 0.524100508228 22
13 29 0.744573558887 0.524196743027 24
13.1 29 0.742726648597 0.524269852972 24
13.2 30 0.740883259345 0.52431872285 22
13.3 29 0.739044036945 0.524342869219 24
13.4 30 0.737209633997 0.52434242151 24
13.5 29 0.735380703757 0.524318084552 24
13.6 30 0.733557893876 0.524271084495 24
13.7 30 0.731741838549 0.524203101456 24
13.8 30 0.729933152196 0.524116191594 24
13.9 32 0.728132425301 0.52401270076 24
14 31 0.726340218292 0.523895175347 24
14.1 33 0.724557059197 0.523766271506 24
14.2 33 0.722783433006 0.523628667497 24
14.3 33 0.721019783496 0.523484981533 24
14.4 34 0.719266508379 0.523337697169 24
14.5 34 0.717523958191 0.523189099028 24
14.6 34 0.715792429361 0.523041221149 24
14.7 34 0.714072167453 0.522895807226 24
14.8 34 0.71236336468 0.522754285396 24
14.9 34 0.710666157004 0.522617756823 24
15 34 0.708980627627 0.522486996201 24
15.1 35 0.707306804615 0.522362467062 24
15.2 35 0.705644663201 0.522244345378 24
15.3 36 0.703994126607 0.522132554526 24
15.4 38 0.702355068625 0.522026806793 24
15.5 39 0.700727315768 0.5219266497 24
15.6 37 0.699110649945 0.521831516389 24
15.7 38 0.697504812622 0.521740774915 24
15.8 39 0.695909506477 0.521653777804 24
15.9 39 0.694324401133 0.521569906886 24
16 42 0.692749137265 0.521488613445 24
16.1 39 0.691183330387 0.521409451744 24
16.2 39 0.68962657681 0.52133210417 24
16.3 40 0.688078457749 0.521256397888 24
16.4 42 0.686538544611 0.521182312644 24
16.5 42 0.685006405336 0.521109979431 24
16.6 43 0.683481608338 0.521039670628 24
16.7 41 0.681963728217 0.520971782082 24
16.8 43 0.680452350878 0.520906808652 24
16.9 44 0.678947078254 0.520845313817 24
17 44 0.67744753332 0.520787895569 24
17.1 44 0.675953365238 0.520735149509 26
17.2 45 0.674464250468 0.520687631538 26
17.3 44 0.672979900314 0.520645821383 26
17.4 44 0.671500060082 0.520610088171 26
17.5 45 0.670024514893 0.520580660436 26
17.6 44 0.668553091302 0.520557601053 26
17.7 45 0.667085658019 0.520540788576 26
17.8 45 0.665622127779 0.520529905391 28
17.9 45 0.664162457479 0.520524433805 28
18 46 0.662706648361 0.520523659303 28
18.1 46 0.661254746159 0.520526681729 28
18.2 47 0.659806837169 0.520532433795 28
18.3 47 0.658363049615 0.520539705461 28
18.4 48 0.656923551443 0.520547174396 28
18.5 48 0.655488545441 0.520553440681 28
18.6 48 0.654058267258 0.52055706482 28
18.7 49 0.652632982972 0.520556607375 28
18.8 50 0.65121298511 0.520550669023 28
18.9 50 0.64979858954 0.520537929576 28
19 50 0.648390128567 0.520517185053 28
19.1 50 0.646987949323 0.520487380484 28
19.2 50 0.645592409041 0.520447638689 28
19.3 50 0.644203871212 0.520397283021 28
19.4 51 0.642822699629 0.520335854036 28
19.5 51 0.641449256136 0.520263119628 28
19.6 52 0.640083896206 0.520179077501 28
19.7 53 0.638726964902 0.520083951869 28
19.8 53 0.637378793882 0.519978182572 28
19.9 56 0.636039696705 0.519862409351 28
20 55 0.634709967167 0.519737449494 28
20.1 56 0.633389876351 0.519604271421 28
20.2 59 0.63207966992 0.519463964993 28
20.3 56 0.630779566035 0.519317709531 28
20.4 58 0.629489754392 0.51916673998 28
20.5 57 0.628210394881 0.519012313319 28
20.6 56 0.626941614858 0.518855676821 28
20.7 58 0.625683510425 0.518698036788 28
20.8 56 0.624436146149 0.518540530859 28
20.9 57 0.623199554522 0.518384204545 28
21 58 0.621973735386 0.518229991532 28
21.1 59 0.620758658972 0.518078698907 28
21.2 60 0.619554264861 0.517930997662 28
21.3 60 0.618360464522 0.517787417672 28
21.4 59 0.617177141442 0.517648348126 28
21.5 60 0.616004154427 0.517514042276 28
21.6 61 0.614841338541 0.517384626332 28
21.7 62 0.613688507773 0.517260112069 28
21.8 62 0.612545457106 0.517140411925 28
21.9 62 0.611411964863 0.517025356653 28
22 63 0.610287796283 0.516914713706 28
22.1 63 0.609172704074 0.516808206328 28
22.2 62 0.608066433242 0.516705532074 28
22.3 65 0.606968722603 0.516606380314 28
22.4 66 0.605879308133 0.516510447611 28
22.5 65 0.604797925637 0.516417451121 28
22.6 67 0.603724313505 0.516327138796 28
22.7 69 0.602658215109 0.516239297427 28
22.8 68 0.601599381362 0.51615375587 28
22.9 68 0.600547573494 0.516070386116 28
23 68 0.599502564891 0.515989101245 30
23.1 67 0.598464143743 0.515909850301 30
23.2 67 0.597432114935 0.515832610379 30
23.3 68 0.596406301685 0.515757377378 30
23.4 66 0.595386547161 0.5156841549 30
23.5 67 0.594372715301 0.515612942523 30
23.6 69 0.593364692351 0.51554372386 30
23.7 68 0.592362387401 0.515476454928 30
23.8 68 0.591365732714 0.515411053079 30
23.9 72 0.590374684027 0.51534738893 32
24 73 0.589389220876 0.515285278723 30
24.1 71 0.588409345401 0.51522448005 30
24.2 69 0.587435082011 0.5151646897 32
24.3 72 0.58646647712 0.515105544747 32
24.4 72 0.585503597379 0.515046626079 32
24.5 73 0.584546528585 0.514987465089 32
24.6 72 0.583595373108 0.514927552155 32
24.7 75 0.582650250339 0.514866348453 32
24.8 75 0.581711292044 0.514803298617 32
24.9 75 0.580778642121 0.514737845389 32
25 72 0.579852453789 0.514669444791 32
25.1 74 0.578932888267 0.514597581794 32
25.2 73 0.57802011095 0.514521785449 32
25.3 74 0.577114290357 0.514441643163 32
25.4 72 0.576215595524 0.514356813705 32
25.5 73 0.575324193562 0.514267038556 32
25.6 76 0.574440247737 0.51417215032 32
25.7 76 0.573563915618 0.514072079337 32
25.8 75 0.572695346789 0.513966856862 32
25.9 78 0.571834682271 0.513856615689 32
26 78 0.57098205013 0.513741587433 32
26.1 78 0.570137567044 0.513622097404 32
26.2 78 0.569301335333 0.513498556477 32
26.3 80 0.568473442765 0.513371450433 32
26.4 80 0.567653961061 0.51324132782 32
26.5 80 0.566842945589 0.51310878571 32
26.6 79 0.566040436025 0.512974454496 32
26.7 83 0.565246453747 0.512838981987 32
26.8 83 0.564461003856 0.512703017742 32
26.9 81 0.563684074078 0.512567197277 32
27 82 0.562915635922 0.512432127591 32
27.1 82 0.562155644492 0.512298374013 32
27.2 84 0.561404040588 0.512166448521 32
27.3 86 0.56066074995 0.512036800347 32
27.4 84 0.559925684938 0.51190980871 32
27.5 88 0.559198745461 0.511785778247 32
27.6 86 0.558479819959 0.51166493598 32
27.7 87 0.557768786785 0.511547432053 32
27.8 85 0.557065515408 0.511433341967 32
27.9 86 0.556369867963 0.511322670923 32
28 87 0.555681701046 0.51121536071 32
28.1 86 0.555000865889 0.511111297195 32
28.2 88 0.554327210492 0.511010319408 32
28.3 90 0.553660581469 0.510912229486 32
28.4 86 0.553000824575 0.510816802934 32
28.5 89 0.552347786591 0.510723798631 32
28.6 89 0.551701316499 0.510632968692 34
28.7 88 0.551061266706 0.510544067371 34
28.8 90 0.550427493755 0.510456859211 34
28.9 90 0.549799860785 0.510371124971 34
29 90 0.549178237573 0.510286667518 34
29.1 89 0.548562500941 0.510203314755 34
29.2 89 0.547952536693 0.510120921677 34
29.3 90 0.547348239526 0.51003937087 34
29.4 90 0.546749514129 0.509958570611 34
29.5 89 0.546156275419 0.509878452456 34
29.6 91 0.545568449096 0.509798967506 34
29.7 93 0.544985971565 0.509720081546 34
29.8 90 0.544408790289 0.509641769715 34
29.9 94 0.543836864108 0.509564010694 34
30 94 0.543270161795 0.509486781081 34
30.1 93 0.542708663371 0.509410050017 34
30.2 93 0.54215235883 0.509333774236 34
30.3 92 0.54160124792 0.509257893995 34
30.4 94 0.541055339355 0.509182330135 34
30.5 94 0.540514650614 0.509106982064 34
30.6 95 0.539979205967 0.509031727389 34
30.7 94 0.539449037015 0.508956422481 34
30.8 95 0.538924180984 0.508880904486 34
30.9 96 0.538404679938 0.508804994755 34
31 96 0.537890579589 0.50872850344 34
31.1 96 0.537381928336 0.508651234282 34
31.2 97 0.536878776318 0.508572991127 36
31.3 99 0.53638117397 0.508493584406 36
31.4 100 0.535889171574 0.508412837668 36
31.5 99 0.535402817752 0.508330594737 36
31.6 101 0.53492215889 0.508246725539 36
31.7 98 0.534447238453 0.508161132193 36
31.8 99 0.533978094191 0.508073753839 36
31.9 101 0.533514759176 0.507984570308 36
32 100 0.533057261475 0.507893605067 36
32.1 100 0.532605622213 0.507800926275 36
32.2 100 0.532159855796 0.507706646681 36
32.3 100 0.531719969279 0.507610922006 36
32.4 100 0.531285962809 0.507513948152 36
32.5 103 0.53085782823 0.5074159567 36
32.6 102 0.530435549967 0.507317209673 36
32.7 102 0.530019104882 0.507217992896 36
32.8 104 0.529608461898 0.507118609083 36
32.9 104 0.529203582429 0.507019369956 36
33 107 0.528804421643 0.506920588296 36
33.1 105 0.528410926711 0.506822569959 36
33.2 106 0.528023039874 0.506725606068 36
33.3 106 0.527640697131 0.506629966003 36
33.4 106 0.527263829509 0.506535890792 36
33.5 107 0.526892363041 0.506443587756 36
33.6 107 0.526526220253 0.50635322612 36
33.7 110 0.52616532035 0.506264934009 36
33.8 109 0.525809580129 0.506178796372 36
33.9 108 0.525458914427 0.506094854784 36
34 111 0.525113237335 0.506013108299 36
34.1 109 0.524772461737 0.505933515616 36
34.2 111 0.524436500677 0.5058559985 36
34.3 108 0.524105268386 0.505780445933 36
34.4 110 0.523778679996 0.50570671933 36
34.5 111 0.523456652872 0.505634658279 36
34.6 111 0.523139106469 0.505564086851 36
34.7 111 0.522825963563 0.50549481948 36
34.8 113 0.522517149864 0.505426667584 36
34.9 111 0.522212593881 0.505359445683 36
35 111 0.521912228668 0.50529297669 36
35.1 115 0.521615991543 0.505227096496 36
35.2 117 0.521323824561 0.505161658502 36
35.3 116 0.521035673645 0.505096536327 36
35.4 118 0.520751488443 0.505031626171 36
35.5 117 0.520471224372 0.504966847764 36
35.6 118 0.520194841022 0.504902144463 36
35.7 117 0.51992230178 0.504837482537 38
35.8 121 0.519653574821 0.50477284934 38
35.9 119 0.519388632542 0.504708250754 38
36 120 0.519127451308 0.504643708283 38
36.1 120 0.518870011043 0.504579255198 38
36.2 120 0.518616295062 0.504514933016 38
36.3 120 0.518366289851 0.504450787377 38
36.4 120 0.518119984658 0.504386864343 38
36.5 119 0.517877370925 0.50432320679 38
36.6 121 0.517638442238 0.504259851139 38
36.7 120 0.517403193403 0.504196824721 38
36.8 118 0.517171620602 0.504134143935 38
36.9 118 0.516943720424 0.504071812827 38
37 118 0.516719489929 0.5040098227 38
37.1 119 0.516498926091 0.503948152228 38
37.2 119 0.516282024133 0.503886768619 38
37.3 119 0.516068780044 0.503825629367 38
37.4 120 0.515859185777 0.503764684104 38
37.5 120 0.515653234079 0.503703877793 38
37.6 119 0.515450914688 0.50364315374 38
37.7 119 0.515252214587 0.503582456889 38
37.8 122 0.515057118334 0.503521737215 38
37.9 121 0.514865607757 0.50346095286 38
38 122 0.514677661068 0.503400073426 38
38.1 123 0.51449325356 0.503339082362 38
38.2 121 0.514312357361 0.503277979238 38
38.3 122 0.51413494121 0.503216781044 38
38.4 121 0.51396097043 0.503155523285 38
38.5 124 0.513790407562 0.50309426 38
38.6 122 0.513623212029 0.503033062986 38
38.7 122 0.513459340201 0.502972020451 38
38.8 124 0.513298746067 0.502911234771 38
38.9 124 0.513141380832 0.502850819972 38
39 125 0.512987193946 0.502790898487 38
39.1 126 0.512836132914 0.502731597378 38
39.2 124 0.512688143831 0.502673044552 38
39.3 126 0.512543171891 0.502615364578 38
39.4 126 0.512401161312 0.502558674857 38
39.5 126 0.512262055965 0.50250308165 38
39.6 126 0.512125799957 0.502448676596 38
39.7 126 0.511992337607 0.502395533779 38
39.8 127 0.511861613945 0.50234370704 38
39.9 126 0.511733574925 0.50229322814 38
40 125 0.511608168511 0.502244105751 38
40.1 128 0.511485343644 0.502196325068 38
40.2 127 0.511365051405 0.502149848056 38
40.3 127 0.511247245284 0.502104614792 38
40.4 128 0.511131880583 0.502060545213 38
40.5 125 0.51101891546 0.502017541758 38
40.6 129 0.510908310335 0.501975492348 38
40.7 128 0.510800028444 0.501934273896 38
40.8 127 0.510694035396 0.501893756093 38
40.9 130 0.510590300121 0.501853805473 38
41 128 0.510488793606 0.501814289394 38
41.1 129 0.510389489529 0.501775079914 38
41.2 127 0.510292364035 0.501736057511 38
41.3 131 0.510197395451 0.501697114228 38
41.4 133 0.510104564413 0.501658156674 38
41.5 134 0.510013853816 0.501619108315 38
41.6 135 0.509925247462 0.501579910981 38
41.7 134 0.509838731117 0.501540525945 38
41.8 134 0.50975429185 0.501500934216 38
41.9 135 0.509671917869 0.501461136091 38
42 134 0.509591598093 0.501421150083 38
42.1 135 0.50951332183 0.50138101166 38
42.2 138 0.509437078971 0.501340770724 38
42.3 136 0.509362859592 0.501300489384 38
42.4 137 0.50929065341 0.501260239047 38
42.5 139 0.509220449641 0.501220097414 38
42.6 138 0.509152236913 0.501180145494 38
42.7 137 0.509086003101 0.50114046447 38
42.8 138 0.509021735077 0.501101132961 38
42.9 137 0.508959418476 0.501062224373 38
43 140 0.508899037534 0.501023804719 38
43.1 141 0.508840574996 0.500985930755 38
43.2 141 0.508784012064 0.500948648703 38
43.3 143 0.508729327784 0.500911993595 38
43.4 142 0.508676499774 0.500875988602 38
43.5 141 0.508625503665 0.500840645628 38
43.6 143 0.508576313109 0.500805965868 38
43.7 143 0.508528899833 0.500771941207 38
43.8 141 0.508483233691 0.500738555423 38
43.9 141 0.508439282711 0.500705786157 38
44 143 0.508397013087 0.500673606889 38
44.1 142 0.508356389363 0.500641989062 38
44.2 144 0.508317373962 0.500610904084 38
44.3 144 0.508279928674 0.500580325492 38
44.4 143 0.508244013623 0.500550230623 38
44.5 143 0.508209588392 0.500520602276 38
44.6 145 0.508176609983 0.50049142991 38
44.7 144 0.508145036274 0.500462710368 38
44.8 144 0.508114824193 0.500434448416 38
44.9 144 0.508085930393 0.500406656645 38
45 145 0.508058312296 0.500379355015 38
45.1 146 0.508031926447 0.500352569991 38
45.2 143 0.508006729937 0.500326333323 38
45.3 145 0.507982680894 0.500300680456 38
45.4 144 0.507959738434 0.500275648617 38
45.5 145 0.507937862949 0.500251274966 38
45.6 145 0.507917016213 0.500227594479 38
45.7 145 0.507897161709 0.500204637874 38
45.8 144 0.507878264669 0.500182429619 38
45.9 145 0.507860292297 0.500160986193 38
46 145 0.507843214104 0.500140314491 38
46.1 145 0.507827001502 0.50012041074 38
46.2 144 0.507811628444 0.500101259583 38
46.3 149 0.507797070814 0.500082833828 38
46.4 147 0.507783306665 0.50006509439 38
46.5 146 0.507770317211 0.500047990821 38
46.6 146 0.507758085685 0.500031462281 38
46.7 146 0.507746597392 0.500015438934 38
46.8 149 0.507735839739 0.499999843617 38
46.9 149 0.50772580253 0.499984594094 38
47 148 0.507716477062 0.499969605083 38
47.1 150 0.507707856344 0.499954790813 38
47.2 149 0.507699935023 0.499940067475 38
47.3 146 0.507692709035 0.499925355828 38
47.4 149 0.507686175533 0.499910583279 38
47.5 148 0.507680331917 0.499895686254 38
47.6 152 0.507675176401 0.499880612078 38
47.7 150 0.507670708175 0.499865320549 38
47.8 151 0.50766692602 0.49984978475 38
47.9 152 0.507663828342 0.499833992327 38
48 151 0.507661413953 0.499817945337 38
48.1 152 0.507659680977 0.49980166022 38
48.2 151 0.50765862725 0.499785167136 38
48.3 152 0.507658249153 0.499768508867 38
48.4 153 0.507658542094 0.499751739319 38
48.5 152 0.507659500387 0.499734921855 38
48.6 154 0.507661116794 0.499718127252 38
48.7 153 0.507663382953 0.499701431393 38
48.8 154 0.507666288618 0.49968491305 38
48.9 155 0.507669822106 0.499668651485 38
49 154 0.507673970592 0.499652724194 38
49.1 156 0.507678718986 0.499637204574 38
49.2 158 0.507684050673 0.499622160273 38
49.3 156 0.507689947908 0.499607651439 38
49.4 156 0.507696390763 0.499593729258 38
49.5 157 0.507703358003 0.499580435006 38
49.6 157 0.507710826831 0.499567799543 38
49.7 158 0.507718773339 0.499555842907 38
49.8 155 0.507727172028 0.499544574653 38
49.9 154 0.5077359963 0.499533994223 38
50 154 0.507745218876 0.499524091906 38
50.1 162 0.507754811504 0.499514849768 38
50.2 160 0.507764745096 0.499506243222 38
50.3 161 0.507774990116 0.499498242419 38
50.4 165 0.507785516731 0.499490813764 38
50.5 161 0.507796294824 0.499483921641 38
50.6 159 0.507807294154 0.499477529984 38
50.7 159 0.507818484651 0.49947160356 38
50.8 160 0.507829836743 0.499466109484 38
50.9 163 0.507841321416 0.499461018199 38
51 166 0.507852910051 0.499456304401 38
51.1 163 0.507864575252 0.499451947454 38
