time m <n0> <n1>  nActive
6.4 12 0.874195547953 0.519458020262 16
6.5 12 0.872179153311 0.520353137947 16
6.6 12 0.87014902028 0.521149993064 16
6.7 12 0.868105854989 0.521840979104 18
6.8 12 0.866050484162 0.522422430762 19
6.9 12 0.863983839243 0.522894361798 20
7 12 0.861906943763 0.523260102636 20
7.1 12 0.859820899338 0.523525866721 20
7.2 12 0.857726871261 0.523700257225 16
7.3 13 0.855626078022 0.523793741194 16
7.4 13 0.853519777578 0.523818105731 16
7.5 13 0.851409254086 0.523785920737 16
7.6 14 0.849295807162 0.523710022152 16
7.7 14 0.847180743741 0.523603030348 16
7.8 15 0.845065360342 0.523476921946 18
7.9 15 0.842950942305 0.523342659186 20
8 16 0.840838743322 0.523209892932 20
8.1 16 0.838729978746 0.523086733746 20
8.2 17 0.836625818627 0.52297960617 20
8.3 17 0.834527373953 0.522893169417 20
8.4 17 0.832435692509 0.522830317141 20
8.5 18 0.830351745926 0.522792242563 20
8.6 18 0.828276423973 0.522778563744 20
8.7 19 0.826210527969 0.522787499794 20
8.8 19 0.824154762519 0.522816082905 20
8.9 19 0.822109733039 0.522860412207 20
9 19 0.820075937088 0.522915912799 20
9.1 19 0.818053765666 0.522977610333 20
9.2 21 0.816043498498 0.52304040263 20
9.3 21 0.81404530453 0.523099314753 20
9.4 21 0.812059240422 0.523149734045 20
9.5 21 0.81008525505 0.523187615574 20
9.6 22 0.808123190783 0.523209651883 20
9.7 21 0.806172788513 0.523213402723 20
9.8 21 0.804233694895 0.523197379315 20
9.9 21 0.802305466273 0.523161090235 20
10 21 0.800387578308 0.523105039954 20
10.1 23 0.798479436495 0.52303068648 20
10.2 23 0.796580386278 0.522940365765 20
10.3 23 0.79468971795 0.522837175442 20
10.4 23 0.792806684744 0.52272484041 20
10.5 24 0.790930511291 0.522607550871 20
10.6 24 0.789060407415 0.522489789578 21
10.7 24 0.787195575515 0.522376155755 21
10.8 24 0.78533522947 0.522271182876 20
10.9 24 0.783478596961 0.522179169694 21
11 24 0.781624938494 0.522104018716 22
11.1 24 0.779773552133 0.522049095634 22
11.2 25 0.777923787191 0.522017113254 22
11.3 25 0.776075046313 0.522010043338 22
11.4 25 0.774226797974 0.522029048132 22
11.5 25 0.772378581867 0.522074451946 22
11.6 25 0.770530012416 0.522145740854 21
11.7 25 0.768680785051 0.52224158769 20
11.8 26 0.76683067483 0.522359903151 22
11.9 26 0.764979542398 0.522497922313 22
12 26 0.763127330947 0.522652298897 22
12.1 26 0.761274064751 0.522819223229 22
12.2 26 0.759419852164 0.522994544194 22
12.3 27 0.757564877432 0.523173913991 22
12.4 28 0.755709398049 0.523352917844 22
12.5 27 0.753853740819 0.523527211821 22
12.6 27 0.751998295606 0.52369265084 22
12.7 29 0.750143509569 0.523845398867 22
12.8 28 0.748289881791 0.52398203862 22
12.9 29 0.746437955061 0.524099655876 23
13 29 0.744588308116 0.524195892713 24
13.1 29 0.742741550089 0.524269006791 24
13.2 29 0.740898311091 0.524317880358 22
13.3 29 0.739059236128 0.524342031195 24
13.4 30 0.737224979685 0.524341589105 24
13.5 29 0.735396194869 0.52431726038 24
13.6 30 0.733573528648 0.524270269768 24
13.7 29 0.731757614339 0.524202298135 24
13.8 30 0.729949068038 0.524115399816 24
13.9 33 0.72814848035 0.524011923558 24
14 32 0.726356410234 0.523894413063 24
14.1 33 0.724573384722 0.523765526646 24
14.2 34 0.722799890793 0.52362794247 24
14.3 33 0.721036371599 0.523484278808 24
14.4 33 0.719283224832 0.523337016632 24
14.5 33 0.717540800767 0.523188444065 24
14.6 34 0.715809396221 0.523040593624 24
14.7 37 0.714089257082 0.522895208032 24
14.8 36 0.712380574626 0.522753715716 24
14.9 36 0.71068348698 0.522617219669 24
15 36 0.708998074531 0.522486489322 24
15.1 36 0.70732436799 0.522361992128 24
15.2 36 0.705662341568 0.522243902114 24
15.3 37 0.704011917446 0.522132142872 24
15.4 37 0.702372971341 0.522026425797 24
15.5 37 0.700745329233 0.521926299199 24
15.6 39 0.699128771923 0.521831195636 24
15.7 39 0.697523041593 0.521740482164 24
15.8 39 0.695927841731 0.521653513135 24
15.9 40 0.694342841342 0.52156967078 24
16 39 0.692767679872 0.521488403531 24
16.1 41 0.691201973648 0.521409267497 24
16.2 39 0.689645319113 0.521331943671 24
16.3 41 0.688097297665 0.521256258669 24
16.4 42 0.686557479651 0.521182193439 24
16.5 41 0.685025434346 0.521109877871 24
16.6 40 0.683500729699 0.52103958561 24
16.7 43 0.681982937795 0.520971710974 24
