iteration m energy
1 12 -30.1794856241
2 40 -30.199668174
3 65 -30.1997123078
4 69 -30.1997123147
5 70 -30.1997123147
6 70 -30.1997123147
7 70 -30.1997123147
8 70 -30.1997123147
9 70 -30.1997123147
10 70 -30.1997123147
11 70 -30.1997123147
12 70 -30.1997123147
13 70 -30.1997123147
14 70 -30.1997123147
15 70 -30.1997123147
16 70 -30.1997123147
17 70 -30.1997123147
18 70 -30.1997123147
19 70 -30.1997123147
20 70 -30.1997123147
time m n_up n_dw
0.1 72 0.999900056263 0.00134856960315
0.2 72 0.999600898644 0.00537715363702
0.3 72 0.999104539281 0.0120346790002
0.4 72 0.998414303256 0.0212370205429
0.5 72 0.997534786394 0.0328684742812
0.6 72 0.996471797165 0.0467837759977
0.7 72 0.995232283709 0.0628106246473
0.8 72 0.993824247096 0.0807526551759
0.9 72 0.992256642306 0.100392802866
1 72 0.990539268686 0.121496988216
1.1 72 0.988682651345 0.143818046039
1.2 72 0.986697915613 0.167099820046
1.3 72 0.984596656637 0.191081341947
1.4 72 0.982390805862 0.215501010493
1.5 72 0.980092496627 0.240100690603
1.6 72 0.977713930918 0.264629653246
1.7 72 0.975267249174 0.288848281472
1.8 72 0.972764405046 0.312531473193
1.9 72 0.970217046643 0.335471688375
2 72 0.967636405831 0.357481582328
2.1 72 0.96503319813 0.378396192393
2.2 72 0.962417531017 0.398074623375
2.3 72 0.959798826629 0.416401262231
2.4 72 0.95718575493 0.433286448981
2.5 72 0.954586181449 0.448666669485
2.6 72 0.952007126236 0.462504242011
2.7 72 0.94945473714 0.474786535346
2.8 72 0.946934275988 0.485524757557
2.9 72 0.944450116924 0.494752348373
3 72 0.942005756463 0.502523028495
3.1 72 0.939603834541 0.50890856827
3.2 72 0.937246169815 0.513996313012
3.3 72 0.934933795482 0.517886552267
3.4 72 0.932667010652 0.520689785513
3.5 72 0.93044543501 0.522523933788
3.6 72 0.928268071453 0.523511590692
3.7 72 0.92613336725 0.523777336654
3.8 72 0.924039287651 0.523445195963
3.9 72 0.921983380798 0.522636268021
4 72 0.919962849163 0.521466588529
4.1 72 0.917974618339 0.52004522818
4.2 72 0.916015404938 0.518472702283
4.3 72 0.914081781202 0.516839672711
4.4 72 0.912170235737 0.515225947543
4.5 72 0.910277232352 0.513699822911
4.6 72 0.90839925909 0.512317720763
4.7 72 0.906532878968 0.511124131203
4.8 72 0.904674769791 0.51015182801
4.9 72 0.902821761094 0.509422350738
5 72 0.900970865157 0.508946707996
5.1 72 0.899119303406 0.508726271904
5.2 72 0.897264522368 0.508753829331
5.3 72 0.895404213509 0.509014759741
5.4 72 0.893536318568 0.509488279957
5.5 72 0.891659037519 0.510148748808
5.6 72 0.889770829136 0.51096696294
5.7 72 0.887870408455 0.511911428435
5.8 72 0.885956742926 0.51294957732
5.9 72 0.88402904341 0.514048890189
6 72 0.882086753979 0.515177909856
6.1 72 0.880129544068 0.516307125694
6.2 72 0.878157290052 0.517409709133
6.3 72 0.87617006276 0.518462104871
6.4 72 0.874168114259 0.519444459275
6.5 72 0.872151861949 0.520340894848
6.6 72 0.870121874501 0.521139634259
6.7 72 0.868078853909 0.521832979749
6.8 72 0.866023623467 0.522417168018
6.9 72 0.863957112571 0.522892107574
7 72 0.861880342405 0.523261026752
7.1 72 0.859794411203 0.523530037471
7.2 72 0.857700482278 0.523707645197
7.3 72 0.855599771862 0.523804226881
7.4 72 0.853493535741 0.523831489182
7.5 72 0.851383056673 0.523801936057
7.6 72 0.849269633148 0.523728346509
7.7 72 0.847154568061 0.5236233014
7.8 73 0.845039159782 0.523498751744
7.9 73 0.842924687556 0.523365647664
8 74 0.840812405751 0.523233641777
8.1 75 0.838703530413 0.523110860766
8.2 76 0.836599230414 0.52300375465
8.3 77 0.834500616861 0.522917019978
8.4 78 0.832408736296 0.522853595362
8.5 79 0.830324560897 0.522814725494
8.6 81 0.828248980904 0.522800083484
8.7 82 0.82618279758 0.522807944145
8.8 83 0.824126717217 0.522835398546
