time m <n0> <cd>  nActive
7.4 13 0.853515637197 0.523818480569 16
7.5 13 0.851404933998 0.523786344001 16
7.6 14 0.849291305132 0.523710490292 16
7.7 14 0.847176056397 0.523603539507 16
7.8 15 0.845060486986 0.523477467712 18
7.9 15 0.842945878781 0.523343238124 20
8 16 0.840833487719 0.523210501136 20
8.1 16 0.838724529197 0.523087368583 20
8.2 17 0.836620173217 0.5229802635 20
8.3 17 0.834521531485 0.522893845609 20
8.4 17 0.832429650574 0.522831009245 20
8.5 18 0.830345502996 0.522792948763 20
8.6 18 0.828269978795 0.522779282604 20
8.7 19 0.826203878855 0.522788228719 20
8.8 19 0.82414790878 0.522816821723 20
8.9 19 0.822102674613 0.522861158952 20
9 19 0.820068673668 0.522916666548 20
9.1 20 0.81804629653 0.522978371423 20
9.2 22 0.81603582311 0.523041171225 20
9.3 23 0.814037421923 0.523100091389 20
9.4 22 0.812051150674 0.523150519604 20
9.5 21 0.810076958291 0.523188410968 20
9.6 21 0.808114687451 0.523210457914 20
9.7 21 0.806164079188 0.523214219503 20
9.8 21 0.804224779279 0.523198207963 20
9.9 21 0.802296344755 0.523161931723 20
10 21 0.800378252272 0.523105895066 20
10.1 21 0.798469906878 0.523031556547 20
10.2 22 0.796570653962 0.522941250693 20
10.3 22 0.794679784475 0.52283807509 20
10.4 22 0.792796551174 0.522725753086 20
10.5 22 0.790920179031 0.522608474902 20
10.6 23 0.789049877237 0.522490724731 22
10.7 23 0.787184849823 0.52237710097 20
10.8 23 0.785324308524 0.522272137613 20
10.9 23 0.783467483341 0.522180132264 22
11 23 0.781613633649 0.522104987267 22
11.1 24 0.779762058097 0.522050069082 22
11.2 24 0.777912104857 0.522018091025 22
11.3 25 0.776063177516 0.522011022797 22
11.4 25 0.774214746061 0.522030027751 22
11.5 25 0.772366348907 0.522075431204 22
11.6 25 0.770517600204 0.522146718181 20
11.7 25 0.768668194458 0.522242560758 20
11.8 25 0.766817907777 0.522360872762 22
11.9 25 0.764966600488 0.522498887731 22
12 26 0.763114215602 0.522653259091 22
12.1 26 0.761260779033 0.522820175523 22
12.2 26 0.759406398024 0.522995489249 22
12.3 27 0.757551256128 0.523174850814 22
12.4 27 0.75569561177 0.523353846281 22
12.5 28 0.753839791743 0.523528131349 22
12.6 28 0.751984185635 0.523693559569 22
12.7 28 0.750129240919 0.523846297864 22
12.8 29 0.748275456033 0.523982928581 22
12.9 29 0.746423372987 0.524100533939 22
13 29 0.744573571573 0.524196760214 24
13.1 29 0.742726660373 0.524269861789 24
13.2 29 0.740883270269 0.524318723416 22
13.3 30 0.739044046976 0.524342861868 24
13.4 31 0.737209643838 0.524342406131 24
13.5 31 0.735380713365 0.524318061665 24
13.6 31 0.733557902858 0.524271055101 24
13.7 31 0.731741847011 0.524203066252 24
13.8 32 0.729933160152 0.524116151343 24
13.9 33 0.728132432955 0.524012656152 24
14 33 0.726340225715 0.523895127043 24
14.1 33 0.724557066701 0.523766220066 24
14.2 33 0.722783440744 0.523628613543 24
14.3 33 0.72101979129 0.523484925455 24
14.4 34 0.719266516645 0.523337639195 24
14.5 35 0.717523966802 0.523189039377 24
14.6 36 0.715792438845 0.523041159797 24
14.7 36 0.714072177824 0.522895744185 24
14.8 38 0.712363375966 0.522754220476 24
14.9 37 0.710666169414 0.522617689531 24
15 38 0.708980641508 0.522486926359 24
15.1 38 0.707306820523 0.522362394259 24
15.2 37 0.705644680904 0.522244269177 24
15.3 37 0.703994146071 0.522132474417 24
15.4 38 0.702355090025 0.522026722137 24
15.5 39 0.700727339282 0.521926559769 24
15.6 40 0.699110676143 0.521831420551 24
15.7 41 0.697504841158 0.521740672484 24
15.8 41 0.695909537386 0.521653667993 24
15.9 42 0.694324434419 0.521569789369 24
16 44 0.692749173277 0.521488488111 24
16.1 41 0.691183369014 0.521409318722 24
16.2 41 0.689626617661 0.521331963432 24
16.3 41 0.688078500673 0.521256249731 24
16.4 41 0.686538589733 0.521182157409 24
16.5 41 0.685006452296 0.521109817736 24
16.6 42 0.683481657028 0.521039503099 24
16.7 44 0.681963778304 0.520971609665 26
16.8 43 0.680452402125 0.520906632485 24
16.9 45 0.678947130572 0.52084513516 24
17 45 0.677447586711 0.52078771592 26
17.1 45 0.675953419063 0.5207349702 26
17.2 45 0.674464304862 0.520687454339 26
17.3 45 0.672979954382 0.520645648022 26
17.4 44 0.67150011363 0.520609920417 26
17.5 45 0.670024567786 0.520580499987 26
17.6 46 0.668553142831 0.520557449669 26
17.7 46 0.667085708367 0.520540647931 28
17.8 46 0.6656221766 0.520529777016 26
17.9 48 0.664162504583 0.520524319228 28
18 48 0.662706693338 0.520523559725 28
18.1 48 0.661254787741 0.520526598277 28
18.2 49 0.659806875539 0.520532367269 28
18.3 50 0.658363084535 0.520539656535 28
18.4 49 0.656923581542 0.520547143471 28
18.5 48 0.655488569647 0.520553427955 28
18.6 49 0.654058285933 0.520557070118 28
18.7 49 0.652632996088 0.520556630156 28
18.8 50 0.651212992597 0.52055070859 28
18.9 50 0.649798590642 0.520537985041 28
19 51 0.648390123524 0.520517255319 28
19.1 49 0.646987938183 0.52048746435 28
19.2 49 0.645592391679 0.520447734898 28
19.3 50 0.644203847088 0.520397390176 28
19.4 52 0.642822669327 0.520335970766 28
19.5 54 0.641449219805 0.520263244505 28
19.6 54 0.640083853541 0.52017920919 28
19.7 55 0.63872691597 0.520084089039 28
19.8 54 0.637378738677 0.519978323841 28
19.9 56 0.636039635284 0.519862553575 28
20 55 0.634709900051 0.519737595278 28
20.1 55 0.63338980367 0.519604417527 28
20.2 57 0.632079591747 0.519464110306 28
20.3 58 0.630779482898 0.519317852947 28
20.4 57 0.629489667817 0.519166880451 28
20.5 58 0.628210305418 0.519012449915 28
20.6 59 0.626941523044 0.518855808776 28
20.7 61 0.625683416649 0.518698163452 28
20.8 59 0.624436050705 0.518540651685 28
20.9 59 0.623199457064 0.518384319095 28
21 59 0.621973636439 0.518230099461 28
21.1 59 0.620758559233 0.518078800027 28
21.2 61 0.619554164745 0.517931091726 28
21.3 60 0.618360363955 0.517787504535 28
21.4 61 0.617177040901 0.517648427764 28
21.5 62 0.616004054039 0.51751411462 28
21.6 64 0.614841238561 0.517384691266 28
21.7 65 0.613688408488 0.517260169436 28
21.8 63 0.612545358712 0.517140461783 28
21.9 63 0.611411867975 0.517025399137 28
22 64 0.610287700513 0.516914749077 28
22.1 66 0.60917260951 0.516808234944 28
22.2 65 0.608066339871 0.516705554419 28
22.3 65 0.606968630476 0.516606396723 28
22.4 64 0.605879217071 0.516510458578 28
22.5 65 0.604797835376 0.516417457251 28
22.6 66 0.603724223517 0.516327140961 28
22.7 68 0.602658124953 0.51623929622 28
22.8 67 0.601599290634 0.516153752015 30
22.9 67 0.60054748166 0.516070380362 30
23 67 0.599502471762 0.515989094395 30
23.1 65 0.598464049013 0.515909842914 30
23.2 66 0.597432018477 0.515832603067 30
23.3 67 0.596406203308 0.515757370727 30
23.4 67 0.595386446447 0.51568414957 30
23.5 67 0.594372611895 0.515612939149 30
23.6 68 0.593364586242 0.515543722983 30
23.7 68 0.592362278303 0.515476456949 30
23.8 70 0.59136562054 0.515411058578 30
23.9 70 0.590374568946 0.515347398216 30
24 69 0.589389102461 0.515285292126 30
24.1 72 0.588409223589 0.515224497731 30
24.2 71 0.587434956867 0.515164711685 30
24.3 71 0.586466348666 0.515105570948 32
24.4 73 0.585503465463 0.515046656399 30
24.5 71 0.584546393536 0.514987499009 32
24.6 74 0.583595234953 0.514927589296 32
24.7 75 0.582650108942 0.514866388194 32
24.8 75 0.581711147258 0.514803340458 32
24.9 74 0.580778493884 0.514737888689 32
25 77 0.579852302385 0.514669488892 32
25.1 75 0.578932734569 0.514597625871 32
25.2 75 0.57801995548 0.514521828703 32
25.3 75 0.57711413327 0.51444168484 32
25.4 77 0.576215437265 0.514356853113 32
25.5 77 0.575324034411 0.514267074918 32
25.6 78 0.574440088685 0.514172182681 32
25.7 78 0.573563757261 0.514072107096 32
25.8 79 0.572695189844 0.513966879492 32
25.9 80 0.571834526618 0.513856632702 32
26 81 0.570981896405 0.513741598528 32
26.1 81 0.570137415497 0.513622102357 32
26.2 82 0.569301186778 0.513498555114 32
26.3 84 0.56847329807 0.51337144296 32
26.4 83 0.567653820672 0.513241314398 32
26.5 84 0.566842810434 0.513108766621 32
26.6 87 0.566040305964 0.51297443015 32
26.7 84 0.565246329089 0.512838953102 32
26.8 86 0.564460884825 0.512702984958 32
26.9 84 0.563683960945 0.512567161351 32
27 85 0.562915528962 0.512432089488 32
27.1 85 0.562155544525 0.512298334666 32
27.2 86 0.561403947718 0.512166408981 32
27.3 88 0.560660664284 0.512036761641 32
27.4 87 0.559925606596 0.511909771822 32
27.5 87 0.559198674251 0.511785743855 32
27.6 89 0.558479755679 0.511664904986 32
27.7 89 0.557768729321 0.51154740526 32
27.8 90 0.557065464848 0.511433320312 32
27.9 92 0.55636982425 0.511322655358 32
28 91 0.555681663406 0.511215352032 32
28.1 91 0.555000833845 0.511111296066 32
28.2 92 0.554327183694 0.511010326415 32
28.3 93 0.553660559156 0.510912245112 32
28.4 93 0.553000806618 0.510816827442 32
28.5 94 0.55234777232 0.510723832315 34
28.6 93 0.55170130528 0.510633011692 34
28.7 92 0.551061257704 0.510544119766 34
28.8 93 0.550427486635 0.510456920887 34
28.9 94 0.549799854834 0.510371195895 34
29 96 0.549178231692 0.510286747379 34
29.1 96 0.548562494128 0.510203403244 34
29.2 96 0.547952528231 0.510121018501 34
29.3 95 0.54734822871 0.510039475485 34
29.4 97 0.546749500253 0.509958682491 34
29.5 98 0.546156257917 0.509878571154 34
29.6 98 0.545568427176 0.509799092414 34
29.7 97 0.544985944604 0.50972021198 34
29.8 97 0.544408757793 0.509641904837 34
29.9 98 0.543836825259 0.509564149728 34
30 97 0.543270116333 0.509486923207 34
30.1 97 0.542708611056 0.509410194297 34
30.2 97 0.542152299377 0.509333919729 34
30.3 96 0.541601181105 0.50925803969 34
30.4 95 0.541055265264 0.50918247488 34
30.5 97 0.540514569053 0.509107124843 34
30.6 97 0.539979117204 0.509031867009 34
30.7 96 0.539448941288 0.508956557642 34
30.8 99 0.538924078677 0.508881033911 34
30.9 101 0.538404571387 0.508805117228 34
31 100 0.537890465652 0.508728617463 34
31.1 101 0.53738180966 0.508651338423 34
31.2 102 0.536878653675 0.508573083971 34
31.3 103 0.536381048101 0.508493664526 34
31.4 99 0.535889043552 0.508412903745 34
31.5 103 0.535402688325 0.508330645319 34
31.6 104 0.534922028555 0.508246759178 34
31.7 105 0.534447107976 0.508161147618 34
31.8 103 0.533977963545 0.508073749861 34
