chain_green_irlm_ref_v1 L 100 U 0.20000000000000001 V 0.10000000000000001 dt 0.10000000000000001 steps 201
# t ReG00 ImG00 ReG01 ImG01 m
0 0 -0.49999999995143718 0 -0.29236032014659818 206
0.10000000000000001 -0.004878165783644031 -0.49992079575400217 -0.0079196059653174038 -0.29216899210274588 188
0.20000000000000001 -0.0097468544917372647 -0.49968356502486361 -0.015815254770610906 -0.29159586723493092 181
0.30000000000000004 -0.014596662860263496 -0.49928944905722189 -0.02366312400931235 -0.29064352175164393 176
0.40000000000000002 -0.019418334232728852 -0.49874033638051629 -0.03143965988689406 -0.28931623000303613 171
0.5 -0.024202829337389334 -0.49803884254125935 -0.039121709005889675 -0.28761993648885192 168
0.60000000000000009 -0.028941394099170428 -0.49718828228519446 -0.046686646913495972 -0.28556221736714926 166
0.70000000000000007 -0.033625623572520545 -0.49619263458978519 -0.054112503075105331 -0.28315222992095168 166
0.80000000000000004 -0.038247521178715237 -0.49505650112077076 -0.061378080602659896 -0.28040065308626055 166
0.90000000000000002 -0.042799552507800188 -0.49378505879300799 -0.068463070456114439 -0.27731961952502537 166
1 -0.047274693053673225 -0.49238400720090675 -0.075348159210952018 -0.27392263548590906 166
1.1000000000000001 -0.051666469358926173 -0.49085951175248838 -0.082015129113953714 -0.27022449497529771 166
1.2000000000000002 -0.055968993184155207 -0.48921814340495956 -0.088446950221878096 -0.26624118376355521 166
1.3 -0.060176988411770667 -0.48746681590587221 -0.094627864262900624 -0.26198978061755246 165
1.4000000000000001 -0.064285810565240506 -0.48561272150228241 -0.10054345921455971 -0.25748834800914788 163
1.5 -0.068291458916851927 -0.48366326604773457 -0.10618073427166597 -0.25275582047793971 162
1.6000000000000001 -0.072190581302527423 -0.4816260044194044 -0.11152815492398745 -0.24781188637696638 162
1.7000000000000002 -0.075980471869854058 -0.47950857711536904 -0.1165756981093079 -0.24267686889785228 162
1.8 -0.079659062117664825 -0.47731864888448927 -0.12131488654367549 -0.23737160258717946 162
1.9000000000000001 -0.083224905655492523 -0.47506385008955582 -0.12573881317894067 -0.23191730936911101 162
2 -0.086677157222499912 -0.4727517215513703 -0.12984215467753496 -0.22633547359454773 161
2.1000000000000001 -0.090015546563695384 -0.47038966337377291 -0.1336211750567089 -0.22064771675235628 160
2.2000000000000002 -0.093240347844744775 -0.46798488828727985 -0.13707371877263749 -0.21487567525019038 159
2.3000000000000003 -0.096352345270443368 -0.46554437983801272 -0.14019919424923141 -0.20904087704395383 158
2.4000000000000004 -0.09935279565114033 -0.46307485576705221 -0.14299854729864528 -0.2031646241216121 158
2.5 -0.10224338868359899 -0.46058273665722838 -0.14547422557105677 -0.19726787726769118 157
2.6000000000000001 -0.10502620566942934 -0.45807411994312763 -0.14763013420187895 -0.19137114437931019 155
2.7000000000000002 -0.10770367732200727 -0.45555475924342076 -0.14947158300454258 -0.18549437616258121 153
2.8000000000000003 -0.11027854134297038 -0.45303004891819737 -0.15100522580561629 -0.17965686453059154 152
2.9000000000000004 -0.11275380064427787 -0.45050501338731175 -0.15223899282683956 -0.17387714904581314 152
3 -0.11513268225852663 -0.44798430140103246 -0.15318201614438198 -0.16817292939562506 152
3.1000000000000001 -0.1174185979528522 -0.44547218439317715 -0.15384454950703716 -0.16256098520852835 152
3.2000000000000002 -0.11961510672510769 -0.44297255881250597 -0.15423788259287149 -0.15705710312354237 152
3.3000000000000003 -0.12172587953911693 -0.44048895185629755 -0.15437425064091934 -0.15167601159581195 152
3.4000000000000004 -0.12375466665849931 -0.43802453017024079 -0.15426674049543082 -0.14643132449149832 152
3.5 -0.12570526767495543 -0.43558211110307138 -0.15392919336056082 -0.14133549171631754 152
3.6000000000000001 -0.12758150446697708 -0.43316417590711531 -0.1533761050137222 -0.13639975923441805 152
3.7000000000000002 -0.12938719695364703 -0.43077288445899797 -0.15262252419689173 -0.13163413694745069 152
3.8000000000000003 -0.13112614178726828 -0.42841009109535216 -0.15168395004294524 -0.12704737522816412 152
3.9000000000000004 -0.13280209379862615 -0.42607736112537664 -0.15057622903983206 -0.12264694988579929 152
4 -0.13441875010289048 -0.42377598761679203 -0.14931545244080247 -0.11843905538987293 152
4.1000000000000005 -0.13597973662859386 -0.42150700815087255 -0.14791785440816363 -0.11442860628892883 152
4.2000000000000002 -0.13748859689551915 -0.41927122126038224 -0.1463997118757791 -0.11061924659951371 152
4.2999999999999998 -0.13894878273933764 -0.41706920229947486 -0.1447772465572551 -0.10701336693083886 152
4.4000000000000004 -0.14036364681370489 -0.41490131863108809 -0.14306652971127007 -0.10361212906269651 152
4.5 -0.14173643650978518 -0.4127677439541233 -0.14128339031767573 -0.10041549753045283 152
4.6000000000000005 -0.1430702890758343 -0.41066847172701698 -0.13944332673823412 -0.097422278533090989 152
4.7000000000000002 -0.14436822765525112 -0.40860332764617718 -0.13756142320132458 -0.094630164430074659 152
4.8000000000000007 -0.14563315804770458 -0.40657198124506627 -0.13565227064156601 -0.092035784686331945 152
4.9000000000000004 -0.14686786592871923 -0.40457395663060186 -0.1337298930737012 -0.089634762060987708 152
5 -0.14807501436262632 -0.40260864237609384 -0.1318076789076234 -0.087421774497181734 152
5.1000000000000005 -0.14925714151537134 -0.40067530096655635 -0.1298983188052221 -0.085390620572806178 152
5.2000000000000002 -0.15041665836056584 -0.39877307753857266 -0.12801374928888468 -0.0835342895328436 152
5.3000000000000007 -0.15155584638003375 -0.39690100836201186 -0.12616510282060156 -0.081845034648712622 152
5.4000000000000004 -0.15267685517442309 -0.39505802906117471 -0.12436266450458451 -0.080314449512469049 152
5.5 -0.15378169996789007 -0.39324298275690611 -0.12261583550272405 -0.078933546714469852 152
5.6000000000000005 -0.15487225902355645 -0.39145462824864791 -0.12093310335295135 -0.077692838106123971 152
5.7000000000000002 -0.15595027107392609 -0.38969164837781939 -0.11932201914375709 -0.076582416557390329 152
5.8000000000000007 -0.15701733280650521 -0.38795265869552986 -0.11778918164983146 -0.075592038148261195 152
5.9000000000000004 -0.1580748965235198 -0.38623621645863077 -0.11634022837576562 -0.074711204445196161 152
6 -0.15912426796325341 -0.38454082992976596 -0.11497983340759874 -0.07392924428662237 152
6.1000000000000005 -0.16016660468191271 -0.38286496827405819 -0.11371171206399168 -0.073235394525442699 152
6.2000000000000002 -0.16120291482579105 -0.38120707175874391 -0.11253863170652165 -0.072618879096211536 152
6.3000000000000007 -0.16223405651053416 -0.37956556236792349 -0.11146242944115461 -0.072068986068906424 152
6.4000000000000004 -0.16326073802477567 -0.37793885476020422 -0.11048403553078977 -0.071575142011800499 152
6.5 -0.16428351881388711 -0.37632536746478484 -0.10960350253497955 -0.071126983252509018 152
6.6000000000000005 -0.16530281142715614 -0.37472353425508154 -0.10882004039575104 -0.070714423670324045 152
6.7000000000000002 -0.16631888444171131 -0.37313181551383368 -0.10813205592996762 -0.07032771838786922 152
6.8000000000000007 -0.16733186641637454 -0.37154870958533964 -0.10753719746713213 -0.06995752324356945 152
6.9000000000000004 -0.16834175098287574 -0.36997276379441657 -0.10703240349754629 -0.069594949564250996 152
7 -0.16934840299754936 -0.36840258516237034 -0.10661395536753075 -0.069231613890225849 152
7.1000000000000005 -0.17035156567013102 -0.36683685057340637 -0.10627753322668879 -0.068859682574417547 152
7.2000000000000002 -0.17135086875370906 -0.36527431625776263 -0.10601827477826625 -0.068471910731463095 152
7.3000000000000007 -0.17234583762095126 -0.36371382651131512 -0.10583083638337508 -0.068061675698385504 151
7.4000000000000004 -0.17333590329156465 -0.36215432143617493 -0.10570945600489987 -0.067623004655280108 151
7.5 -0.17432041302416981 -0.36059484371038164 -0.10564801745086476 -0.067150596426720097 151
7.6000000000000005 -0.17529864160309711 -0.35903454417059355 -0.1056401153682666 -0.066639837436900259 150
7.7000000000000002 -0.17626980309058199 -0.3574726862595784 -0.10567912062256611 -0.06608681181277222 150
7.8000000000000007 -0.17723306284732446 -0.35590864922277643 -0.10575824496329797 -0.065488305442628458 150
7.9000000000000004 -0.17818754980044293 -0.35434192996759933 -0.10587060556996973 -0.064841804741900433 150
8 -0.17913236862010395 -0.3527721437485995 -0.10600928793766234 -0.06414548958217875 150
8.0999999999999996 -0.18006661181746544 -0.3511990235169612 -0.10616740712356219 -0.063398220955580675 150
8.2000000000000011 -0.18098937157546185 -0.34962241802396282 -0.10633816681857378 -0.062599523528942908 150
8.3000000000000007 -0.18189975112166895 -0.34804228881303462 -0.10651491586081484 -0.061749563268847923 150
8.4000000000000004 -0.18279687552707105 -0.34645870607601914 -0.10669120174598894 -0.060849120600608153 150
8.5 -0.18367990187518726 -0.34487184348750394 -0.10686082084355654 -0.059899559318975143 150
8.5999999999999996 -0.18454802864305855 -0.3432819721546792 -0.10701786483780498 -0.058902791652422279 150
8.7000000000000011 -0.18540050421697304 -0.34168945371565895 -0.10715676344610867 -0.057861239856090915 150
8.8000000000000007 -0.18623663448459002 -0.34009473281817804 -0.10727232274628928 -0.05677779469869268 150
8.9000000000000004 -0.18705578947171642 -0.33849832900972548 -0.10735975919945261 -0.055655771360860466 150
9 -0.18785740896483821 -0.33690082819071987 -0.10741472911152582 -0.05449886310910957 150
