21:34:01: Starting /home/yurielnf/Documents/projects/impurityMPS/build/Desktop-Release/example/fbr_dyn_siam...
K inicial
[matrix size: 0x0]
time m <n0> <cd>  nActive
0.1 4 0.999900056266 0.00134960944053 8
0.2 4 0.999600898997 0.00538128731813 8
0.3 4 0.999104541422 0.012043883839 8
0.4 4 0.998414310415 0.0212531482073 8
0.5 4 0.997534804277 0.0328932048527 8
0.6 4 0.996471834557 0.046818576623 8
0.7 4 0.995232353008 0.0628567129943 8
0.8 4 0.993824364695 0.0808109700353 8
0.9 4 0.992256828983 0.100463981282 8
1 4 0.990539549751 0.121581349435 8
1.1 4 0.988683056841 0.143915583152 8
1.2 4 0.986698480173 0.167210201802 8
1.3 4 0.98459741931 0.191203920604 8
1.4 4 0.982391809931 0.215634838096 8
1.5 5 0.980093789296 0.240244541765 10
1.6 5 0.977715562354 0.264782055006 10
1.7 6 0.97526927281 0.28900754649 10
1.8 6 0.972766875609 0.31269574295 10
1.9 6 0.970220020757 0.335638975554 10
2 6 0.967639940652 0.357649817977 10
2.1 7 0.965037351765 0.37856326816 12
2.2 7 0.962422359337 0.398238449718 12
2.3 7 0.959804383283 0.416559805627 12
2.4 8 0.957192090636 0.433437785276 12
2.5 8 0.954593345883 0.44880902059 12
2.6 8 0.952015162442 0.462636014455 12
2.7 8 0.949463682968 0.474906353442 12
2.8 8 0.946944163971 0.485631488658 14
2.9 8 0.944460973171 0.49484512375 12
3 8 0.942017600674 0.502601258681 12
3.1 8 0.939616684154 0.508971941015 12
3.2 8 0.937260028839 0.514044806585 12
3.3 8 0.934948662359 0.517920416401 12
3.4 8 0.932682876188 0.520709530543 14
3.5 8 0.930462282164 0.522530314513 14
3.6 8 0.928285879082 0.523505571103 14
3.7 8 0.926152107323 0.523760078877 14
3.8 8 0.924058924799 0.523418017836 12
3.9 8 0.922003875487 0.522600605384 12
4 8 0.919984229376 0.521423872776 12
4.1 8 0.917996835968 0.519997046616 12
4.2 9 0.916038408508 0.518420648456 12
4.3 9 0.91410551551 0.51678530463 12
4.4 10 0.912194643532 0.515170761031 16
