# SIAM impurity greater Green function, spin-symmetric FBR
# L=100 U=0.025 V=0.1 dt=0.1 tmax=50 E_gs=-30.8994525853
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
0 20 14 0.019761 0 -0.499999998141 0.500000001966 -0.245968210976 0 -1000 -1000
0.1 24 14 0.281655 -0.00252275412787 -0.499974591846 0.500000001983 -0.245968317727 8.45503382205e-11 -0.105268436291 -0.0548124904961
0.2 28 14 0.402088 -0.0050432939827 -0.499898438344 0.500000001862 -0.24596857051 -8.37407391944e-09 -0.105268508442 -0.0548518028799
0.3 32 14 0.377109 -0.00755941357583 -0.499771733135 0.500000001854 -0.245968970998 1.64983612004e-09 -0.105268639906 -0.054930273558
0.4 36 14 0.513253 -0.0100689244616 -0.499594801028 0.500000002312 -0.245969515613 3.08554531675e-08 -0.105268829492 -0.0550476091528
0.5 38 14 0.567244 -0.0125696639485 -0.49936809462 0.50000000373 -0.245970195497 8.80370158138e-08 -0.105269073777 -0.0552033719873
0.6 42 14 0.593013 -0.0150595063851 -0.499092191283 0.500000006637 -0.245971009151 1.69823257063e-07 -0.105269372488 -0.0553969815899
0.7 46 14 0.641913 -0.0175363670239 -0.4987677923 0.500000011252 -0.245971947222 2.6158027916e-07 -0.105269722441 -0.0556277179583
0.8 50 14 0.722191 -0.0199982116133 -0.498395716788 0.500000017729 -0.245973019208 3.56760053757e-07 -0.105270128763 -0.0558947261758
0.9 54 14 0.801352 -0.0224430680625 -0.497976899824 0.500000025984 -0.245974195339 4.45563769806e-07 -0.105270577991 -0.0561970203958
1 58 14 0.905704 -0.0248690289875 -0.497512386551 0.500000035772 -0.245975477034 5.19735735054e-07 -0.105271069699 -0.0565334883431
1.1 62 14 0.950296 -0.0272742619171 -0.497003327386 0.500000047011 -0.245976858975 5.8903100768e-07 -0.105271601565 -0.0569028984212
1.2 66 13 1.06823 -0.0296570144612 -0.496450972206 0.500000059484 -0.245978325311 6.45305946483e-07 -0.105272168612 -0.057303906834
1.3 70 13 1.055264 -0.0320156208188 -0.495856664746 0.500000073002 -0.245979870232 6.92282458261e-07 -0.105272768702 -0.0577350608294
1.4 74 14 1.167595 -0.0343485074486 -0.495221835636 0.500000087252 -0.245981486977 7.22816039247e-07 -0.105273399228 -0.058194814929
1.5 78 14 1.453606 -0.0366541991552 -0.494547995081 0.500000102024 -0.245983162659 7.4123894416e-07 -0.105274055106 -0.0586815264179
1.6 82 14 1.575691 -0.0389313218727 -0.493836727286 0.500000116986 -0.245984892232 7.4507858326e-07 -0.105274734536 -0.0591934754814
1.7 86 14 1.686268 -0.0411786085415 -0.493089680907 0.500000131873 -0.245986660902 7.33574959204e-07 -0.105275431649 -0.059728869952
1.8 90 14 1.680992 -0.0433949019809 -0.492308562636 0.500000146354 -0.245988458784 7.0569191001e-07 -0.1052761425 -0.0602858489284
1.9 94 15 1.895335 -0.045579158011 -0.491495128349 0.500000160184 -0.245990273124 6.63769089198e-07 -0.105276861804 -0.0608625018573
2 98 15 1.907721 -0.0477304482039 -0.490651175532 0.500000173017 -0.245992095973 6.0540886853e-07 -0.105277586781 -0.0614568716393
2.1 100 15 1.804566 -0.0498479606791 -0.489778534873 0.500000184487 -0.245993915933 5.30219439411e-07 -0.105278312685 -0.0620669692144
2.2 100 17 2.090945 -0.0519310013961 -0.488879061499 0.500000194235 -0.24599572259 4.35966669307e-07 -0.105279035585 -0.0626907767821
2.3 100 15 2.006998 -0.0539789953778 -0.487954627455 0.500000202009 -0.245997506836 3.29378043503e-07 -0.105279751496 -0.0633262638897
2.4 100 16 2.134671 -0.0559914853646 -0.487007113045 0.500000207538 -0.245999260944 2.10932973991e-07 -0.105280457242 -0.0639713993268
2.5 100 15 1.914958 -0.0579681329236 -0.486038397947 0.500000210502 -0.246000976442 7.62415338296e-08 -0.105281149455 -0.0646241521709
2.6 100 15 1.982623 -0.0599087143557 -0.485050355382 0.500000210632 -0.246002639258 -7.05065948154e-08 -0.105281822712 -0.0652825098654
2.7 100 16 2.135098 -0.0618131220557 -0.484044840745 0.500000207729 -0.246004241688 -2.28037047878e-07 -0.105282473685 -0.0659444816692
2.8 100 15 2.059664 -0.0636813580721 -0.483023687661 0.500000201535 -0.246005777166 -3.95161669494e-07 -0.105283099836 -0.066608112504
2.9 100 15 1.946554 -0.0655135351643 -0.481988697351 0.500000191939 -0.246007236134 -5.69591865925e-07 -0.105283696954 -0.0672714891628
3 100 15 2.127686 -0.0673098702133 -0.480941633599 0.5000001788 -0.246008610505 -7.48962048443e-07 -0.105284261692 -0.0679327528329
3.1 100 16 1.997138 -0.0690706825134 -0.479884214292 0.500000162068 -0.246009896066 -9.30629145121e-07 -0.105284792297 -0.0685901019522
3.2 100 17 2.177243 -0.0707963849184 -0.478818110455 0.500000141635 -0.246011086616 -1.11470398506e-06 -0.105285286382 -0.0692418035082
3.3 100 17 2.045706 -0.0724874865391 -0.477744930034 0.500000117649 -0.246012180613 -1.28981602726e-06 -0.105285743087 -0.0698862009638
3.4 100 17 2.15234 -0.0741445785168 -0.476666222266 0.500000090072 -0.246013168772 -1.46758292715e-06 -0.105286158598 -0.0705217165781
3.5 100 19 2.216254 -0.0757683362378 -0.475583466678 0.500000059064 -0.246014053224 -1.63396094472e-06 -0.105286533358 -0.0711468625647
3.6 100 19 2.087324 -0.0773595072823 -0.474498073164 0.500000024809 -0.246014828816 -1.79028540961e-06 -0.105286865673 -0.0717602438666
3.7 100 18 1.940038 -0.0789189090979 -0.473411372393 0.499999987556 -0.246015492567 -1.93503156771e-06 -0.105287153761 -0.0723605638972
3.8 100 17 2.06527 -0.080447418899 -0.472324617595 0.499999947482 -0.246016042038 -2.0696373672e-06 -0.105287396375 -0.0729466290629
3.9 100 18 2.174777 -0.0819459729715 -0.471238978182 0.499999904836 -0.246016478508 -2.18989834572e-06 -0.10528759428 -0.0735173520718
4 100 18 2.231778 -0.0834155591941 -0.470155537377 0.499999860093 -0.246016811111 -2.28538555898e-06 -0.105287750901 -0.074071754821
4.1 100 18 2.320786 -0.0848571909592 -0.469075295938 0.499999813669 -0.246017032032 -2.35960329295e-06 -0.105287863155 -0.0746089714668
4.2 100 18 2.141842 -0.0862719321738 -0.467999159879 0.499999765846 -0.246017144542 -2.4205979235e-06 -0.105287932333 -0.0751282482018
4.3 100 19 2.280444 -0.0876608743746 -0.46692794872 0.499999716901 -0.246017148964 -2.46889257291e-06 -0.105287957385 -0.0756289462084
4.4 100 20 2.279619 -0.0890251192793 -0.465862395777 0.499999667148 -0.246017053209 -2.50038039439e-06 -0.105287942833 -0.0761105399026
4.5 100 19 2.214399 -0.0903657967652 -0.46480313587 0.499999617049 -0.24601686327 -2.5084132479e-06 -0.105287891048 -0.0765726199708
4.6 100 18 2.298956 -0.0916840329435 -0.463750724639 0.499999566929 -0.246016581164 -2.50258212808e-06 -0.105287800537 -0.0770148879846
4.7 100 20 2.344509 -0.0929809622252 -0.462705625127 0.499999517043 -0.246016211239 -2.4838254252e-06 -0.105287673973 -0.077437157631
4.8 100 18 2.228576 -0.0942577115671 -0.461668214549 0.499999467867 -0.246015765155 -2.44013996654e-06 -0.105287515503 -0.0778393484334
4.9 100 19 2.111925 -0.0955153945668 -0.46063879084 0.499999419415 -0.246015238078 -2.39971747392e-06 -0.1052873232 -0.0782214908015
5 100 18 2.164624 -0.0967551092396 -0.459617568733 0.499999371878 -0.246014643112 -2.34997108669e-06 -0.105287102352 -0.0785837141013
5.1 100 19 2.454581 -0.0979779317918 -0.458604690407 0.499999325387 -0.246013988389 -2.29530813718e-06 -0.105286856011 -0.0789262433752
5.2 100 17 2.508939 -0.0991849051599 -0.457600215913 0.499999280357 -0.246013280356 -2.2156614202e-06 -0.105286589343 -0.0792494041367
5.3 100 20 2.273883 -0.100377050923 -0.456604132786 0.499999236774 -0.246012525146 -2.14385146049e-06 -0.105286301188 -0.0795536042231
5.4 100 18 2.362195 -0.101555344799 -0.455616375298 0.499999194579 -0.246011732733 -2.07607117985e-06 -0.105285994644 -0.079839336698
5.5 100 18 2.227412 -0.102720721169 -0.454636803042 0.499999153765 -0.246010910362 -2.00642437285e-06 -0.105285676136 -0.0801071716451
5.6 100 19 2.332353 -0.103874077125 -0.453665222743 0.499999114271 -0.246010066337 -1.94283339256e-06 -0.10528534527 -0.0803577514883
5.7 100 19 2.204123 -0.10501624961 -0.452701393827 0.499999076008 -0.246009209027 -1.88410868477e-06 -0.105285007226 -0.0805917831153
5.8 100 18 2.423201 -0.106148039413 -0.451745019387 0.499999038867 -0.246008345344 -1.83064550907e-06 -0.105284664884 -0.0808100302355
5.9 100 18 2.394997 -0.107270177912 -0.450795767409 0.499999002767 -0.2460074828 -1.7831769833e-06 -0.105284321344 -0.0810133079062
6 100 18 2.503166 -0.108383355072 -0.449853263532 0.499998967503 -0.246006629099 -1.74537216858e-06 -0.105283979438 -0.0812024765731
6.1 100 20 2.543331 -0.109488199618 -0.448917100795 0.49999893293 -0.246005791101 -1.71609938442e-06 -0.105283642186 -0.0813784335703
6.2 100 19 2.505684 -0.110585283372 -0.447986847784 0.499998898844 -0.246004974954 -1.69701453197e-06 -0.105283312215 -0.0815421066273
6.3 100 19 2.578336 -0.111675119914 -0.447062051916 0.499998865053 -0.246004187135 -1.6887730793e-06 -0.105282992011 -0.081694445753
6.4 100 20 2.485693 -0.112758165292 -0.44614223916 0.499998831284 -0.24600343286 -1.69180657246e-06 -0.105282684195 -0.0818364165234
6.5 100 20 2.524365 -0.113834817467 -0.445226928591 0.499998797368 -0.246002717746 -1.70726253868e-06 -0.105282390244 -0.0819689955987
6.6 100 20 2.584541 -0.114905418019 -0.444315631382 0.499998762974 -0.246002047956 -1.73752583335e-06 -0.105282113116 -0.0820931603941
6.7 100 19 2.33021 -0.115970250801 -0.44340785646 0.49999872784 -0.246001423854 -1.77987377097e-06 -0.105281853642 -0.0822098825517
6.8 100 20 2.32479 -0.117029546908 -0.442503115676 0.49999869178 -0.246000853532 -1.83395647833e-06 -0.105281614138 -0.0823201249478
6.9 100 20 2.307388 -0.118083484798 -0.44160092713 0.499998654515 -0.246000337434 -1.90021969053e-06 -0.105281395771 -0.0824248326314
7 100 20 2.515178 -0.119132191541 -0.440700820842 0.499998615805 -0.245999878158 -1.97783238856e-06 -0.105281199436 -0.0825249300582
7.1 100 20 2.478518 -0.120175746629 -0.43980234217 0.499998575409 -0.245999477779 -2.06661469548e-06 -0.105281026223 -0.0826213107693
7.2 100 20 2.594897 -0.121214183434 -0.438905053745 0.499998533174 -0.245999136973 -2.1637590587e-06 -0.105280876471 -0.0827148363403
7.3 100 20 2.533171 -0.122247493681 -0.438008540903 0.499998488868 -0.245998857376 -2.27017097362e-06 -0.10528075083 -0.0828063296745
7.4 100 20 2.566104 -0.123275628686 -0.43711241423 0.499998442382 -0.245998638273 -2.3832714251e-06 -0.105280649406 -0.0828965719445
