# Fbr_dyn timestep cost, layout=block L=500 U=0.1 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 0.0741617 s, Fbr_dyn constructor 0.0253018 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 8 3 500 0.0105327 0.000503396 0.0057067 0.0192115 0.083242 0.119196
0.2 8 4 510 0.0103845 0.000638612 0.00599383 0.0153255 0.0898135 0.122156
0.3 8 4 510 0.0103187 0.000837371 0.0061273 0.0951692 0.0898263 0.202279
0.4 8 4 510 0.010214 0.000667139 0.00597762 0.0151899 0.0908586 0.122907
0.5 8 4 510 0.00992472 0.000620696 0.00581771 0.015345 0.0906228 0.122331
0.6 8 4 510 0.00956227 0.00116174 0.00592556 0.0154703 0.0912711 0.123391
0.7 8 4 510 0.00986125 0.000617682 0.00580293 0.0153723 0.091643 0.123297
0.8 8 4 510 0.0110938 0.00189025 0.00593936 0.0156282 0.0905243 0.125076
0.9 8 4 510 0.00987573 0.000623522 0.00582502 0.0153308 0.0929341 0.124589
1 8 4 510 0.010982 0.000677299 0.00595616 0.0160203 0.090753 0.124389
1.1 8 4 510 0.0100426 0.000622563 0.00584553 0.0152261 0.0917588 0.123496
1.2 8 4 510 0.0103902 0.001045 0.00607744 0.0157899 0.0911502 0.124453
1.3 8 4 510 0.0101357 0.000679298 0.00604906 0.0152261 0.090955 0.123045
1.4 8 4 510 0.0108924 0.000700871 0.00593887 0.0154812 0.0919684 0.124982
1.5 8 4 510 0.00965556 0.00063165 0.00605741 0.0152556 0.0910785 0.122679
1.6 8 4 510 0.0103633 0.000642893 0.00582408 0.0154485 0.0914464 0.123725
1.7 8 4 510 0.00959399 0.000631401 0.00593286 0.0161301 0.0918449 0.124133
1.8 8 4 510 0.00974114 0.000645019 0.0058122 0.0156401 0.0916653 0.123504
1.9 8 4 510 0.0101017 0.00223007 0.00594685 0.0156461 0.0912645 0.125189
2 8 4 510 0.00998788 0.000632874 0.00582161 0.0154975 0.0917656 0.123705
2.1 8 4 510 0.00983975 0.00108719 0.00613415 0.0154379 0.0920709 0.12457
2.2 8 4 510 0.00991116 0.000617017 0.00582206 0.0153284 0.0913559 0.123035
2.3 8 4 510 0.0105506 0.00104737 0.00597641 0.0154976 0.0914724 0.124544
2.4 8 4 510 0.00972561 0.000622905 0.00599091 0.0152508 0.0912575 0.122848
2.5 8 4 510 0.00989924 0.000983343 0.00584999 0.0155756 0.0916753 0.123983
2.6 8 4 510 0.00965958 0.000629878 0.00589925 0.0154085 0.091106 0.122703
2.7 8 4 510 0.00968143 0.000672078 0.00598379 0.0576448 0.0914863 0.165468
2.8 8 4 510 0.00979457 0.000675375 0.00648028 0.0937855 0.0911488 0.201885
2.9 8 4 510 0.00981271 0.000671225 0.0060235 0.0944769 0.0921804 0.203165
3 8 4 510 0.0102025 0.000666255 0.00597328 0.0943763 0.0915359 0.202754
3.1 10 5 510 0.00979224 0.00101507 0.00600808 0.0947475 0.0920257 0.203589
3.2 10 5 518 0.00964977 0.000762016 0.00616977 0.0958261 0.0927306 0.205138
3.3 10 6 518 0.00971434 0.000762041 0.00611167 0.0956398 0.0922322 0.20446
3.4 10 6 518 0.0100673 0.000803353 0.00608017 0.0962231 0.0929057 0.20608
3.5 10 6 518 0.00960328 0.000964643 0.00619499 0.0960601 0.092648 0.205471
3.6 10 6 518 0.00979464 0.000889282 0.00611921 0.096713 0.0932984 0.206815
3.7 10 6 518 0.0096606 0.000795207 0.00620859 0.0952021 0.0920237 0.20389
3.8 10 6 518 0.00963098 0.000770006 0.00628529 0.09696 0.0923924 0.206039
3.9 10 7 518 0.00978048 0.000789651 0.00616039 0.0952935 0.0921493 0.204173
4 12 7 518 0.0111586 0.00145959 0.006165 0.0963688 0.093898 0.20905
4.1 12 7 528 0.00985869 0.000868562 0.00604247 0.0181472 0.0945428 0.12946
4.2 12 7 528 0.00964553 0.000896349 0.00626592 0.0971898 0.0931508 0.207148
4.3 12 8 528 0.00993029 0.00097838 0.00686253 0.060584 0.0946662 0.173021
