# SIAM impurity greater Green function, spin-symmetric FBR
# L=200 U=0.025 V=0.1 dt=0.1 tmax=100 E_gs=-62.7298692503
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
0 20 20 0.058 0 -0.499999998444 0.500000001082 -0.239753461283 0 -1000 -1000
0.1 24 19 0.607325 -0.00246753449858 -0.499974592245 0.500000001073 -0.23975356572 -1.66797234228e-10 -0.102851803595 -0.0535002736722
0.2 28 18 0.505616 -0.00493285451 -0.499898438722 0.500000001131 -0.23975382087 2.47448462572e-10 -0.102851876089 -0.0535397408915
0.3 32 18 0.572186 -0.00739375394588 -0.499771733518 0.500000001289 -0.239754217967 7.07956834768e-09 -0.102852006009 -0.0536185211982
0.4 36 18 0.799503 -0.0098480443913 -0.499594801504 0.500000001687 -0.239754758836 2.1703689306e-08 -0.102852194077 -0.0537363192254
0.5 40 18 0.879352 -0.0122935636909 -0.499368095211 0.500000002503 -0.239755438879 4.59539549781e-08 -0.102852438337 -0.0538926939881
0.6 44 18 0.938338 -0.0147281841488 -0.499092192629 0.500000003908 -0.239756251485 7.82475850047e-08 -0.102852736556 -0.0540870616148
0.7 48 19 1.01036 -0.0171498231831 -0.498767794155 0.500000006042 -0.23975718949 1.1580511877e-07 -0.102853085999 -0.0543186961334
0.8 52 18 0.951766 -0.0195564461377 -0.498395719739 0.500000008866 -0.239758256051 1.50476040658e-07 -0.102853488304 -0.0545867381166
0.9 56 17 1.211451 -0.0219460807073 -0.497976903791 0.500000012229 -0.2397594288 1.7629310088e-07 -0.102853934163 -0.0548901956444
1 60 18 1.337124 -0.0243168200264 -0.497512391482 0.50000001608 -0.239760711571 1.97990030026e-07 -0.102854425413 -0.0552279487308
1.1 64 17 1.471149 -0.0266668312991 -0.497003332969 0.500000020333 -0.239762091581 2.15632285728e-07 -0.102854957252 -0.0555987594255
1.2 68 17 1.544482 -0.0289943613664 -0.496450978707 0.500000024792 -0.239763565197 2.23850811499e-07 -0.102855528228 -0.0560012735155
1.3 72 17 1.657815 -0.031297744977 -0.495856671615 0.500000029428 -0.239765116554 2.29350239763e-07 -0.102856132046 -0.0564340323465
1.4 76 16 1.810844 -0.0335754078886 -0.495221842673 0.500000034076 -0.239766743218 2.27295350142e-07 -0.10285676781 -0.0568954768052
1.5 80 17 1.870882 -0.0358258748238 -0.494548001847 0.500000038599 -0.239768431594 2.17371380296e-07 -0.102857430138 -0.0573839574763
1.6 84 19 2.06195 -0.0380477718047 -0.493836733452 0.50000004286 -0.239770171654 2.01093988088e-07 -0.102858115581 -0.0578977426748
1.7 88 17 2.286375 -0.0402398320371 -0.493089685403 0.500000046745 -0.239771953421 1.78391545543e-07 -0.102858819653 -0.0584350256319
