# SIAM impurity greater Green function, spin-symmetric FBR
# L=1000 U=0.1 V=0.1 dt=0.1 tmax=500 E_gs=-317.400748941
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
0 32 81 5.053506 0 -0.499999996696 0.500000001292 -0.213682351447 0 -1000 -1000
0.1 34 60 8.643627 -0.00323896212927 -0.499968731726 0.500000001365 -0.213682458849 8.35939597979e-10 -0.12149503031 -0.0567143787249
0.2 38 55 8.691782 -0.00647547821877 -0.499875004759 0.500000001437 -0.213682723946 3.73060050733e-09 -0.121495103597 -0.0567573110609
0.3 42 56 8.838688 -0.00970711095817 -0.499719023026 0.500000001649 -0.213683143426 1.26161227416e-08 -0.121495237042 -0.056843020071
0.4 44 57 8.251575 -0.0129314412755 -0.499501130243 0.50000000211 -0.213683709617 2.66509759255e-08 -0.121495427917 -0.0569712105714
0.5 44 56 9.092251 -0.0161460778968 -0.499221805184 0.500000002855 -0.213684413638 4.18785622264e-08 -0.121495672833 -0.0571414402555
0.6 48 58 9.110425 -0.0193486658283 -0.498881659445 0.500000003894 -0.213685256374 5.64847014355e-08 -0.121495972139 -0.0573531210987
0.7 52 55 9.320015 -0.0225368952339 -0.498481434414 0.50000000517 -0.213686231354 6.93835983461e-08 -0.12149632393 -0.057605524989
0.8 56 59 9.435626 -0.0257085098731 -0.498021997628 0.500000006708 -0.213687332549 8.09426814561e-08 -0.121496725654 -0.0578977869255
0.9 58 56 9.857726 -0.0288613149762 -0.497504338706 0.50000000846 -0.213688554117 9.06767695134e-08 -0.121497175523 -0.0582289070477
1 62 54 9.857106 -0.03199318561 -0.496929564304 0.500000010383 -0.213689885614 9.8407144799e-08 -0.121497669371 -0.0585977596211
1.1 66 56 10.303613 -0.0351020735276 -0.496298892993 0.500000012428 -0.213691321004 1.0348654924e-07 -0.121498205242 -0.059003094618
1.2 70 52 10.127333 -0.0381860142246 -0.495613649434 0.500000014562 -0.213692849302 1.06481436809e-07 -0.121498778812 -0.0594435471064
1.3 74 55 10.768712 -0.0412431341996 -0.494875257639 0.500000016714 -0.213694460003 1.06365278201e-07 -0.12149938613 -0.0599176432996
1.4 78 54 10.622628 -0.0442716556254 -0.494085235026 0.500000018843 -0.213696145505 1.04396592013e-07 -0.121500024427 -0.0604238058574
1.5 82 51 10.92359 -0.0472699031321 -0.493245184297 0.500000020905 -0.21369789251 9.89356911241e-08 -0.12150068857 -0.0609603659299
1.6 86 56 11.668168 -0.0502363080123 -0.492356786636 0.500000022822 -0.2136996919 9.07236872562e-08 -0.121501375076 -0.0615255664825
1.7 90 52 11.52321 -0.0531694122241 -0.491421793832 0.500000024545 -0.21370153148 8.01934422431e-08 -0.121502079313 -0.0621175747592
1.8 94 56 12.233426 -0.0560678732735 -0.490442019502 0.500000026027 -0.213703399214 6.5824216706e-08 -0.121502796551 -0.0627344892491
1.9 98 59 13.889808 -0.0589304667594 -0.489419331412 0.500000027207 -0.21370528462 4.86569911768e-08 -0.121503522742 -0.0633743500532
2 102 55 12.39225 -0.0617560877888 -0.488355643649 0.500000028003 -0.21370717786 2.92954450507e-08 -0.121504254282 -0.0640351477756
2.1 106 56 14.971916 -0.0645437549895 -0.487252906106 0.50000002838 -0.213709065113 6.61921064921e-09 -0.12150498554 -0.064714833853
2.2 110 55 13.290429 -0.0672926089154 -0.48611309873 0.500000028263 -0.213710936671 -1.68064815862e-08 -0.121505712909 -0.0654113295398
2.3 114 56 13.88389 -0.070001915304 -0.484938219504 0.500000027661 -0.213712780194 -4.37171890493e-08 -0.121506431342 -0.0661225355052
2.4 118 55 14.663094 -0.072671063671 -0.48373027845 0.500000026509 -0.213714586014 -7.24991726822e-08 -0.121507137137 -0.0668463433789
2.5 122 55 14.202492 -0.0752995663501 -0.482491288552 0.500000024762 -0.213716345127 -1.02812381791e-07 -0.121507826756 -0.0675806447029
