# Fbr_dyn timestep cost, layout=block L=2000 U=0.1 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 4.03642 s, Fbr_dyn constructor 0.432593 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 8 3 2000 0.227167 0.0238289 0.117838 0.185707 0.326039 0.88058
0.2 8 4 2010 0.229051 0.0244473 0.119072 0.165808 0.327983 0.866362
0.3 8 4 2010 0.228811 0.0254395 0.118328 0.475934 0.330255 1.17877
0.4 8 4 2010 0.228563 0.0247006 0.119129 0.165431 0.329718 0.867541
0.5 8 4 2010 0.229615 0.0252575 0.119264 0.165809 0.331367 0.871312
0.6 8 4 2010 0.228628 0.0245847 0.119393 0.166336 0.330041 0.868982
0.7 8 4 2010 0.229581 0.0249106 0.118944 0.165418 0.329548 0.868401
0.8 8 4 2010 0.230226 0.0249983 0.118635 0.165884 0.329781 0.869525
0.9 8 4 2010 0.230099 0.0248536 0.118764 0.166088 0.33089 0.870694
1 8 4 2010 0.230543 0.0247764 0.119244 0.165247 0.330428 0.870238
1.1 8 4 2010 0.22968 0.025882 0.120183 0.16616 0.332374 0.874279
1.2 8 4 2010 0.238693 0.0255323 0.123737 0.172392 0.335574 0.895928
1.3 8 4 2010 0.237032 0.0252489 0.124123 0.172879 0.335866 0.895148
1.4 8 4 2010 0.236757 0.0252022 0.123736 0.17146 0.338619 0.895773
1.5 8 4 2010 0.236047 0.0266951 0.123558 0.171144 0.334746 0.89219
1.6 8 4 2010 0.23639 0.0255526 0.123677 0.17165 0.337893 0.895163
1.7 8 4 2010 0.237542 0.0251953 0.12366 0.172503 0.337296 0.896196
1.8 8 4 2010 0.236223 0.0252345 0.123662 0.171719 0.338586 0.895425
1.9 8 4 2010 0.236221 0.025177 0.124535 0.17418 0.338467 0.89858
2 8 4 2010 0.240239 0.0254666 0.126853 0.172904 0.33632 0.901784
2.1 8 4 2010 0.237475 0.0280106 0.124484 0.172296 0.345476 0.907741
2.2 8 4 2010 0.241164 0.0254003 0.127637 0.173845 0.341295 0.909341
2.3 8 4 2010 0.258182 0.0250287 0.124532 0.172738 0.335482 0.915963
2.4 8 4 2010 0.236226 0.0250411 0.124434 0.1725 0.336887 0.895088
2.5 8 4 2010 0.236611 0.0250285 0.127596 0.175749 0.33571 0.900695
2.6 8 4 2010 0.23632 0.0250128 0.123492 0.341841 0.335665 1.06233
2.7 8 4 2010 0.23495 0.0256885 0.122122 0.341839 0.336265 1.06086
2.8 8 4 2010 0.237675 0.0259272 0.121894 0.342215 0.335322 1.06303
2.9 8 4 2010 0.235966 0.0255243 0.123327 0.489467 0.337387 1.21167
3 8 4 2010 0.235792 0.0250943 0.122838 0.489255 0.335972 1.20895
3.1 10 5 2010 0.235265 0.0259817 0.122277 0.491468 0.335616 1.21061
3.2 10 5 2018 0.234632 0.0262785 0.12471 0.491183 0.337127 1.21393
3.3 10 6 2018 0.235637 0.0258864 0.123641 0.489657 0.335111 1.20993
3.4 10 6 2018 0.234933 0.0257533 0.122852 0.490792 0.33839 1.21272
3.5 10 6 2018 0.235869 0.025585 0.123171 0.490876 0.339821 1.21532
3.6 10 6 2018 0.236898 0.0270286 0.123628 0.492604 0.335054 1.21521
3.7 10 6 2018 0.234906 0.0261772 0.122357 0.492507 0.339357 1.21531
3.8 10 6 2018 0.235117 0.0257403 0.122764 0.492307 0.339251 1.21518
3.9 10 7 2018 0.234841 0.0259811 0.123019 0.496514 0.338039 1.21839
4 12 7 2018 0.236279 0.0256233 0.123234 0.492503 0.337153 1.21479
4.1 12 7 2028 0.23514 0.0258913 0.123623 0.174327 0.339262 0.898244
4.2 12 7 2028 0.233587 0.0268014 0.122805 0.344637 0.339427 1.06726
4.3 12 8 2028 0.234404 0.0261339 0.123571 0.347512 0.340092 1.07171
4.4 12 8 2028 0.235701 0.0267922 0.124495 0.345982 0.340073 1.07304
4.5 12 8 2028 0.23934 0.0259178 0.124751 0.175539 0.338263 0.90381
4.6 12 8 2028 0.236483 0.02631 0.125517 0.176732 0.341104 0.906145
4.7 14 8 2028 0.237519 0.0259231 0.124628 0.177352 0.341035 0.906456
4.8 12 8 2040 0.251857 0.027868 0.126931 0.498309 0.341776 1.24674
4.9 12 8 2028 0.236764 0.0263714 0.125932 0.346267 0.339748 1.07508
5 12 8 2028 0.236884 0.0276774 0.123847 0.176835 0.34132 0.906563
5.1 14 8 2028 0.235315 0.0258953 0.124488 0.176336 0.34012 0.902154
5.2 12 8 2040 0.236385 0.029375 0.124594 0.495401 0.342119 1.22787
5.3 12 8 2028 0.234431 0.0262896 0.124383 0.346945 0.340391 1.07244
5.4 14 8 2028 0.236163 0.0269618 0.124309 0.175921 0.344138 0.907493
5.5 14 8 2040 0.236029 0.0273777 0.128009 0.500304 0.343484 1.2352
5.6 14 8 2040 0.234803 0.0268966 0.124033 0.497052 0.343507 1.22629
5.7 12 8 2040 0.234364 0.0265842 0.125398 0.497317 0.343792 1.22746
5.8 12 8 2028 0.235495 0.026666 0.124387 0.495842 0.344551 1.22694
5.9 12 8 2028 0.234575 0.0260277 0.122845 0.493939 0.342761 1.22015
6 13 8 2028 0.236106 0.0272096 0.123639 0.494257 0.341924 1.22313
# measure: correlator(0,0) 0.0274279 s, O(L^2) version 0.0754431 s, n0=0.886185077205 |diff|=0
