bench_green_cost_v1 L 80 U 0.2 dt 0.1
# t  fewbody_sweep_s fb_nactive fb_bond   star_sweep_s star_bond
0  0.163462 10 12   2.05919 32
0.1  0.158473 10 12   2.15446 31
0.2  0.132937 10 12   2.15412 31
0.3  0.129818 10 12   2.13621 31
0.4  0.125033 10 12   2.14061 31
0.5  0.137386 10 12   2.14583 31
0.6  0.137556 10 12   2.14504 31
0.7  0.12315 10 12   2.13908 31
0.8  0.124407 9 12   2.14338 31
0.9  0.120235 9 12   2.14456 31
1  0.1228 9 12   2.16398 31
1.1  0.121609 9 12   2.15768 31
1.2  0.135911 9 12   2.15578 31
1.3  0.137391 9 12   2.15869 31
1.4  0.136593 9 12   2.165 31
1.5  0.135322 9 12   2.16972 31
1.6  0.137319 9 12   2.17777 31
1.7  0.134638 9 12   2.162 31
1.8  0.121217 10 12   2.16086 31
1.9  0.126573 10 12   2.17171 31
2  0.154728 10 12   2.18444 31
