bench_green_cost_v1 L 160 U 0.2 dt 0.1
# t  fewbody_sweep_s fb_nactive fb_bond   star_sweep_s star_bond
0  0.0908292 11 12   2.38128 36
0.1  0.112892 10 12   2.48676 35
0.2  0.120134 10 12   2.48615 35
0.3  0.0977331 10 12   2.47822 35
0.4  0.0950713 10 12   2.46968 35
0.5  0.107752 10 12   2.47123 35
0.6  0.105132 10 12   2.47523 35
0.7  0.104798 10 12   2.47222 35
0.8  0.0934889 10 12   2.47724 35
0.9  0.092052 10 12   2.48049 35
1  0.105499 10 12   2.48451 35
1.1  0.105406 10 12   2.484 35
1.2  0.0943691 10 12   2.48931 35
1.3  0.106268 10 12   2.49256 35
1.4  0.104948 10 12   2.49342 35
1.5  0.0967622 10 12   2.49626 35
1.6  0.109514 10 12   2.49996 35
1.7  0.109482 10 12   2.49903 35
1.8  0.0966532 10 12   2.50616 35
1.9  0.0970735 11 12   2.51101 35
2  0.099005 10 12   2.51259 35
