# Fbr_dyn timestep cost, layout=sym L=250 U=0.1 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 0.0129461 s, Fbr_dyn constructor 0.00742677 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 8 3 250 0.00254679 0.000256076 0.00165136 0.0445006 0.0436985 0.0926533
0.2 8 4 260 0.0024868 0.000252929 0.00163589 0.0467798 0.0498816 0.101037
0.3 8 4 260 0.00308653 0.000264942 0.00172298 0.0470352 0.0497827 0.101892
0.4 8 4 260 0.00262799 0.00025059 0.00158712 0.00706295 0.0503455 0.0618742
0.5 8 4 260 0.00255723 0.000678637 0.00170473 0.00718294 0.050515 0.0626385
0.6 8 4 260 0.00251073 0.000318312 0.00159979 0.00727083 0.0505135 0.0622132
0.7 8 4 260 0.00258573 0.000264753 0.00161574 0.00716938 0.0509774 0.062613
0.8 8 4 260 0.00438178 0.000255413 0.00158551 0.00714312 0.0512292 0.0645951
0.9 8 4 260 0.00259812 0.000261165 0.00163085 0.00727784 0.0515094 0.0632774
1 8 4 260 0.00258776 0.000254072 0.00160134 0.00713502 0.0514889 0.0630671
1.1 8 4 260 0.00252561 0.000324742 0.0016 0.00732834 0.0511612 0.0629399
1.2 8 4 260 0.00254127 0.000266031 0.00159981 0.00719037 0.0509862 0.0625836
1.3 8 4 260 0.00359823 0.00025351 0.00158305 0.00712945 0.0512418 0.063806
1.4 8 4 260 0.00256172 0.000263873 0.00162055 0.00721538 0.0513298 0.0629914
1.5 8 4 260 0.00244503 0.000465311 0.00160729 0.00718823 0.0518551 0.0635609
1.6 8 4 260 0.00262169 0.00027455 0.00159787 0.00723395 0.0516861 0.0634142
1.7 8 4 260 0.00259895 0.000311621 0.00159788 0.00716809 0.0514458 0.0631224
1.8 8 4 260 0.00301897 0.000270099 0.00160731 0.00712742 0.0521436 0.0641674
1.9 8 4 260 0.00271353 0.000289336 0.00160717 0.00710454 0.0517841 0.0634987
2 8 4 260 0.00225273 0.000265672 0.00158701 0.00723108 0.051813 0.0631495
2.1 8 4 260 0.00223394 0.000283985 0.00160135 0.00729968 0.0511242 0.0625432
2.2 8 4 260 0.00223135 0.000288782 0.00159584 0.00724117 0.0513299 0.0626871
2.3 8 4 260 0.00230039 0.000261759 0.00158884 0.00715452 0.0516854 0.0629909
2.4 8 4 260 0.00249507 0.000271766 0.00162517 0.00722946 0.0514366 0.063058
2.5 8 4 260 0.00227518 0.000251749 0.00157921 0.00725305 0.0518968 0.063256
2.6 8 4 260 0.00222766 0.000296058 0.00158174 0.00733648 0.0514166 0.0628586
2.7 8 4 260 0.00222545 0.000259239 0.00158355 0.00710842 0.0513351 0.0625118
2.8 8 4 260 0.00254455 0.000245852 0.00156884 0.00715001 0.0511987 0.0627079
2.9 8 4 260 0.00221506 0.000238617 0.00159497 0.00722721 0.0511337 0.0624095
3 8 4 260 0.00221481 0.000276088 0.00181162 0.0473491 0.0514155 0.103067
3.1 10 5 260 0.00222192 0.000250191 0.00158521 0.00726149 0.0513066 0.0626254
3.2 10 5 268 0.0022177 0.000358653 0.00175942 0.0483152 0.0523517 0.105003
3.3 10 6 268 0.00225153 0.000405827 0.00171896 0.0486316 0.0542423 0.10725
3.4 10 6 268 0.00231676 0.000327855 0.00173342 0.0487158 0.0541864 0.10728
3.5 10 6 268 0.00228653 0.00031193 0.00169944 0.0484733 0.0541156 0.106887
3.6 10 6 268 0.00253163 0.000329669 0.00167142 0.0484617 0.0544612 0.107456
3.7 10 6 268 0.00223821 0.000380808 0.00203265 0.0487494 0.0545187 0.10792
3.8 10 6 268 0.00268948 0.000317229 0.00166878 0.048821 0.0543291 0.107826
3.9 10 6 268 0.00223537 0.000387312 0.00209628 0.0488126 0.0541338 0.107665
4 10 6 268 0.00269683 0.000413127 0.0017034 0.0487978 0.0539645 0.107576
4.1 12 7 268 0.0022602 0.000345103 0.00190885 0.04947 0.0541058 0.10809
4.2 12 7 278 0.00290226 0.000387384 0.00169527 0.0500183 0.055584 0.110587
4.3 12 7 278 0.00223427 0.00038359 0.00174469 0.0507391 0.0550598 0.110161
4.4 12 8 278 0.00223594 0.00039687 0.00174384 0.0506335 0.05589 0.1109
4.5 12 8 278 0.00283977 0.00038846 0.00178371 0.0104264 0.0563013 0.0717396
