# t  n_active  bond_dim  wall_s  n0  drift
0 4 2 0.000422 0.500001459387 0
0.1 4 2 0.044498 0.500001459387 1.06114927093e-07
0.2 4 2 0.044111 0.500001459387 3.57625443689e-07
0.3 4 2 0.044425 0.500001459388 7.52898934808e-07
0.4 4 2 0.029106 0.500001459391 1.28937185021e-06
0.5 4 2 0.044209 0.500001459397 1.96356951763e-06
0.6 4 2 0.044421 0.500001459409 2.77113297004e-06
0.7 4 2 0.044899 0.500001459428 3.70685255916e-06
0.8 4 2 0.029144 0.500001459457 4.76470803939e-06
0.9 4 2 0.028909 0.500001459497 5.93791477105e-06
1 4 2 0.044775 0.500001459552 7.21897563753e-06
1.1 4 2 0.044264 0.500001459623 8.59973819916e-06
1.2 4 2 0.044211 0.500001459711 1.00714565944e-05
1.3 4 2 0.044043 0.500001459818 1.16248576376e-05
1.4 4 2 0.04407 0.500001459945 1.32502105355e-05
1.5 4 2 0.029282 0.500001460093 1.4937399621e-05
1.6 4 2 0.029118 0.50000146026 1.66759994746e-05
1.7 4 2 0.044863 0.500001460447 1.84553517974e-05
1.8 4 2 0.028881 0.500001460653 2.02646433834e-05
1.9 4 2 0.029334 0.500001460876 2.20929845377e-05
2 4 2 0.030591 0.500001461116 2.39294872991e-05
2.1 4 2 0.044408 0.500001461371 2.57633428248e-05
2.2 4 2 0.030501 0.50000146164 2.75838973146e-05
2.3 4 2 0.046075 0.500001461923 2.93807258826e-05
2.4 4 2 0.045875 0.50000146222 3.11437037925e-05
2.5 4 2 0.047866 0.500001462534 3.28630745272e-05
2.6 4 2 0.044483 0.500001462866 3.45295141758e-05
2.7 4 2 0.043665 0.500001463223 3.61341916834e-05
2.8 4 2 0.028244 0.50000146361 3.7668824534e-05
2.9 4 2 0.028883 0.500001464037 3.91257294981e-05
3 4 2 0.044985 0.500001464516 4.04978681103e-05
