# Fbr_dyn timestep cost, layout=ns L=500 U=0.2 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 0.155292 s, Fbr_dyn constructor 0.0228912 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 4 3 500 0.00667203 0.000363964 0.00578654 0.00792407 0.0189268 0.0396734
0.2 4 4 505 0.00633281 0.000452504 0.0057906 0.00831579 0.0212049 0.0420966
0.3 4 4 505 0.00694011 0.000565232 0.00587718 0.043924 0.0218679 0.0791745
0.4 4 4 505 0.00613968 0.00040681 0.00579243 0.00830492 0.0220548 0.0426987
0.5 4 4 505 0.00606753 0.000410161 0.00582759 0.00834423 0.0220563 0.0427058
0.6 4 4 505 0.00602326 0.000415557 0.00578852 0.00831282 0.0220724 0.0426125
0.7 4 4 505 0.00603641 0.000427284 0.0057923 0.00833951 0.0220269 0.0426224
0.8 4 4 505 0.00608401 0.000526592 0.00577444 0.00829993 0.0222214 0.0429064
0.9 4 4 505 0.00621856 0.000541903 0.00579346 0.00834591 0.0220994 0.0429992
1 4 4 505 0.0060964 0.000396486 0.00582298 0.00827735 0.0220666 0.0426598
1.1 4 4 505 0.00606165 0.000459201 0.00579166 0.00832033 0.0222062 0.042839
1.2 4 4 505 0.00611519 0.000403384 0.00578766 0.00831866 0.0220859 0.0427108
1.3 6 4 505 0.00616528 0.00039142 0.00587161 0.00840381 0.0221143 0.0429464
1.4 6 4 514 0.00606538 0.00051995 0.00591511 0.00947188 0.0232973 0.0452696
1.5 6 5 514 0.00609602 0.000642735 0.00609336 0.0460726 0.0235942 0.0824989
1.6 6 5 514 0.00623085 0.000520404 0.00594715 0.00971881 0.0234914 0.0459086
1.7 6 5 514 0.00618351 0.000525748 0.00587581 0.00951409 0.0234874 0.0455866
1.8 6 5 514 0.00606986 0.000562403 0.00596318 0.0459464 0.023338 0.0818799
1.9 6 5 514 0.00625512 0.000498841 0.00591724 0.0095568 0.023472 0.0457
2 6 6 514 0.00609377 0.000701783 0.00597276 0.045648 0.0233883 0.0818046
2.1 6 6 514 0.00616787 0.000653658 0.00592334 0.00957117 0.0234747 0.0457908
2.2 6 6 514 0.00604667 0.000675132 0.00594189 0.0457408 0.023325 0.0817295
2.3 6 6 514 0.00608702 0.000686606 0.00596457 0.0457522 0.0233182 0.0818085
2.4 6 6 514 0.00608222 0.000583708 0.00587991 0.00969894 0.0237153 0.0459601
2.5 6 6 514 0.00617245 0.000529368 0.00588465 0.00970705 0.023738 0.0460315
2.6 6 6 514 0.00616898 0.000518133 0.00589728 0.00973344 0.0241871 0.0465049
2.7 6 6 514 0.00608336 0.000532468 0.00592366 0.00977499 0.0244811 0.0467955
2.8 6 7 514 0.00606202 0.000527795 0.00588912 0.00979462 0.0249304 0.0472039
2.9 6 7 514 0.00615631 0.000655219 0.00591411 0.0098443 0.0252158 0.0477858
3 8 7 514 0.00610339 0.000723711 0.00605019 0.0460771 0.0252167 0.084171
3.1 6 7 527 0.00618383 0.000861794 0.0060269 0.0113862 0.0268751 0.0513338
3.2 6 7 514 0.00611929 0.000539671 0.00597887 0.0458093 0.0256143 0.0840614
3.3 6 7 514 0.00614975 0.00054897 0.00600707 0.0459122 0.0256206 0.0842386
3.4 6 7 514 0.00678886 0.000580489 0.00598005 0.0464705 0.0257402 0.0855601
3.5 6 7 514 0.00619965 0.000520502 0.00587091 0.00992776 0.0257161 0.0482349
3.6 8 7 514 0.00612091 0.000530989 0.00587165 0.00988687 0.0257229 0.0481333
3.7 7 7 527 0.00605189 0.00066437 0.00606293 0.0114144 0.027082 0.0512757
3.8 7 7 520 0.00604954 0.000769312 0.00604398 0.0467521 0.0264663 0.0860812
3.9 7 7 520 0.00621006 0.000623557 0.00603773 0.0469144 0.0264656 0.0862513
4 8 7 520 0.00616896 0.000610812 0.00601193 0.0468603 0.0263249 0.0859769
4.1 8 7 527 0.00611683 0.000668783 0.00606365 0.0115701 0.0272089 0.0516283
4.2 8 7 527 0.00609715 0.000846806 0.00610929 0.047649 0.0270609 0.0877632
4.3 8 7 527 0.00610185 0.000908012 0.00636091 0.048437 0.0267859 0.0885938
4.4 8 7 527 0.00619966 0.000695375 0.0060838 0.0120946 0.0269063 0.0519797
4.5 8 7 527 0.00638125 0.000661835 0.00606508 0.0121561 0.026884 0.0521483
4.6 8 7 527 0.00623887 0.000664131 0.00606693 0.0121051 0.0269404 0.0520155
4.7 8 7 527 0.00611033 0.000695515 0.00605595 0.0121046 0.0268228 0.0517892
4.8 8 7 527 0.00622304 0.000819682 0.00604313 0.0122707 0.0265166 0.0518732
4.9 8 8 527 0.00608022 0.000688638 0.00603877 0.0122385 0.026542 0.0515881
5 8 9 527 0.00607103 0.000708737 0.00608695 0.0486188 0.0264967 0.0879822
5.1 8 9 527 0.00612781 0.000808185 0.00602859 0.0123799 0.0264671 0.0518116
5.2 8 10 527 0.00607365 0.000684109 0.00604581 0.0123846 0.0265475 0.0517357
5.3 8 11 527 0.00605381 0.000701421 0.00618966 0.0491342 0.0265804 0.0886595
5.4 8 11 527 0.00619663 0.000689166 0.00601846 0.0124307 0.0266646 0.0519996
5.5 8 12 527 0.00611013 0.000678165 0.00605014 0.0124523 0.0265166 0.0518072
5.6 8 12 527 0.00601811 0.000693635 0.00606723 0.0488399 0.0269183 0.0885372
5.7 8 12 527 0.00611518 0.000716762 0.00611481 0.0490904 0.0269101 0.0889472
5.8 8 12 527 0.00626289 0.000833629 0.00602713 0.0126086 0.0273041 0.0530363
5.9 8 12 527 0.00623648 0.000718166 0.00610645 0.0491326 0.0271973 0.089391
6 8 12 527 0.00618422 0.000687789 0.00603733 0.0126276 0.0278759 0.0534129
# measure: correlator(0,0) 0.00162817 s, O(L^2) version 0.00283202 s, n0=0.87161550723 |diff|=0
