fbr_green_sep_irlm_v1 L 100 U 0.2 V 0.1 dt 0.1 cutoff 0.0001 steps 484
# t ReG00 ImG00 ReG01 ImG01 maxBondDim n_active   (vs chain: max|dG|=0.00677814)
0 0 -0.500000010886 0 -0.292360321841 24 14
0.1 -0.00487937127048 -0.499656107611 -0.00792101695144 -0.292128468824 24 14
0.2 -0.00974998321776 -0.499500675499 -0.0158096254878 -0.291543039645 20 14
0.3 -0.0145727774574 -0.498923574446 -0.0236584773888 -0.290588819623 19 13
0.4 -0.0194052885003 -0.498513630937 -0.0314251263664 -0.289216400773 20 13
0.5 -0.0242057264208 -0.497668005472 -0.0390798757909 -0.287532156566 19 13
0.6 -0.0289218785553 -0.496685090642 -0.0466489292228 -0.285390621166 19 13
0.7 -0.0336260215033 -0.495676800042 -0.0540616324891 -0.28303566986 20 13
0.8 -0.0381130062522 -0.494505674287 -0.0613386303351 -0.280310620152 20 13
0.9 -0.042663812039 -0.493188482485 -0.0684199147031 -0.27718897443 20 14
1 -0.0472080786509 -0.491739904671 -0.0752692338277 -0.273708459237 20 14
1.1 -0.0515253792687 -0.490005375705 -0.0819098468723 -0.270087360184 21 14
1.2 -0.0558160266196 -0.488387510494 -0.0883295083488 -0.266089323235 21 14
1.3 -0.0600335798909 -0.486857702296 -0.0944793835924 -0.261784829407 21 14
1.4 -0.0642802078489 -0.48503934298 -0.1004583519 -0.257379833836 22 13
1.5 -0.0682184168074 -0.483027566062 -0.106057835449 -0.25261056289 22 13
1.6 -0.0721030647907 -0.480901223834 -0.111424421179 -0.247595506376 22 13
1.7 -0.0759049131788 -0.478735040359 -0.116427798302 -0.242424276185 22 13
1.8 -0.0796757380932 -0.476672867721 -0.121169192446 -0.237180206251 22 13
1.9 -0.0831813736424 -0.474317534383 -0.125597597674 -0.231611712005 21 13
2 -0.0865935607593 -0.472053913279 -0.129695215218 -0.226171170078 21 13
2.1 -0.0898410850635 -0.469774554167 -0.133395348978 -0.220375480763 22 13
2.2 -0.0930633989986 -0.467214320711 -0.136891047665 -0.214665059578 22 13
2.3 -0.0961399660185 -0.464708974263 -0.139975620695 -0.208768497658 22 13
2.4 -0.0992780149979 -0.462387947252 -0.142693695682 -0.202848433376 22 13
2.5 -0.102014854169 -0.459511344376 -0.145220677437 -0.196994142993 24 13
2.6 -0.104804061824 -0.45726968108 -0.147334845637 -0.191018193628 24 13
