# Fbr_dyn timestep cost, layout=ns L=1000 U=0.2 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 1.17323 s, Fbr_dyn constructor 0.0908158 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 4 3 1000 0.0287824 0.00157693 0.0254834 0.032839 0.0361902 0.124872
0.2 4 4 1005 0.0261665 0.00148053 0.0256839 0.0339633 0.0376116 0.124906
0.3 4 4 1005 0.0282955 0.00139152 0.0269509 0.105286 0.0388157 0.20074
0.4 4 4 1005 0.0252734 0.00152199 0.0258722 0.0334559 0.0393589 0.125482
0.5 4 4 1005 0.025067 0.00143948 0.025467 0.0337285 0.0388174 0.124519
0.6 4 4 1005 0.0254259 0.00170974 0.0269044 0.033796 0.039086 0.126922
0.7 4 4 1005 0.0264666 0.00146432 0.0259398 0.0341722 0.0391266 0.12717
0.8 4 4 1005 0.0250317 0.00149342 0.0264342 0.0341094 0.0388433 0.125912
0.9 4 4 1005 0.0251063 0.00133418 0.0257823 0.0333352 0.0388209 0.124379
1 4 4 1005 0.0249284 0.00135669 0.0252907 0.0333844 0.0387875 0.123748
1.1 4 4 1005 0.0249454 0.00133272 0.0256603 0.0333617 0.0387321 0.124032
1.2 4 4 1005 0.025006 0.00231068 0.0254333 0.033364 0.0395733 0.125687
1.3 6 4 1005 0.0281623 0.00175481 0.0268169 0.0341091 0.0389068 0.12975
1.4 6 4 1014 0.0252462 0.00172875 0.0261223 0.0351531 0.040733 0.128983
1.5 6 5 1014 0.0251005 0.00203451 0.0264103 0.0355953 0.040773 0.129914
1.6 6 5 1014 0.0252601 0.00157665 0.0260309 0.0347498 0.0405139 0.128131
1.7 6 5 1014 0.0250883 0.00167456 0.0265685 0.107436 0.0401474 0.200914
1.8 6 5 1014 0.025337 0.0016004 0.02678 0.0355451 0.0401807 0.129443
1.9 6 5 1014 0.0251216 0.00166319 0.0262941 0.0351166 0.0402051 0.128401
2 6 6 1014 0.0250757 0.00176603 0.0260503 0.107678 0.0405493 0.20112
2.1 6 6 1014 0.0255004 0.00262733 0.0257704 0.035396 0.0404569 0.129751
2.2 6 6 1014 0.0250352 0.00154484 0.025944 0.0349416 0.0402292 0.127695
2.3 6 6 1014 0.0249917 0.00152549 0.0254524 0.0346452 0.0406134 0.127228
2.4 6 6 1014 0.0249244 0.0017778 0.0254866 0.0348095 0.0416852 0.128683
2.5 6 6 1014 0.028467 0.00186604 0.027256 0.108623 0.0418783 0.20809
2.6 6 6 1014 0.0251073 0.00165003 0.0257136 0.0349557 0.041838 0.129265
2.7 6 6 1014 0.025109 0.00172261 0.0256012 0.0348277 0.04226 0.129521
2.8 6 7 1014 0.025281 0.00166785 0.0263168 0.107958 0.042058 0.203281
2.9 6 7 1014 0.0252113 0.0015589 0.0256578 0.0348112 0.042163 0.129402
3 6 7 1014 0.0248757 0.00258979 0.0255846 0.0349444 0.0423772 0.130372
3.1 6 7 1014 0.025107 0.00152965 0.0258101 0.0349916 0.0421032 0.129542
