# SIAM quench evolution, spin-symmetric FBR
# n0(t=0)=1  E_gs(ref)=-30.8994525853
# t  n_active  bond_dim  wall_s  n0  energy
9.5 8 4 0.07613 0.83357673511 -0.063453759133
9.6 8 4 0.076188 0.831720686481 -0.0637767636287
9.7 8 4 0.076527 0.829865253244 -0.0641018334191
9.8 8 4 0.077325 0.828010873985 -0.0644281212419
9.9 8 4 0.077316 0.826157995278 -0.0647547675876
10 8 4 0.076431 0.82430706722 -0.0650809095132
10.1 8 4 0.077932 0.822458538953 -0.0654056893282
10.2 10 5 0.117504 0.820612854323 -0.0657282625368
10.3 10 5 0.125695 0.818770448433 -0.0660478070093
10.4 10 5 0.124656 0.816931743377 -0.0663635280886
10.5 10 5 0.127028 0.81509714532 -0.0666746666239
10.6 10 5 0.123943 0.813267040695 -0.0669805051182
10.7 10 5 0.124866 0.811441793435 -0.0672803736327
10.8 10 5 0.124941 0.809621741969 -0.0675736547019
10.9 12 5 0.124217 0.807807197171 -0.0678597881781
11 12 5 0.089512 0.805998440452 -0.0681382742036
11.1 12 5 0.132057 0.804195721481 -0.0684086789661
11.2 12 5 0.132546 0.802399257502 -0.0686706345735
11.3 12 5 0.091542 0.800609231855 -0.0689238401983
11.4 12 5 0.133897 0.798825792998 -0.069168066144
11.5 12 5 0.089677 0.797049054866 -0.0694031519885
11.6 12 5 0.129774 0.795279096833 -0.0696290062828
11.7 12 5 0.089138 0.793515963244 -0.0698456091387
11.8 12 5 0.131562 0.791759665163 -0.0700530051195
11.9 12 5 0.131243 0.790010180428 -0.0702513087868
12 12 5 0.1311 0.788267456763 -0.070440700984
12.1 12 5 0.132896 0.786531410152 -0.0706214131555
12.2 12 5 0.135511 0.784801927902 -0.0707937369664
12.3 12 5 0.090906 0.783078869682 -0.0709579995887
12.4 12 5 0.133133 0.781362072644 -0.071114624293
12.5 12 5 0.133879 0.779651349912 -0.0712640310073
12.6 12 5 0.091801 0.777946495238 -0.0714066923308
12.7 12 5 0.132375 0.776247285113 -0.0715431156875
12.8 12 5 0.091029 0.774553479955 -0.0716738420809
12.9 12 5 0.132254 0.772864830018 -0.0717994107847
13 12 5 0.091271 0.77118107528 -0.0719204030314
13.1 12 5 0.138094 0.769501949195 -0.0720374035411
13.2 12 5 0.090838 0.767827181277 -0.0721510002814
13.3 12 5 0.091081 0.766156500031 -0.0722617837232
13.4 12 5 0.132804 0.764489635715 -0.0723703387754
13.5 12 5 0.132437 0.762826321948 -0.0724772381088
13.6 12 5 0.091319 0.761166299203 -0.0725830383798
13.7 12 5 0.091861 0.759509317104 -0.0726882797024
13.8 12 5 0.092051 0.757855135859 -0.0727934752116
13.9 12 5 0.091539 0.756203529087 -0.0728991110347
14 12 5 0.141125 0.754554285419 -0.0730056427488
14.1 12 5 0.091576 0.752907209805 -0.0731134844254
14.2 12 5 0.091296 0.751262124603 -0.0732230158791
14.3 12 5 0.092672 0.749618872638 -0.0733345809688
14.4 12 5 0.09426 0.747977316871 -0.0734484731222
14.5 12 6 0.09385 0.746337341383 -0.0735649445971
14.6 12 6 0.093342 0.744698852118 -0.0736842035238
14.7 12 6 0.092971 0.743061780027 -0.0738063080593
14.8 12 6 0.094678 0.741426076734 -0.0739314716207
14.9 12 6 0.093813 0.739791716005 -0.0740597700432
15 12 6 0.093373 0.738158693312 -0.0741912282026
15.1 12 6 0.096593 0.736527025703 -0.0743258262985
15.2 12 6 0.094635 0.734896751016 -0.0744635014444
15.3 12 6 0.093971 0.733267927057 -0.0746041498611
15.4 12 6 0.093391 0.73164063053 -0.074747628321
15.5 12 6 0.095995 0.730014955888 -0.0748937569938
15.6 12 6 0.094065 0.728391014017 -0.0750423220996
15.7 12 6 0.094365 0.726768930708 -0.0751930788805
15.8 12 6 0.093553 0.725148844994 -0.0753457549655
15.9 12 6 0.093788 0.723530907732 -0.0755000534993
16 12 6 0.094379 0.72191527977 -0.0756556567087
16.1 12 6 0.097078 0.72030212982 -0.0758122299745
16.2 12 6 0.094448 0.718691633274 -0.0759694248632
16.3 12 6 0.094469 0.717083969911 -0.0761268833134
16.4 12 6 0.095689 0.715479321841 -0.0762842418824
16.5 12 6 0.095602 0.713877872435 -0.0764411343406
16.6 12 6 0.095467 0.712279803499 -0.0765971966741
16.7 12 6 0.095966 0.710685294442 -0.076752069661
16.8 12 6 0.095514 0.709094520254 -0.0769054025804
16.9 12 6 0.095042 0.707507649444 -0.0770568571891
17 12 6 0.096545 0.705924843385 -0.0772061097718
17.1 12 6 0.096117 0.704346254099 -0.0773528550445
17.2 12 6 0.100479 0.70277202355 -0.0774968079538
17.3 12 6 0.095668 0.701202282198 -0.0776377067979
17.4 12 6 0.094831 0.699637147902 -0.0777753152411
17.5 12 6 0.095403 0.69807672545 -0.077909423424
17.6 12 6 0.095212 0.696521105134 -0.0780398507677
17.7 12 6 0.09597 0.694970362811 -0.0781664462497
17.8 12 6 0.095532 0.693424559088 -0.0782890901183
17.9 12 7 0.095953 0.691883739218 -0.0784076932794
18 12 7 0.095924 0.690347932815 -0.0785221991559
18.1 12 7 0.096525 0.688817154083 -0.0786325830539
18.2 12 7 0.095166 0.687291401768 -0.0787388503086
18.3 14 7 0.102055 0.685770659812 -0.0788410382576
18.4 14 7 0.145449 0.684254897221 -0.0789392140734
18.5 12 7 0.146333 0.682744069135 -0.0790334746866
18.6 12 7 0.139839 0.681238117481 -0.0791239423697
18.7 12 7 0.100183 0.679736971561 -0.0792107660186
18.8 12 7 0.099739 0.678240549303 -0.0792941188355
18.9 12 7 0.099538 0.676748758015 -0.0793741957051
19 14 7 0.09911 0.675261495563 -0.0794512111326
19.1 16 7 0.151929 0.673778651543 -0.0795253968747
19.2 16 7 0.112191 0.672300108535 -0.0795969991216
19.3 16 7 0.109608 0.67082574324 -0.0796662771566
19.4 16 7 0.1501 0.66935542801 -0.0797334986173
19.5 16 7 0.149908 0.667889031916 -0.0797989387954
19.6 16 7 0.150901 0.666426422217 -0.0798628767366
19.7 16 7 0.110838 0.664967465378 -0.0799255934202
19.8 16 7 0.151624 0.663512029127 -0.0799873676864
19.9 16 7 0.163167 0.662059982887 -0.0800484751776
20 16 7 0.150329 0.660611199298 -0.0801091845836
20.1 16 7 0.110712 0.659165555262 -0.0801697563995
20.2 16 7 0.110414 0.657722933514 -0.0802304395293
20.3 16 7 0.150708 0.656283223135 -0.0802914701689
20.4 16 7 0.110074 0.654846320552 -0.080353069214
20.5 16 7 0.151215 0.653412130752 -0.0804154395329
20.6 16 7 0.153156 0.651980567466 -0.0804787678097
20.7 16 7 0.108797 0.650551554139 -0.0805432187641
20.8 16 7 0.149101 0.649125024408 -0.0806089366192
20.9 16 8 0.150196 0.647700922703 -0.0806760435682
21 16 7 0.149734 0.646279204916 -0.0807446390659
21.1 16 7 0.149693 0.64485983755 -0.0808147993827
21.2 16 7 0.109914 0.64344279846 -0.0808865773967
21.3 16 7 0.110454 0.642028077039 -0.0809600019343
21.4 16 7 0.153022 0.640615673745 -0.081035078606
21.5 16 7 0.109771 0.639205599707 -0.0811117909873
21.6 16 7 0.110214 0.637797876939 -0.0811900970048
21.7 16 7 0.110086 0.636392537444 -0.0812699400759
21.8 16 7 0.150201 0.634989622535 -0.0813512382768
21.9 16 7 0.150011 0.633589182987 -0.081433890636
22 16 7 0.110433 0.632191277824 -0.0815177788837
22.1 16 7 0.155615 0.630795973366 -0.0816027677113
22.2 16 7 0.109387 0.629403342772 -0.0816887109291
22.3 16 7 0.159681 0.628013465113 -0.0817754456048
22.4 16 7 0.156298 0.626626424664 -0.0818627989646
22.5 16 7 0.115446 0.625242308997 -0.0819505892321
22.6 16 7 0.114188 0.623861209343 -0.0820386259275
22.7 16 7 0.114059 0.622483218833 -0.0821267171461
22.8 16 7 0.155195 0.621108431485 -0.0822146670787
22.9 16 7 0.161487 0.619736941594 -0.0823022780345
23 16 7 0.156326 0.618368842584 -0.0823893522461
23.1 16 7 0.156836 0.617004225971 -0.0824756963469
23.2 16 7 0.157208 0.615643180418 -0.0825611211334
23.3 16 7 0.11567 0.614285791384 -0.0826454448574
23.4 16 7 0.11574 0.612932140064 -0.0827284872773
23.5 16 7 0.158064 0.611582301567 -0.0828101004395
23.6 16 7 0.162643 0.610236346075 -0.0828901188994
23.7 16 7 0.1588 0.60889433708 -0.0829684060705
23.8 16 7 0.158765 0.607556331117 -0.083044835904
23.9 16 7 0.15685 0.606222377045 -0.0831192973465
24 16 7 0.116043 0.604892516108 -0.0831916972613
24.1 16 7 0.11597 0.603566781148 -0.0832619565059
24.2 16 7 0.159033 0.602245196594 -0.0833300143041
24.3 16 7 0.159953 0.600927778489 -0.0833958269078
24.4 16 7 0.149871 0.599614534244 -0.0834593690746
24.5 16 7 0.151309 0.598305462563 -0.0835206355094
24.6 16 7 0.151571 0.597000553856 -0.0835796309689
24.7 16 7 0.151884 0.59569979023 -0.0836363842494
24.8 16 7 0.153124 0.594403145789 -0.0836909393522
24.9 16 7 0.156738 0.593110587015 -0.0837433562268
25 16 7 0.111639 0.591822073266 -0.0837937101366
25.1 16 7 0.15232 0.590537556884 -0.0838420904772
25.2 16 7 0.112484 0.589256984177 -0.0838886015529
25.3 16 7 0.152338 0.587980296327 -0.0839333486662
25.4 16 7 0.111713 0.586707428711 -0.0839764708229
25.5 16 7 0.112979 0.585438312604 -0.084018097682
25.6 16 7 0.15296 0.584172875875 -0.0840583717121
25.7 16 7 0.113536 0.582911043392 -0.0840974426256
25.8 16 7 0.112635 0.581652737935 -0.0841354651092
25.9 16 7 0.15164 0.58039788091 -0.0841725970873
26 16 7 0.111448 0.579146393002 -0.0842089984823
26.1 16 7 0.15303 0.577898195106 -0.0842448296193
26.2 16 7 0.152192 0.576653208918 -0.0842802496245
26.3 16 7 0.152792 0.57541135768 -0.0843154148712
26.4 16 7 0.151942 0.574172566909 -0.0843504774523
