# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.025 V=0.1 dt=0.1 tmax=250 E_gs=-158.222021525
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
2.1 76 24 3.684811 -0.0481788134556 -0.489778501003 0.500000011137 -0.2368811927 -8.84739095728e-08 -0.101749678265 -0.060167267503
2.2 80 24 3.873975 -0.0501823702258 -0.488879016153 0.500000009188 -0.236883062572 -1.13607931495e-07 -0.101750426793 -0.0607940991885
2.3 84 26 4.058658 -0.0521508802296 -0.487954567933 0.500000006688 -0.236884904294 -1.40842684343e-07 -0.101751166754 -0.061432602298
2.4 88 25 4.442387 -0.0540838856798 -0.487007037635 0.50000000365 -0.236886715915 -1.68375566855e-07 -0.101751897158 -0.0620807267796
2.5 92 26 4.581378 -0.0559810482727 -0.486038304355 0.500000000032 -0.236888482715 -1.96624675918e-07 -0.10175261149 -0.06273642905
2.6 96 25 4.978449 -0.0578421440429 -0.485050240652 0.499999995878 -0.236890198838 -2.23277161868e-07 -0.10175330761 -0.0633976811439
2.7 100 26 5.264626 -0.0596670655387 -0.484044702155 0.499999991188 -0.236891853469 -2.47973591844e-07 -0.10175398091 -0.0640624803209
2.8 104 28 5.573955 -0.061455815306 -0.483023522055 0.499999986057 -0.236893439212 -2.68933729258e-07 -0.101754628582 -0.0647288598757
2.9 108 26 5.951147 -0.0632085052592 -0.481988501807 0.499999980557 -0.236894945275 -2.86118234134e-07 -0.101755246149 -0.0653948962955
3 112 29 6.480176 -0.064925353429 -0.480941404383 0.499999974717 -0.236896366547 -2.99131130597e-07 -0.101755831328 -0.0660587164981
3.1 116 26 5.957213 -0.0666066763907 -0.479883950432 0.49999996868 -0.236897694523 -3.06240788782e-07 -0.101756380644 -0.0667185122293
3.2 120 28 7.140081 -0.0682528897903 -0.478817805951 0.499999962538 -0.236898923549 -3.09619887075e-07 -0.101756891959 -0.0673725419321
3.3 124 28 7.470915 -0.0698645003449 -0.47774458197 0.499999956383 -0.23690004681 -3.05973178427e-07 -0.10175736196 -0.0680191413437
3.4 128 28 7.679675 -0.0714421010513 -0.476665826905 0.499999950369 -0.236901061453 -2.95927979933e-07 -0.101757789265 -0.0686567271769
3.5 132 27 7.74874 -0.0729863689237 -0.475583021653 0.499999944624 -0.236901963923 -2.79700701263e-07 -0.101758172426 -0.0692838069653
3.6 136 28 8.289209 -0.0744980467867 -0.474497572385 0.499999939305 -0.236902747936 -2.54855666785e-07 -0.10175850869 -0.0698989817741
3.7 140 30 8.819882 -0.0759779532649 -0.4734108127 0.499999934549 -0.23690341573 -2.24393185356e-07 -0.101758799317 -0.0705009540134
3.8 144 28 9.213771 -0.0774269714555 -0.472323995012 0.499999930434 -0.236903962042 -1.88305465342e-07 -0.101759041698 -0.0710885268582
3.9 148 28 10.087576 -0.078846029757 -0.471238287931 0.499999927091 -0.236904387735 -1.45489975823e-07 -0.101759235907 -0.0716606154121
4 152 27 9.031825 -0.0802361123702 -0.470154775811 0.499999924706 -0.23690468947 -9.56509194157e-08 -0.101759380599 -0.072216242887
4.1 156 30 9.879607 -0.0815982464431 -0.469074455007 0.499999923338 -0.236904871249 -4.2573473064e-08 -0.101759477173 -0.0727545443869
4.2 160 29 10.078771 -0.0829334894677 -0.467998235109 0.499999923165 -0.236904934589 1.97594332988e-08 -0.101759526018 -0.0732747714234
4.3 164 30 10.25426 -0.0842429304406 -0.466926933936 0.499999924268 -0.236904883126 8.64881201344e-08 -0.10175952825 -0.0737762895488
4.4 168 31 11.487371 -0.0855276773117 -0.465861281656 0.499999926762 -0.236904723452 1.57435554235e-07 -0.101759486602 -0.0742585824789
4.5 172 31 11.776509 -0.0867888531296 -0.464801918498 0.499999930642 -0.236904451008 2.28385478691e-07 -0.101759399893 -0.0747212444647
4.6 176 30 12.595079 -0.0880275876454 -0.463749397447 0.499999935981 -0.236904082426 3.02476845898e-07 -0.101759272071 -0.0751639869746
4.7 180 29 11.792164 -0.0892450125497 -0.462704181957 0.499999942773 -0.236903613406 3.77267286832e-07 -0.101759103767 -0.0755866298931
