# Fbr_dyn timestep cost, layout=sym L=1000 U=0.1 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 0.407045 s, Fbr_dyn constructor 0.112212 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 8 3 1000 0.0420828 0.00302575 0.0277243 0.0570916 0.161347 0.291272
0.2 8 4 1010 0.0402425 0.00269678 0.0287576 0.0515346 0.166346 0.289578
0.3 8 4 1010 0.041804 0.00245404 0.0283089 0.204644 0.167887 0.445099
0.4 8 4 1010 0.0431388 0.00222898 0.0286411 0.0486106 0.167548 0.290167
0.5 8 4 1010 0.0431917 0.00275084 0.0286884 0.0487076 0.1683 0.291639
0.6 8 4 1010 0.0396555 0.00299301 0.0279209 0.0478267 0.168071 0.286467
0.7 8 4 1010 0.038639 0.00340622 0.0279412 0.0478957 0.1681 0.285983
0.8 8 4 1010 0.0393207 0.00338316 0.0282124 0.0482019 0.171577 0.290695
0.9 8 4 1010 0.0386888 0.00228356 0.0279736 0.0476056 0.167743 0.284295
1 8 4 1010 0.0402403 0.00381569 0.031738 0.0500564 0.168319 0.294169
1.1 8 4 1010 0.0433171 0.00351121 0.0287412 0.0486963 0.167898 0.292164
1.2 8 4 1010 0.0387783 0.00279262 0.027612 0.0476051 0.167675 0.284463
1.3 8 4 1010 0.0386262 0.00320859 0.0277646 0.0475779 0.167512 0.284689
1.4 8 4 1010 0.0386949 0.00348371 0.0275936 0.0475956 0.167383 0.284751
1.5 8 4 1010 0.0386337 0.0035965 0.0276834 0.0476143 0.168045 0.285573
1.6 8 4 1010 0.0385148 0.0023445 0.0276612 0.0481825 0.168795 0.285498
1.7 8 4 1010 0.0391858 0.00333777 0.0278719 0.0480072 0.168221 0.286624
1.8 8 4 1010 0.0386823 0.00367175 0.0276721 0.047878 0.167854 0.285758
1.9 8 4 1010 0.0389965 0.00229259 0.0287898 0.0481713 0.167953 0.286203
2 8 4 1010 0.0387179 0.00334672 0.027432 0.0479489 0.168295 0.28574
2.1 8 4 1010 0.0387 0.0036551 0.028078 0.0487011 0.167947 0.287081
2.2 8 4 1010 0.0396378 0.00334261 0.0277692 0.0478083 0.168099 0.286657
2.3 8 4 1010 0.0385882 0.0027984 0.0276684 0.0476621 0.167381 0.284099
2.4 8 4 1010 0.0387232 0.00264657 0.0291501 0.0490744 0.168025 0.287619
2.5 8 4 1010 0.0391885 0.00363447 0.0277157 0.04772 0.167967 0.286226
2.6 8 4 1010 0.038626 0.00235684 0.0276497 0.0476587 0.169496 0.285788
2.7 8 4 1010 0.0387045 0.00232041 0.028426 0.0486858 0.168186 0.286323
2.8 8 4 1010 0.0386246 0.00387681 0.02759 0.204136 0.167578 0.441806
2.9 8 4 1010 0.0386871 0.00228983 0.0280833 0.202882 0.167416 0.439358
3 8 4 1010 0.0388997 0.00367363 0.0277359 0.0483523 0.167784 0.286445
3.1 10 5 1010 0.0385114 0.00322586 0.0279898 0.20473 0.168581 0.443038
3.2 10 5 1018 0.039025 0.00256535 0.0279863 0.205099 0.16945 0.444126
3.3 10 6 1018 0.0386736 0.00368279 0.0280649 0.20466 0.168231 0.443312
3.4 10 6 1018 0.0386069 0.00268758 0.0287704 0.205659 0.169633 0.445357
3.5 10 6 1018 0.0389409 0.00259289 0.0281951 0.206759 0.16925 0.445738
3.6 10 6 1018 0.0387196 0.00261637 0.0285764 0.204504 0.170099 0.444515
3.7 10 6 1018 0.0386796 0.0026148 0.0285472 0.206067 0.16959 0.445498
3.8 10 6 1018 0.0384934 0.0025948 0.0280763 0.206533 0.169767 0.445464
3.9 10 7 1018 0.0386448 0.00364341 0.028168 0.20614 0.169283 0.445879
4 12 7 1018 0.0386582 0.00393426 0.0278861 0.204505 0.170644 0.445628
4.1 12 7 1028 0.038691 0.00406069 0.0289351 0.051423 0.170679 0.293789
4.2 12 7 1028 0.0386987 0.0028313 0.0281769 0.0507679 0.170241 0.290715
4.3 12 8 1028 0.0385384 0.0034297 0.028218 0.206856 0.169613 0.446655
4.4 12 8 1028 0.0384977 0.0027802 0.0280924 0.0505902 0.170319 0.290279
4.5 12 8 1028 0.0387355 0.00395214 0.0283053 0.0505803 0.170693 0.292267
4.6 12 8 1028 0.0386388 0.00410195 0.0281904 0.208229 0.172297 0.451456
4.7 14 8 1028 0.0388866 0.00380785 0.0286046 0.0509399 0.172098 0.294337
4.8 12 8 1040 0.0386571 0.00318757 0.0285426 0.209213 0.173281 0.452881
4.9 12 8 1028 0.0392864 0.00280547 0.0281947 0.051321 0.172872 0.29448
5 12 8 1028 0.0386397 0.00406444 0.0280854 0.0509956 0.171152 0.292937
5.1 14 8 1028 0.0386213 0.00352616 0.028395 0.0512881 0.171947 0.293778
5.2 12 8 1040 0.0386147 0.00295341 0.0287547 0.208666 0.172388 0.451377
5.3 12 8 1028 0.0387264 0.0028471 0.0282226 0.0512831 0.172647 0.293726
5.4 14 8 1028 0.0389494 0.00290226 0.0290706 0.0515734 0.173516 0.296011
5.5 14 8 1040 0.0386674 0.00429281 0.0285028 0.20887 0.175275 0.455608
5.6 14 8 1040 0.0387527 0.00307577 0.0284729 0.210455 0.175904 0.45666
5.7 12 8 1040 0.0387008 0.00341217 0.0284285 0.20975 0.175918 0.456209
5.8 12 8 1028 0.0387516 0.00326138 0.0290717 0.208426 0.176161 0.455672
5.9 12 8 1028 0.0388592 0.00281482 0.0282276 0.207019 0.175632 0.452553
6 14 8 1028 0.0384744 0.00381318 0.0285229 0.209121 0.174981 0.454912
# measure: correlator(0,0) 0.00677582 s, O(L^2) version 0.0152094 s, n0=0.886199415745 |diff|=0
