bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
36  0.107632 0.157735 12 8   1.24388 0.00947845 32   0.0398497
36.1  0.108221 0.162886 12 8   1.24378 0.00949929 32   0.039591
36.2  0.108236 0.152915 12 8   1.24428 0.00948444 32   0.0392971
36.3  0.107832 0.156752 12 8   1.24401 0.00964648 32   0.0389701
36.4  0.121179 0.159188 12 8   1.24429 0.00948028 33   0.0386127
36.5  0.107942 0.173382 12 8   1.2449 0.00945377 33   0.0382272
36.6  0.120972 0.173434 12 8   1.24683 0.00949581 33   0.0146228
36.7  0.121066 0.15587 12 8   1.2463 0.00945386 33   0.0107199
36.8  0.108177 0.171458 12 8   1.24711 0.00945175 33   0.0369347
36.9  0.108067 0.16373 12 8   1.24705 0.00950323 33   0.0364693
37  0.101559 0.151124 12 8   1.24587 0.00948761 33   0.0359936
37.1  0.107898 0.158427 12 8   1.24731 0.00947047 33   0.0355104
37.2  0.114279 0.1717 12 9   1.24692 0.00952434 33   0.0350245
37.3  0.115048 0.170769 12 9   1.24763 0.00948481 33   0.0345399
37.4  0.100813 0.166698 12 9   1.24859 0.00950162 33   0.0340616
37.5  0.121393 0.160522 12 9   1.24819 0.00947576 33   0.0335936
37.6  0.114669 0.169609 12 9   1.24895 0.00949847 33   0.0315762
37.7  0.10793 0.162872 12 9   1.24848 0.00949129 33   0.0327068
37.8  0.120611 0.167957 12 9   1.24844 0.00953959 33   0.0330454
37.9  0.107188 0.155707 12 9   1.24976 0.00946545 33   0.0319155
38  0.127336 0.166856 12 9   1.24999 0.0094864 33   0.0315661
38.1  0.107532 0.163025 12 9   1.25039 0.0094845 34   0.0312527
38.2  0.107523 0.167929 12 9   1.24887 0.00949416 34   0.023398
38.3  0.107114 0.163381 12 9   1.25005 0.00946066 34   0.00486905
38.4  0.127212 0.164079 12 9   1.25125 0.0094668 34   0.028699
38.5  0.120353 0.162834 12 9   1.25102 0.00948841 34   0.0298744
38.6  0.121046 0.160049 12 9   1.25064 0.00949128 34   0.00266624
38.7  0.120938 0.16846 12 9   1.2507 0.00948852 34   0.0348849
38.8  0.113972 0.164804 12 9   1.25203 0.0094839 34   0.0354336
38.9  0.127491 0.162945 12 9   1.25237 0.0094734 34   0.0382077
39  0.127657 0.160784 12 9   1.25336 0.00947271 34   0.0304343
39.1  0.121321 0.164594 12 9   1.25323 0.00949071 34   0.0305749
39.2  0.108368 0.155366 12 9   1.2536 0.00953487 34   0.0439498
39.3  0.121768 0.157407 12 9   1.25282 0.00949243 34   0.045036
39.4  0.121257 0.164331 12 9   1.25185 0.00946034 34   0.0312303
39.5  0.107898 0.153535 12 9   1.25198 0.00951223 34   0.0478863
39.6  0.100608 0.159851 12 9   1.2505 0.00949873 34   0.0318265
39.7  0.114543 0.158262 12 9   1.2524 0.00948539 34   0.0321605
39.8  0.12099 0.163495 12 9   1.2514 0.00953939 34   0.0325128
39.9  0.121035 0.163487 12 9   1.25166 0.00951367 34   0.032879
40  0.114488 0.171735 12 9   1.2537 0.0094736 34   0.0332551
