bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
8.2  0.109847 0.129437 12 7   1.14876 0.00947153 21   0.00357578
8.3  0.129933 0.130906 12 7   1.14926 0.00938967 21   0.00278634
8.4  0.117323 0.132143 12 7   1.15198 0.00939292 21   0.00496204
8.5  0.11109 0.134706 12 7   1.1527 0.00946815 21   0.00611808
8.6  0.117729 0.13248 12 7   1.15571 0.00936276 21   0.00238676
8.7  0.110974 0.132121 12 7   1.15616 0.00943631 21   0.0023097
8.8  0.104366 0.131579 12 7   1.15649 0.00939046 21   0.00247302
8.9  0.124172 0.130913 12 7   1.15749 0.00933953 21   0.00206622
9  0.111555 0.130201 12 7   1.15884 0.00938326 22   0.00361212
9.1  0.118525 0.132065 12 7   1.15735 0.00939767 22   0.0032408
9.2  0.118382 0.132735 12 7   1.15867 0.00938057 22   0.00235162
9.3  0.112544 0.134076 12 7   1.15951 0.0093561 22   0.00667753
9.4  0.112446 0.132543 12 7   1.15856 0.00936813 22   0.00664603
9.5  0.119099 0.137026 12 7   1.15904 0.00939624 22   0.00448416
9.6  0.106039 0.137767 12 7   1.15991 0.00937332 22   0.00418992
9.7  0.119109 0.133487 12 7   1.16034 0.00939345 22   0.00290206
9.8  0.112821 0.134766 12 7   1.16079 0.00936954 22   0.0055676
9.9  0.118987 0.135145 12 7   1.16251 0.00938834 22   0.0034131
10  0.105912 0.134308 12 7   1.16241 0.00939944 22   0.00338973
10.1  0.112895 0.137752 12 7   1.16482 0.00942637 22   0.00486539
10.2  0.105879 0.133664 12 7   1.16343 0.00943721 22   0.00573397
10.3  0.125437 0.144048 12 7   1.16383 0.009386 22   0.0041338
10.4  0.125895 0.146543 12 7   1.16539 0.00936643 22   0.00541035
10.5  0.106074 0.142261 12 7   1.1655 0.00938303 22   0.00454203
10.6  0.125606 0.144902 12 7   1.16495 0.00939709 22   0.00438108
10.7  0.112517 0.141456 12 7   1.16857 0.00937349 22   0.00366169
10.8  0.10574 0.14027 12 8   1.16951 0.00941427 22   0.00492528
10.9  0.0999166 0.140202 12 8   1.1695 0.00939666 22   0.00538733
11  0.10636 0.148215 12 8   1.16957 0.0093623 22   0.00561608
11.1  0.106296 0.143632 12 8   1.1705 0.00944967 22   0.00428859
11.2  0.11285 0.145401 12 8   1.17088 0.00942238 22   0.00347324
11.3  0.1131 0.146886 12 8   1.17076 0.0093799 22   0.00497038
11.4  0.107164 0.145692 12 8   1.17167 0.00940053 22   0.00501647
11.5  0.11325 0.147031 12 8   1.17251 0.00939808 22   0.00458796
11.6  0.0999499 0.140201 12 8   1.17388 0.00939608 22   0.00464321
11.7  0.106887 0.139785 12 8   1.17391 0.0094611 22   0.00113471
11.8  0.106714 0.142299 12 8   1.17759 0.00942465 22   0.00437384
11.9  0.113536 0.143247 12 8   1.1802 0.00940908 22   0.00381919
12  0.11327 0.147156 12 8   1.18078 0.00943667 22   0.0041772
12.1  0.11381 0.147115 12 8   1.1835 0.00939323 22   0.00302246
12.2  0.10047 0.150976 12 8   1.18193 0.00944325 22   0.00333799
12.3  0.107183 0.143684 12 8   1.18145 0.00938937 22   0.0119848
12.4  0.120315 0.146026 12 8   1.18308 0.00944922 22   0.00182284
12.5  0.093463 0.147303 12 8   1.18229 0.00943747 22   0.00142337
