# SIAM excitation B=c_0up^dag|gs> (normalized), method=star
# L=200 U=0.025 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# E_gs=-62.7298692501 gs_bond_dim=39 gs_wall_s=85.575074
# nrm=0.70710678136  G00(t) = -i nrm^2 exp(i E_gs t) A(t)
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 200 39 0.010291 1 0.556033591456 1 0
0.1 200 21 1.597672 0.99996157087 0.556028764253 0.999846906394 -0.0151318457263
0.2 200 19 1.539957 0.999846380047 0.556013850024 0.999387900643 -0.0302535630652
0.3 200 19 1.520866 0.99965473178 0.555988868539 0.998623782835 -0.0453550593129
0.4 200 19 1.525188 0.999387134107 0.555953877995 0.997555885797 -0.0604263156225
0.5 200 19 1.51729 0.999044294593 0.555908924578 0.996186066291 -0.0754574231874
0.6 200 19 1.514761 0.998627117028 0.555854070208 0.994516694444 -0.0904386186982
0.7 200 19 1.522622 0.998136697574 0.555789392676 0.992550641016 -0.10536031895
0.8 200 19 1.521662 0.997574320075 0.555714985276 0.9902912621 -0.120213154348
0.9 200 19 1.519198 0.99694144884 0.555630950316 0.987742381014 -0.134988000727
1 200 19 1.525746 0.996239724161 0.555537407484 0.984908268376 -0.149676010175
1.1 200 19 1.525093 0.995470949749 0.555434482884 0.981793618931 -0.164268639209
1.2 200 19 1.523225 0.994637089984 0.555322316895 0.978403527484 -0.178757675833
1.3 200 19 1.52263 0.993740254356 0.555201071591 0.974743462009 -0.193135263834
1.4 200 19 1.520708 0.992782695212 0.555070896971 0.970819235294 -0.207393925038
1.5 200 19 1.500748 0.991766791116 0.554931958069 0.966636975395 -0.221526579145
1.6 200 19 1.517865 0.99069503871 0.55478443276 0.962203094557 -0.235526561237
1.7 200 19 1.535345 0.989570040614 0.55462850674 0.957524256821 -0.249387636452
1.8 200 19 1.489802 0.988394493215 0.554464372002 0.952607345124 -0.263104011907
1.9 200 19 1.481099 0.987171174453 0.55429222721 0.947459427807 -0.276670346047
2 200 19 1.492512 0.985902929888 0.554112272577 0.942087724373 -0.290081755111
2.1 200 19 1.494081 0.984592665664 0.553924708899 0.936499571499 -0.303333817369
2.2 200 19 1.480181 0.983243328091 0.553729758809 0.930702389041 -0.316422573681
2.3 200 19 1.465921 0.981857896208 0.553527637128 0.924703646218 -0.329344526201
2.4 200 19 1.456508 0.980439367623 0.553318560833 0.918510828471 -0.342096634022
2.5 200 19 1.446211 0.978990749141 0.553102764708 0.912131405179 -0.354676306319
2.6 200 19 1.462823 0.977515034249 0.552880444755 0.905572797515 -0.367081393164
2.7 200 19 1.465759 0.976015199552 0.552651818191 0.898842348773 -0.379310173127
2.8 200 19 1.438758 0.974494193534 0.552417111859 0.891947295769 -0.391361340106
2.9 200 19 1.475967 0.97295492121 0.552176542538 0.884894740779 -0.403233986953
3 200 19 1.465965 0.971400232558 0.551930324102 0.877691626213 -0.414927587109
3.1 200 19 1.454184 0.969832913097 0.551678668709 0.870344710659 -0.426441975259
3.2 200 19 1.441581 0.968255672262 0.551421814093 0.86286054919 -0.437777326621
3.3 200 19 1.428087 0.966671138025 0.551159943083 0.855245467948 -0.448934131471
3.4 200 19 1.441578 0.965081846157 0.550893244841 0.847505551508 -0.459913173881
3.5 200 19 1.448495 0.963490224809 0.550621898172 0.83964662657 -0.470715504039
3.6 200 19 1.452184 0.961898597472 0.550346109561 0.831674248288 -0.481342414629
3.7 200 19 1.437119 0.960309169574 0.550066058393 0.82359368966 -0.491795412632
3.8 200 19 1.437214 0.958724027266 0.54978191832 0.815409933467 -0.50207619402
3.9 200 19 1.417633 0.957145128281 0.549493858625 0.807127666637 -0.512186616405
4 200 19 1.449025 0.955574295214 0.549202036504 0.798751276688 -0.522128669689
4.1 200 19 1.435038 0.954013218398 0.548906607855 0.790284849487 -0.531904452335
4.2 200 19 1.457824 0.952463447462 0.54860772272 0.781732177164 -0.541516140975
4.3 200 19 1.437248 0.950926391402 0.548305513134 0.773096743913 -0.550965971684
4.4 200 19 1.429777 0.949403317741 0.548000114446 0.764381747715 -0.56025620862
4.5 200 19 1.442514 0.947895353574 0.54769165047 0.755590101204 -0.569389122627
4.6 200 19 1.451617 0.94640348167 0.547380232451 0.74672444339 -0.57836696567
4.7 200 19 1.327823 0.944928543878 0.547065977374 0.737787148757 -0.587191953005
4.8 200 19 1.231199 0.943471245813 0.546748976317 0.728780339252 -0.595866240193
4.9 200 19 1.049832 0.942032154776 0.546429329429 0.71970589961 -0.604391905921
5 200 19 1.049371 0.940611706276 0.546107126776 0.710565490993 -0.612770934691
5.1 200 19 1.048422 0.939210205841 0.545782450349 0.701360570307 -0.621005200892
5.2 200 19 1.049784 0.937827835624 0.545455365873 0.692092403602 -0.629096456291
5.3 200 19 1.050693 0.936464656895 0.545125958219 0.682762098868 -0.637046316191
5.4 200 19 1.05052 0.935120616519 0.544794294424 0.673370589572 -0.644856254203
5.5 200 19 1.049418 0.933795555986 0.544460436827 0.663918693514 -0.652527591567
5.6 200 19 1.048574 0.932489213611 0.54412444728 0.654407103891 -0.660061490879
5.7 200 19 1.049812 0.931201237458 0.543786373496 0.644836419473 -0.667458945645
5.8 200 19 1.050779 0.929931187962 0.543446264224 0.635207169391 -0.674720787128
5.9 200 19 1.051369 0.928678548546 0.543104161616 0.62551982374 -0.681847678681
6 200 19 1.162714 0.927442728466 0.542760110205 0.615774815689 -0.688840123523
6.1 200 19 1.087176 0.926223075368 0.542414147341 0.605972560015 -0.695698459681
6.2 200 19 1.33278 0.925018890472 0.542066307634 0.596113469028 -0.702422868618
6.3 200 19 1.451141 0.923829411112 0.541716621408 0.586197970299 -0.709013379564
6.4 200 19 1.449908 0.9226538429 0.541365122008 0.576226520985 -0.71546987809
6.5 200 19 1.458877 0.921491360741 0.541011838107 0.566199620668 -0.721792113243
6.6 200 19 1.448448 0.920341116623 0.540656797377 0.556117828598 -0.727979709056
6.7 200 19 1.437938 0.919202248115 0.540300022914 0.545981772969 -0.734032173364
6.8 200 19 1.405906 0.918073881039 0.539941544926 0.535792159461 -0.739948907783
6.9 200 19 1.095936 0.916955143946 0.539581389085 0.525549786129 -0.7457292254
7 200 19 1.400937 0.9158451715 0.539219580705 0.51525554664 -0.751372357724
7.1 200 19 1.402922 0.914743110926 0.538856111996 0.504910439081 -0.756877470908
7.2 200 19 1.398933 0.913648137635 0.538491034124 0.494515570953 -0.762243681794
7.3 200 19 1.397242 0.912559437982 0.538124379854 0.484072159386 -0.76747006731
7.4 200 19 1.398069 0.911476239973 0.5377561711 0.473581538997 -0.772555678904
7.5 200 19 1.40116 0.910397798618 0.537386439629 0.463045157059 -0.777499557761
