fbr_green_shared_irlm_v1 L 100 U 0.2 V 0.1 dt 0.1 steps 201
# t ReG00 ImG00 ReG01 ImG01 maxBondDim n_active   (vs chain: max|dG|=7.11345e-05)
0 0 -0.500000010886 0 -0.292360321841 24 14
0.1 -0.00487896992907 -0.499920803327 -0.00791997371719 -0.29216896505 23 14
0.2 -0.0097484504832 -0.499683560649 -0.015815971799 -0.291595753028 22 15
0.3 -0.0145990279282 -0.499289425982 -0.0236641547465 -0.290643264614 23 14
0.4 -0.019421434651 -0.498740288982 -0.0314409514312 -0.289315777381 23 14
0.5 -0.0242066216951 -0.498038766875 -0.0391231923549 -0.287619240468 24 14
0.6 -0.0289458246881 -0.497188175771 -0.0466882373729 -0.28556123548 24 14
0.7 -0.0336306300358 -0.496192496645 -0.054114101889 -0.283150926474 23 14
0.8 -0.0382530324489 -0.495056334536 -0.0613795759213 -0.280399000902 24 14
0.9 -0.0428054907134 -0.493784868055 -0.0684643393509 -0.277317598771 24 15
1 -0.0472809735063 -0.492383799996 -0.075349068982 -0.273920236188 23 17
1.1 -0.0516730020392 -0.490859298563 -0.0820155388124 -0.270221716489 24 14
1.2 -0.0559756835675 -0.489217937782 -0.0884467130223 -0.266238036248 23 14
1.3 -0.0601837385965 -0.487466634783 -0.0946268292108 -0.26198628415 22 14
1.4 -0.0642925204432 -0.485612585114 -0.10054147302 -0.257484533042 22 14
1.5 -0.0682980271513 -0.483663197845 -0.106177643438 -0.252751726996 23 14
1.6 -0.0721969065067 -0.48162603085 -0.111523807027 -0.247807565349 22 14
1.7 -0.0759864535802 -0.47950872775 -0.116569944339 -0.242672379981 22 14
1.8 -0.0796646021046 -0.477318955531 -0.12130758425 -0.237367014002 23 14
1.9 -0.083229908047 -0.475064347742 -0.125729824988 -0.231912697887 22 14
2 -0.086681529921 -0.472752448121 -0.129831351347 -0.226330923598 22 14
2.1 -0.090019202107 -0.470390658078 -0.133608437381 -0.220643318803 23 14
2.2 -0.0932432039916 -0.467986192336 -0.137058938414 -0.214871525404 23 14
2.3 -0.0963543258084 -0.465546035894 -0.140182274868 -0.209037076387 22 14
2.4 -0.0993538308201 -0.463076907602 -0.142979405211 -0.20316127721 23 14
2.5 -0.102243415721 -0.460585228752 -0.145452791137 -0.197265091081 23 14
2.6 -0.105025169317 -0.458077097479 -0.147606352172 -0.19136902819 23 14
2.7 -0.107701529927 -0.455558267218 -0.149445412981 -0.18549303952 24 14
