# Fbr_dyn timestep cost, layout=block L=1000 U=0.1 dt=0.1 tol=1e-10 epsilon_M=0, one thread
# setup: to_star 0.540973 s, Fbr_dyn constructor 0.104182 s
# times in seconds; total = buildK+plan+applyK+applyfb+tdvp
# t n_active chi ngates buildK plan applyK applyfb tdvp total
0.1 8 3 1000 0.0418034 0.00169127 0.0252606 0.0542287 0.160278 0.283262
0.2 8 4 1010 0.0397745 0.00215235 0.0265505 0.0453733 0.165081 0.278932
0.3 8 4 1010 0.0421316 0.00173109 0.0255122 0.199001 0.167305 0.43568
0.4 8 4 1010 0.0392829 0.0017804 0.0256442 0.045401 0.169312 0.28142
0.5 8 4 1010 0.0390537 0.00179259 0.0261391 0.045978 0.168878 0.281841
0.6 8 4 1010 0.0390692 0.00205781 0.0260566 0.045834 0.167735 0.280753
0.7 8 4 1010 0.0386781 0.00178323 0.0250288 0.0451775 0.169003 0.27967
0.8 8 4 1010 0.0389196 0.00304407 0.0252865 0.0451032 0.16821 0.280563
0.9 8 4 1010 0.0389972 0.00172862 0.025295 0.045234 0.167121 0.278375
1 8 4 1010 0.0388465 0.00277675 0.0252595 0.0451193 0.167845 0.279848
1.1 8 4 1010 0.0388025 0.00288879 0.0251821 0.0451982 0.167577 0.279648
1.2 8 4 1010 0.0389244 0.00254163 0.0251426 0.045415 0.167716 0.27974
1.3 8 4 1010 0.0389842 0.00275102 0.0251289 0.0451472 0.167777 0.279788
1.4 8 4 1010 0.0387531 0.00179651 0.0253053 0.0450036 0.168248 0.279107
1.5 8 4 1010 0.0391766 0.00206842 0.0256315 0.0451528 0.167955 0.279984
1.6 8 4 1010 0.0388829 0.00269884 0.0250089 0.0450518 0.16855 0.280192
1.7 8 4 1010 0.0386178 0.00174133 0.0251112 0.0455223 0.167932 0.278924
1.8 8 4 1010 0.0387248 0.00183007 0.0252244 0.0452121 0.168638 0.27963
1.9 8 4 1010 0.0387735 0.00182638 0.0254269 0.04528 0.168803 0.28011
2 8 4 1010 0.0387017 0.00180001 0.0252898 0.0450959 0.168239 0.279126
2.1 8 4 1010 0.0403758 0.00294546 0.0248958 0.0449616 0.167766 0.280944
2.2 8 4 1010 0.0385988 0.00258043 0.0250311 0.0448989 0.168327 0.279437
