bench_green_cost_siam_v2 L 40 U 0.025 dt 0.1 nStep 200 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
0  0.0646603 0.00451381 9 6   0.457204 0.00412956 16   1.06873e-08
0.1  0.0788095 0.00740316 10 6   0.477498 0.0046117 16   0.00013499
0.2  0.0722279 0.0097893 11 6   0.47853 0.00461987 16   1.55985e-05
0.3  0.0694131 0.0116199 9 6   0.477688 0.00459643 16   2.30327e-05
0.4  0.067891 0.0138451 10 6   0.478818 0.00465095 16   0.000367317
0.5  0.0649525 0.0157361 10 6   0.479808 0.00460052 16   5.05095e-05
0.6  0.0651517 0.0171682 9 6   0.479828 0.00462101 16   0.000485645
0.7  0.0674873 0.0173378 9 6   0.481773 0.00459987 16   0.000477412
0.8  0.0675681 0.017352 9 6   0.483198 0.00463075 16   0.000144801
0.9  0.0677629 0.0180701 9 6   0.483668 0.00461845 16   0.000159233
1  0.0674641 0.0196663 9 6   0.482803 0.00461486 16   8.93568e-05
1.1  0.0674925 0.0198741 9 6   0.483192 0.00462773 16   0.000103519
1.2  0.0678338 0.0204335 9 6   0.48283 0.00463728 16   0.000115635
1.3  0.0674604 0.0216475 9 6   0.481546 0.00460719 16   0.000127927
1.4  0.0674199 0.0228383 9 6   0.481777 0.0046066 16   0.000142523
1.5  0.0640518 0.0224147 9 6   0.482845 0.00466675 16   0.000134898
1.6  0.0641871 0.0216766 9 6   0.483579 0.00458726 16   0.000150219
1.7  0.0675928 0.0231375 10 6   0.484178 0.0046102 16   0.000185162
1.8  0.0718806 0.023888 10 6   0.484876 0.00460405 16   0.000198394
1.9  0.073657 0.0278975 10 6   0.485099 0.00464634 16   0.000224737
2  0.071027 0.0283576 11 6   0.4852 0.00460915 16   0.000223961
2.1  0.073901 0.0294108 10 6   0.486079 0.00462413 16   0.000237837
2.2  0.069256 0.0304137 10 6   0.485865 0.00463392 16   0.00024917
2.3  0.0715466 0.030735 12 6   0.485756 0.00461638 16   0.000261621
2.4  0.0675907 0.0310824 10 6   0.484665 0.00459298 16   0.000273538
2.5  0.0648572 0.0321238 10 6   0.485134 0.00460004 16   0.000285503
2.6  0.0684953 0.0324619 10 6   0.485165 0.00460207 16   0.000295322
2.7  0.0652565 0.0331858 10 6   0.485552 0.00462244 16   0.000304579
2.8  0.0729829 0.0335262 10 6   0.485838 0.00461258 16   0.000312603
2.9  0.0675008 0.0332127 10 6   0.485386 0.00462524 16   0.000227668
3  0.0673798 0.0322314 10 6   0.48616 0.00459902 16   0.00056296
3.1  0.0656444 0.0339974 11 6   0.487977 0.00460678 16   0.00059489
