# SIAM excitation B=c_0up^dag|gs> (normalized), method=fbr
# L=100 U=0.05 V=0.1 dt=0.1 tmax=50 cutoff=1e-10 max_bond_dim=1024
# E_gs=-30.9066415274 gs_n_active=20 gs_bond_dim=20 gs_wall_s=62.109355
# nrm=0.707106781131
# t  n_active  bond_dim  wall_s  n0up  n0dw  ReA  ImA
0 20 20 0.005489 1 0.599337229324 0 0
0.1 18 13 0.089326 0.999961953104 0.599327110912 0 0
0.2 17 12 0.081115 0.999847913222 0.599296771503 0 0
0.3 16 12 0.077689 0.999658181313 0.599246256034 0 0
0.4 16 11 0.075772 0.999393257941 0.599175635953 0 0
0.5 16 10 0.08619 0.999053840085 0.599085011134 0 0
0.6 17 10 0.08664 0.998640818704 0.598974509325 0 0
0.7 14 10 0.076485 0.998155273776 0.598844284998 0 0
0.8 14 10 0.082312 0.997598469918 0.598694518684 0 0
0.9 14 10 0.059301 0.996971849514 0.598525416634 0 0
1 14 10 0.081358 0.99627702691 0.598337209684 0 0
1.1 14 10 0.071136 0.995515780191 0.59813015181 0 0
1.2 14 11 0.07133 0.994690042843 0.597904519355 0 0
1.3 14 11 0.070068 0.993801895359 0.597660609668 0 0
1.4 13 11 0.070214 0.992853555101 0.597398739535 0 0
1.5 14 11 0.069028 0.991847366377 0.597119244281 0 0
1.6 14 11 0.071027 0.990785789353 0.596822475461 0 0
1.7 14 11 0.059966 0.98967138951 0.59650880006 0 0
1.8 14 11 0.060366 0.98850682564 0.596178598613 0 0
1.9 14 11 0.060878 0.987294837961 0.595832263644 0 0
2 14 11 0.070999 0.98603823611 0.595470198077 0 0
2.1 14 11 0.060792 0.984739886523 0.595092813478 0 0
2.2 14 11 0.072407 0.983402700277 0.594700528625 0 0
2.3 14 11 0.071788 0.982029619828 0.594293767758 0 0
2.4 15 11 0.071686 0.98062360705 0.593872959018 0 0
2.5 15 11 0.073924 0.979187631045 0.593438532977 0 0
2.6 15 11 0.073988 0.9777246555 0.592990920939 0 0
2.7 15 11 0.073556 0.976237626463 0.592530553531 0 0
2.8 15 11 0.084176 0.974729460994 0.59205785942 0 0
2.9 15 11 0.084582 0.973203035786 0.59157326389 0 0
3 15 11 0.073653 0.971661175457 0.591077187314 0 0
3.1 16 12 0.073694 0.970106642442 0.590570044354 0 0
3.2 16 12 0.064853 0.968542127087 0.590052242423 0 0
3.3 16 12 0.085706 0.966970237885 0.589524180964 0 0
3.4 16 12 0.085644 0.965393492614 0.588986250333 0 0
3.5 16 12 0.065855 0.963814309252 0.588438830918 0 0
3.6 16 12 0.075791 0.962235000593 0.587882292388 0 0
3.7 16 12 0.076116 0.960657765101 0.587316992862 0 0
3.8 16 12 0.065947 0.95908468317 0.58674327863 0 0
3.9 16 12 0.081353 0.95751771045 0.586161483271 0 0
4 16 11 0.076416 0.955958672725 0.585571927427 0 0
4.1 16 11 0.077126 0.954409262571 0.58497491842 0 0
4.2 16 11 0.087347 0.952871037375 0.58437075009 0 0
4.3 16 11 0.076654 0.951345415133 0.58375970266 0 0
4.4 16 11 0.076027 0.949833675409 0.583142042453 0 0
4.5 16 11 0.06537 0.948336957141 0.582518022248 0 0
4.6 16 11 0.077049 0.946856260912 0.581887880933 0 0
4.7 16 11 0.065718 0.945392446475 0.581251844086 0 0
4.8 16 11 0.065665 0.943946237988 0.580610123913 0 0
4.9 16 11 0.086562 0.942518224724 0.579962919589 0 0
5 16 11 0.065753 0.94110886465 0.579310417728 0 0
5.1 16 11 0.065631 0.939718488193 0.578652792833 0 0
5.2 16 11 0.075869 0.938347301525 0.577990207496 0 0
5.3 16 11 0.065608 0.93699539251 0.577322813108 0 0
5.4 16 11 0.086814 0.93566273708 0.576650750351 0 0
5.5 16 11 0.087378 0.934349203888 0.575974149655 0 0
5.6 16 11 0.087114 0.933054560554 0.575293131955 0 0
5.7 16 11 0.077565 0.931778481267 0.574607809219 0 0
5.8 16 11 0.077687 0.930520553274 0.573918285163 0 0
5.9 16 11 0.077152 0.929280284767 0.573224655875 0 0
6 16 11 0.077517 0.928057111744 0.57252701045 0 0
6.1 16 11 0.087476 0.926850405817 0.571825431974 0 0
6.2 16 11 0.087978 0.925659483156 0.571119997412 0 0
6.3 16 11 0.087733 0.924483611119 0.570410778853 0 0
6.4 15 11 0.064637 0.923322016833 0.569697844103 0 0
6.5 15 11 0.075198 0.922173895134 0.568981257275 0 0
6.6 15 12 0.075368 0.921038415448 0.568261079491 0 0
6.7 15 11 0.085172 0.919914730495 0.567537369311 0 0
6.8 15 11 0.075891 0.918801983749 0.566810183267 0 0
6.9 15 11 0.0752 0.917699315213 0.566079576605 0 0
7 15 13 0.085111 0.916605868835 0.565345603653 0 0
7.1 15 12 0.075336 0.915520800453 0.564608318116 0 0
7.2 15 12 0.085104 0.914443281143 0.563867773919 0 0
7.3 15 12 0.075032 0.913372508576 0.563124025247 0 0
7.4 15 11 0.085824 0.912307707174 0.56237712715 0 0
7.5 15 11 0.075272 0.911248132812 0.561627135618 0 0
7.6 15 11 0.075024 0.910193081815 0.56087410809 0 0
7.7 15 11 0.075046 0.909141891839 0.560118103537 0 0
7.8 15 11 0.074772 0.90809394598 0.559359182681 0 0
7.9 15 12 0.075377 0.907048676077 0.558597408156 0 0
8 15 11 0.08543 0.906005565027 0.557832844692 0 0
8.1 15 11 0.075408 0.904964149466 0.557065559043 0 0
8.2 15 11 0.075265 0.903924020476 0.5562956201 0 0
8.3 15 11 0.08441 0.902884825037 0.55552309899 0 0
8.4 15 11 0.075114 0.901846266348 0.554748068811 0 0
8.5 15 11 0.084666 0.900808104045 0.553970604746 0 0
8.6 15 11 0.085192 0.899770154528 0.553190783875 0 0
8.7 15 12 0.076241 0.898732289659 0.552408685037 0 0
8.8 15 11 0.086304 0.897694433708 0.551624388765 0 0
8.9 15 11 0.0859 0.896656564466 0.550837976982 0 0
9 16 11 0.078205 0.895618709369 0.550049533194 0 0
9.1 16 11 0.077609 0.894580943487 0.549259141215 0 0
9.2 16 11 0.077293 0.893543387615 0.548466886341 0 0
9.3 16 11 0.06708 0.892506204352 0.547672854498 0 0
9.4 16 11 0.077904 0.891469595172 0.54687713147 0 0
9.5 16 11 0.067981 0.890433797133 0.546079803296 0 0
9.6 16 11 0.077794 0.889399078282 0.5452809559 0 0
9.7 16 11 0.077649 0.888365735001 0.544480674841 0 0
