# SIAM impurity greater Green function, spin-symmetric FBR
# L=100 U=0.1 V=0.1 dt=0.1 tmax=50 E_gs=-30.9227535891
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
0 20 24 0.020297 0 -0.500000000084 0.500000000321 -0.230239581305 0 -1000 -1000
0.1 24 20 0.322085 -0.00323719762656 -0.499968734789 0.500000000334 -0.230239689927 2.93086357294e-10 -0.12644460707 -0.0616991411804
0.2 28 20 0.35533 -0.00647194271517 -0.499875007985 0.50000000038 -0.230239951042 1.17350249396e-09 -0.126444679142 -0.0617411066818
0.3 32 19 0.477811 -0.00970179166478 -0.499719026901 0.500000000418 -0.230240360936 1.28203362981e-09 -0.126444809616 -0.0618248846426
0.4 36 19 0.527993 -0.0129243194275 -0.499501135809 0.500000000468 -0.230240919782 1.63459716352e-09 -0.126444998187 -0.0619501841756
0.5 40 19 0.594225 -0.016137128329 -0.49922181424 0.500000000538 -0.230241622871 2.68638250111e-09 -0.126445243663 -0.0621165701427
0.6 44 19 0.644649 -0.019337856972 -0.498881674852 0.500000000635 -0.230242465124 4.58829381802e-09 -0.126445544275 -0.0623234662433
0.7 48 19 0.725925 -0.0225241894466 -0.498481460148 0.500000000743 -0.230243438837 5.20052462964e-09 -0.126445897058 -0.062570157986
0.8 52 19 0.76788 -0.0256938631993 -0.498022039163 0.50000000086 -0.230244539831 5.19340038617e-09 -0.126446300571 -0.062855794254
0.9 56 19 0.8646 -0.0288446776119 -0.497504403039 0.500000000965 -0.230245758811 3.7986652142e-09 -0.126446751332 -0.063179395494
1 60 20 0.848096 -0.0319745015357 -0.496929660216 0.500000001038 -0.230247089991 8.1794277601e-10 -0.126447247264 -0.0635398539094
1.1 64 19 1.03907 -0.0350812809057 -0.496299031218 0.500000001018 -0.230248523679 -4.29767882024e-09 -0.126447784704 -0.0639359439891
1.2 68 19 1.146188 -0.0381630451906 -0.495613842941 0.500000000888 -0.230250051528 -1.0506665195e-08 -0.12644836052 -0.064366323912
