bench_green_cost_siam_v2 L 160 U 0.025 dt 0.1 nStep 800 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
0  0.207163 0.0123062 12 6   2.19677 0.0166461 24   3.91041e-07
0.1  0.208821 0.0162818 12 6   2.28514 0.0187521 24   9.02533e-05
0.2  0.143062 0.0201661 12 6   2.28358 0.0187457 24   8.68059e-05
0.3  0.1431 0.0210271 12 6   2.28523 0.0187702 24   0.000138566
0.4  0.143514 0.0307686 10 6   2.2904 0.0187652 24   0.000807249
0.5  0.152449 0.0375096 10 6   2.28931 0.0187335 24   0.000357819
0.6  0.152198 0.0398838 10 6   2.28829 0.018877 24   0.000300299
0.7  0.140592 0.054032 10 6   2.29081 0.0187879 24   0.000677065
0.8  0.152392 0.0625629 9 6   2.29482 0.0188581 24   0.000465502
0.9  0.151018 0.0794341 9 6   2.29816 0.0188511 24   0.000439199
1  0.150407 0.0987796 9 6   2.29615 0.0188257 24   0.00063088
1.1  0.150408 0.114773 9 6   2.29972 0.0188925 24   0.000659932
1.2  0.15081 0.116055 9 6   2.30242 0.0188459 24   0.00086571
1.3  0.150489 0.136922 9 6   2.30385 0.0189209 24   0.000835523
1.4  0.150733 0.1582 9 6   2.30452 0.0189539 24   0.000889448
1.5  0.150392 0.166449 9 6   2.30753 0.0188615 24   0.0007184
1.6  0.150282 0.182054 9 6   2.31456 0.0187905 24   0.00104797
1.7  0.150916 0.190965 9 6   2.31682 0.0188945 24   0.00079081
1.8  0.15066 0.204023 9 6   2.33324 0.0188266 24   0.0008878
1.9  0.15128 0.213966 9 6   2.32655 0.0188228 24   0.0009199
2  0.164982 0.214193 9 6   2.32511 0.0189514 24   0.00109866
2.1  0.152559 0.228066 9 6   2.32982 0.0188577 24   0.00101082
2.2  0.165436 0.237506 11 6   2.33153 0.0187918 24   0.00105048
2.3  0.141524 0.246263 11 6   2.33432 0.0189214 24   0.00105808
2.4  0.143526 0.249534 11 6   2.33236 0.0189181 24   0.00107981
2.5  0.14564 0.254853 11 6   2.33834 0.0189341 24   0.00111876
2.6  0.157559 0.254196 11 6   2.33604 0.0189213 24   0.00113785
2.7  0.166185 0.264428 11 6   2.45942 0.019774 24   0.00119834
2.8  0.151429 0.277599 11 6   2.45339 0.020027 24   0.00117752
2.9  0.16454 0.276374 11 6   2.44716 0.01986 24   0.00116933
3  0.148367 0.282052 9 6   2.44411 0.0197895 24   0.00123691
3.1  0.132599 0.279281 9 6   2.44325 0.0198298 24   0.00125676
3.2  0.132897 0.279611 9 6   2.45019 0.0195868 24   0.00127532
3.3  0.132213 0.282655 9 6   2.35683 0.0197467 24   0.00132176
3.4  0.12608 0.270325 9 6   2.33755 0.0188335 24   0.00134822
3.5  0.126157 0.273647 9 6   2.34133 0.018853 24   0.00138099
3.6  0.138954 0.271093 9 6   2.3382 0.0188223 24   0.00136525
3.7  0.177455 0.280226 9 6   2.33739 0.0188168 24   0.00132494
3.8  0.176663 0.280012 9 6   2.33586 0.0188836 24   0.00137847
3.9  0.177187 0.276699 9 6   2.33495 0.0189617 24   0.00139131
4  0.151544 0.289826 9 6   2.33764 0.0189255 24   0.00140057
4.1  0.177474 0.288062 10 6   2.33661 0.0187847 24   0.00138891
4.2  0.191443 0.296709 10 6   2.34288 0.0187899 24   0.00138705
4.3  0.19117 0.29787 10 6   2.34087 0.0189645 24   0.00141545
4.4  0.191567 0.297223 10 6   2.34504 0.0187463 24   0.00142197
4.5  0.168162 0.305264 10 6   2.34516 0.0188685 24   0.00143611
4.6  0.191672 0.301348 10 6   2.34819 0.0188881 24   0.00141318
4.7  0.180544 0.299435 10 6   2.34789 0.0188611 24   0.00142164
4.8  0.168075 0.297669 10 6   2.34816 0.0189829 24   0.00143711
4.9  0.180636 0.310725 10 6   2.35671 0.0188241 24   0.00143867
5  0.180935 0.318126 11 6   2.35683 0.0188331 24   0.00147513
5.1  0.157107 0.321842 11 6   2.3597 0.0188243 24   0.00149015
5.2  0.144975 0.326135 11 6   2.36538 0.0188386 24   0.00149338
5.3  0.144473 0.335418 11 6   2.36538 0.0188422 24   0.00161209
5.4  0.194933 0.344274 11 6   2.36581 0.0188709 24   0.00146409
5.5  0.144614 0.346098 11 6   2.36626 0.0187861 24   0.00148433
5.6  0.183292 0.367235 11 6   2.36996 0.0188195 24   0.00148041
5.7  0.183243 0.368214 11 6   2.37294 0.0188205 24   0.00145862
5.8  0.183327 0.371584 12 6   2.37537 0.018843 24   0.00145027
5.9  0.172915 0.379007 12 6   2.37751 0.0188553 24   0.00145328
6  0.172442 0.384782 12 6   2.37706 0.0188954 24   0.00144189
