bench_green_cost_siam_v2 L 160 U 0.025 dt 0.1 nStep 800 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
6.1  0.173148 0.404562 11 6   2.38058 0.0188429 24   0.0014297
6.2  0.171818 0.425772 11 6   2.37949 0.0188684 24   0.00142083
6.3  0.159042 0.420346 12 6   2.38064 0.0188345 24   0.0013468
6.4  0.172218 0.437714 12 6   2.37907 0.0188476 24   0.00138732
6.5  0.16077 0.463965 12 6   2.37853 0.0189246 24   0.00136553
6.6  0.161949 0.476496 12 6   2.38032 0.0189649 24   0.0013374
6.7  0.175065 0.484355 12 6   2.37954 0.0189144 24   0.00129322
6.8  0.161022 0.486522 12 6   2.38296 0.0189206 24   0.0012799
6.9  0.148037 0.519289 12 6   2.38431 0.0188233 24   0.00126046
7  0.173344 0.536106 12 7   2.38778 0.0188949 24   0.00123344
7.1  0.186257 0.533143 12 7   2.39249 0.0189609 24   0.0012067
7.2  0.161314 0.544042 12 7   2.39389 0.0189311 24   0.00115028
7.3  0.174151 0.549044 12 7   2.39304 0.0189268 24   0.00114261
7.4  0.186628 0.567374 12 7   2.39557 0.0189353 24   0.00111188
7.5  0.174353 0.581993 12 7   2.39704 0.0188437 24   0.00105736
7.6  0.186018 0.570793 12 7   2.40038 0.0188444 24   0.00102026
7.7  0.198092 0.57869 12 7   2.3993 0.0189208 24   0.000968235
7.8  0.197894 0.596347 12 7   2.40487 0.0188902 24   0.000839666
7.9  0.185882 0.602907 12 7   2.40104 0.0188827 24   0.00089348
8  0.186125 0.622719 12 7   2.40304 0.0189248 24   0.000839132
8.1  0.174659 0.608959 12 7   2.40442 0.0189119 24   0.000796203
8.2  0.174437 0.657938 12 7   2.40562 0.0188237 24   0.000764848
8.3  0.174351 0.649783 12 7   2.40695 0.0188412 24   0.000739376
8.4  0.199205 0.651415 12 7   2.4055 0.0188823 24   0.000696189
8.5  0.187421 0.669384 12 7   2.40829 0.0188379 24   0.000632777
8.6  0.210916 0.654465 12 7   2.40838 0.0188775 24   0.000620924
8.7  0.198559 0.645702 12 7   2.40874 0.0189244 24   0.000692281
8.8  0.187735 0.654218 12 7   2.41098 0.0189413 24   0.000581428
8.9  0.187423 0.670994 12 7   2.41262 0.018965 24   0.00056972
9  0.211392 0.682354 12 7   2.41374 0.0188122 24   0.000568723
9.1  0.187784 0.675021 12 7   2.41504 0.0189049 24   0.000581024
9.2  0.175056 0.658839 12 7   2.41619 0.0188906 24   0.00059102
9.3  0.200119 0.676318 12 7   2.41758 0.0188715 24   0.000595655
9.4  0.186927 0.660986 12 7   2.42197 0.018884 24   0.000635587
9.5  0.188497 0.679113 12 8   2.4209 0.0189613 24   0.000645043
9.6  0.174976 0.675728 12 8   2.4222 0.0190281 24   0.000680032
9.7  0.188177 0.689473 12 8   2.42729 0.0188938 24   0.000721063
9.8  0.188543 0.657868 12 8   2.42752 0.0189218 24   0.00076288
9.9  0.188098 0.689167 12 8   2.43099 0.0188349 24   0.000801764
10  0.163775 0.71188 12 8   2.43284 0.0189141 24   0.000851376
10.1  0.176785 0.703427 12 8   2.43224 0.0189632 24   0.000884707
10.2  0.176571 0.698032 12 8   2.43624 0.0189025 24   0.000932504
10.3  0.175672 0.696455 12 8   2.43915 0.0188965 24   0.000977628
10.4  0.175912 0.732834 12 8   2.44566 0.0189942 24   0.00102431
10.5  0.150047 0.746465 12 8   2.43921 0.0188906 24   0.00107003
10.6  0.163612 0.761122 12 8   2.44015 0.0189413 24   0.00111116
10.7  0.175565 0.748829 12 8   2.44756 0.0189844 24   0.00116004
10.8  0.175934 0.736516 12 8   2.44874 0.0189527 24   0.00120933
10.9  0.175599 0.713966 12 8   2.45436 0.0189864 24   0.00126078
11  0.150244 0.749388 12 8   2.45108 0.0189349 24   0.0013059
11.1  0.163907 0.761756 12 8   2.45506 0.0189359 24   0.00135414
11.2  0.163635 0.751953 12 8   2.46063 0.0189197 24   0.00140516
11.3  0.176043 0.763412 12 8   2.45948 0.0189714 24   0.00145311
11.4  0.163368 0.757492 12 8   2.46255 0.0189689 24   0.00149706
11.5  0.151106 0.752441 12 8   2.46397 0.0189374 24   0.00153652
11.6  0.163304 0.766986 12 8   2.46994 0.019005 24   0.00158388
11.7  0.151267 0.794059 12 8   2.47273 0.0190081 24   0.00162455
11.8  0.163241 0.780138 12 8   2.47322 0.0189175 24   0.00167083
11.9  0.164561 0.774254 12 8   2.47364 0.0189423 24   0.00171656
12  0.15153 0.801343 12 8   2.47728 0.0189862 24   0.00175365
12.1  0.151344 0.797622 12 8   2.47958 0.0190788 24   0.00178809
12.2  0.178196 0.748928 12 8   2.48055 0.019014 24   0.00184347
12.3  0.190176 0.794484 12 8   2.48228 0.0190019 24   0.0018676
12.4  0.176976 0.764556 12 8   2.48181 0.0189521 24   0.00188858
12.5  0.164822 0.813616 12 8   2.48269 0.0189794 24   0.00194472
12.6  0.178049 0.808406 12 8   2.48673 0.0190019 24   0.00196591
12.7  0.201812 0.801305 12 8   2.48295 0.0189919 24   0.00200421
12.8  0.151552 0.805976 12 8   2.48229 0.0189762 24   0.00205444
12.9  0.190386 0.780667 12 8   2.48143 0.0190156 24   0.00205903
13  0.178884 0.813827 12 8   2.4828 0.0189927 24   0.00209357
13.1  0.163976 0.837279 12 9   2.48052 0.0190604 24   0.00212491
13.2  0.189495 0.853188 12 9   2.48402 0.0190046 24   0.00215065
13.3  0.176679 0.830506 12 9   2.48501 0.0190496 24   0.00217649
13.4  0.176793 0.832999 12 9   2.48446 0.0190339 24   0.00218572
13.5  0.202568 0.865286 12 9   2.4848 0.0189557 24   0.00219783
13.6  0.189157 0.833799 12 10   2.48658 0.0191127 24   0.00222018
13.7  0.18925 0.851399 12 10   2.48403 0.019075 24   0.00221819
13.8  0.176822 0.865366 12 10   2.4871 0.0189037 24   0.00224355
13.9  0.190941 0.873365 12 10   2.49009 0.0190571 24   0.00225848
14  0.151832 0.834681 12 10   2.49006 0.0189796 24   0.00227632
14.1  0.179105 0.85065 12 10   2.49069 0.018967 24   0.00226102
14.2  0.165561 0.838639 12 10   2.49309 0.018979 24   0.00230531
14.3  0.165534 0.871813 12 10   2.49674 0.0189631 24   0.00228552
14.4  0.165431 0.861819 12 10   2.49553 0.0189556 24   0.00233145
14.5  0.179059 0.845055 12 10   2.49692 0.0189434 24   0.00231943
14.6  0.191427 0.871963 12 9   2.49794 0.0190226 24   0.00232205
14.7  0.177769 0.832282 12 9   2.49865 0.018953 24   0.00235365
14.8  0.190807 0.89227 12 9   2.49694 0.0190691 24   0.00233453
14.9  0.190881 0.879119 12 9   2.50464 0.0190113 24   0.00232047
15  0.20371 0.921918 12 9   2.50096 0.0189647 24   0.00236244
15.1  0.177435 0.952741 12 9   2.50068 0.0189321 24   0.00233552
15.2  0.179483 0.883217 12 9   2.51538 0.0191065 24   0.00233272
15.3  0.19143 0.835739 12 9   2.50711 0.0190089 25   0.0023216
15.4  0.191432 0.894075 12 9   2.51952 0.0191079 25   0.00234845
15.5  0.203058 0.911865 12 9   2.5112 0.0190114 25   0.00235381
15.6  0.179379 0.956177 12 9   2.51484 0.0190129 25   0.00235667
15.7  0.165812 0.937724 12 9   2.5192 0.01905 25   0.00235664
15.8  0.165459 0.878586 12 9   2.51788 0.0190598 25   0.00236228
15.9  0.16564 0.931688 12 9   2.52182 0.0190235 25   0.0023552
16  0.203135 0.941903 12 9   2.52113 0.0189982 25   0.00234173
16.1  0.203732 0.972097 12 9   2.51864 0.0188978 25   0.00234554
16.2  0.204045 0.928831 12 9   2.5197 0.019044 25   0.00233714
16.3  0.15297 0.964441 12 9   2.52837 0.0190438 25   0.00235438
16.4  0.165859 1.02106 12 9   2.51909 0.0192199 25   0.00235637
16.5  0.165597 0.912397 12 9   2.51892 0.0190543 25   0.0023849
16.6  0.165729 0.940919 12 9   2.51783 0.0190221 25   0.00237287
16.7  0.191295 0.958724 12 9   2.52037 0.0190407 25   0.0023622
16.8  0.191104 0.954864 12 9   2.51955 0.0190651 25   0.00236548
16.9  0.165585 0.988687 12 9   2.52149 0.0189602 25   0.00236271
17  0.203449 0.950725 12 9   2.52399 0.0190088 25   0.00239664
17.1  0.202598 0.977511 12 9   2.52373 0.0190365 26   0.00240244
17.2  0.191859 0.978245 12 9   2.52114 0.0190516 26   0.00241474
17.3  0.19168 0.964564 12 9   2.5233 0.0189826 26   0.00240436
17.4  0.214842 0.97315 12 9   2.526 0.0190281 26   0.00242659
17.5  0.177187 1.00062 12 9   2.52539 0.0190318 26   0.00245543
17.6  0.189252 0.980094 12 9   2.52443 0.0189818 26   0.0024538
17.7  0.164136 0.972051 12 9   2.52859 0.0189184 26   0.0024703
17.8  0.191155 0.990358 12 9   2.52888 0.0190429 26   0.00248569
17.9  0.190252 0.964658 12 9   2.52884 0.0190197 26   0.00250172
18  0.203361 0.983436 12 9   2.5551 0.0191387 26   0.00251241
18.1  0.179097 0.985352 12 9   2.52978 0.0190489 26   0.00254802
18.2  0.190465 0.974067 12 9   2.53003 0.0190091 26   0.00255026
18.3  0.165219 0.968231 12 9   2.52974 0.0189728 26   0.00254543
18.4  0.166763 1.00187 12 9   2.53265 0.0190204 26   0.00254665
18.5  0.165672 1.02411 12 9   2.53293 0.0190048 26   0.0025398
18.6  0.19086 1.00052 12 9   2.53154 0.0189276 26   0.00263499
18.7  0.191033 1.05881 12 9   2.53394 0.019029 26   0.002628
18.8  0.165774 1.02285 12 9   2.53394 0.018948 26   0.0026692
18.9  0.202954 0.992647 12 9   2.53362 0.0190507 26   0.00267916
19  0.177443 1.01271 12 9   2.53476 0.0191268 26   0.00270908
19.1  0.202892 1.02708 12 9   2.53712 0.018936 26   0.00274571
19.2  0.165868 1.051 12 9   2.53681 0.019034 27   0.00274268
19.3  0.164426 1.01007 12 9   2.53563 0.0191153 27   0.00275186
19.4  0.138771 1.03334 12 9   2.53803 0.0190118 27   0.00277847
19.5  0.165405 1.07165 12 9   2.53916 0.0190172 27   0.00285616
19.6  0.151783 1.08727 12 9   2.53834 0.0189752 27   0.00279434
19.7  0.165747 1.08655 12 9   2.53797 0.0189755 27   0.00280528
19.8  0.165921 1.03004 12 9   2.54006 0.0189643 27   0.00284713
19.9  0.166049 1.04226 12 9   2.53879 0.0190548 27   0.00286167
20  0.165636 1.06245 12 9   2.54151 0.0189479 27   0.00289472
20.1  0.165717 1.09728 12 9   2.5424 0.0190968 27   0.0028712
20.2  0.165533 1.0814 12 9   2.54268 0.019013 27   0.00288079
20.3  0.151993 1.04777 12 9   2.54132 0.0189887 27   0.00290837
20.4  0.138659 1.12517 12 9   2.54231 0.0190106 27   0.00292086
20.5  0.190144 1.07816 12 9   2.54373 0.019091 27   0.00293704
20.6  0.164904 1.10431 12 9   2.54199 0.0190662 27   0.00290046
20.7  0.203149 1.12871 12 9   2.5415 0.0189502 27   0.00294312
20.8  0.177139 1.14125 12 9   2.54141 0.0190186 27   0.00294726
20.9  0.190338 1.16499 12 9   2.54177 0.0190904 27   0.00294403
21  0.190745 1.1116 12 9   2.54027 0.0190195 27   0.00300346
21.1  0.202422 1.08086 12 9   2.54037 0.0190519 27   0.00297977
21.2  0.151417 1.08551 12 9   2.54146 0.019025 27   0.00297733
21.3  0.191584 1.07572 12 9   2.5436 0.0190672 27   0.00295901
21.4  0.177182 1.07564 12 9   2.54346 0.0189676 28   0.00297622
21.5  0.190502 1.11426 12 9   2.54334 0.0190254 28   0.00298803
21.6  0.178425 1.09432 12 9   2.54613 0.0190195 28   0.00298335
21.7  0.178238 1.15615 12 9   2.54508 0.0190241 28   0.00298359
21.8  0.190295 1.10245 12 9   2.54818 0.0190463 28   0.00297598
21.9  0.178457 1.11476 12 9   2.54725 0.0190507 28   0.00295525
22  0.176961 1.03512 12 9   2.54838 0.0190207 28   0.00301623
22.1  0.1768 1.04612 12 9   2.54881 0.0190766 28   0.00301126
22.2  0.202065 1.1212 12 9   2.55245 0.0191099 28   0.00292504
22.3  0.176828 1.10111 12 9   2.55096 0.0190818 28   0.00291689
22.4  0.189549 1.05198 12 9   2.55173 0.0190033 28   0.00305382
22.5  0.176433 1.04444 12 9   2.55024 0.0190412 28   0.00309543
22.6  0.20237 1.12941 12 9   2.55195 0.0191094 28   0.00293657
22.7  0.189251 1.03634 12 9   2.55352 0.0190554 28   0.00291754
22.8  0.201866 1.03861 12 9   2.55262 0.0190426 28   0.00292112
22.9  0.203461 1.08995 12 9   2.55296 0.0190333 28   0.00289884
23  0.189391 1.16674 12 9   2.55522 0.0190712 28   0.00282649
23.1  0.190277 1.09585 12 9   2.55268 0.0190421 28   0.00287429
23.2  0.189156 1.05941 12 9   2.55162 0.0191221 28   0.00280013
23.3  0.190322 1.10533 12 9   2.55433 0.0190281 28   0.00281638
23.4  0.176391 1.10914 12 9   2.55317 0.019054 28   0.00282771
23.5  0.190644 1.06784 12 9   2.55684 0.0190937 28   0.00280031
23.6  0.21428 1.01874 12 9   2.55583 0.0190408 28   0.00272763
23.7  0.1783 1.04815 12 9   2.55377 0.0190049 28   0.0027697
23.8  0.203682 1.17018 12 9   2.55077 0.0189599 28   0.00276843
23.9  0.203725 1.067 12 9   2.54986 0.0189634 28   0.00267754
24  0.19142 1.0658 12 9   2.54854 0.0190493 28   0.00272377
24.1  0.204426 1.0639 12 9   2.56911 0.0190296 28   0.00268242
24.2  0.180182 1.1276 12 9   2.56663 0.01914 28   0.00271249
24.3  0.17839 1.16957 12 9   2.55517 0.0190027 28   0.00266668
24.4  0.191345 1.112 12 9   2.55715 0.0191408 28   0.0026307
24.5  0.178649 1.07576 12 9   2.55804 0.0191205 28   0.00268535
24.6  0.178586 1.02714 12 9   2.5593 0.0190785 28   0.00272391
24.7  0.164823 1.05188 12 9   2.55789 0.0190061 28   0.00272505
24.8  0.178652 1.08851 12 9   2.55864 0.0189525 28   0.00272197
24.9  0.178277 1.18221 12 9   2.55693 0.0190461 28   0.00272849
25  0.165896 1.11835 12 9   2.55664 0.0190448 28   0.00274153
25.1  0.165861 1.08365 12 9   2.55961 0.0190478 28   0.00273166
25.2  0.164947 1.08305 12 9   2.55793 0.019029 29   0.00273095
25.3  0.153835 1.07103 12 9   2.55931 0.0191112 29   0.0026918
25.4  0.153118 1.05798 12 9   2.56211 0.01904 29   0.00272876
25.5  0.179214 1.06224 12 9   2.56318 0.0189929 29   0.00270924
25.6  0.166676 1.1594 12 9   2.56334 0.0190422 29   0.00272875
25.7  0.166807 1.20943 12 9   2.5653 0.0190668 29   0.00271047
25.8  0.166302 1.05961 12 9   2.56794 0.01905 29   0.00273517
25.9  0.16568 1.0688 12 9   2.56829 0.0190585 29   0.00275715
26  0.178771 1.0878 12 9   2.56873 0.0190383 29   0.00275716
26.1  0.152999 1.19262 12 9   2.56955 0.0189433 29   0.00273199
26.2  0.179559 1.20894 12 9   2.57056 0.0190189 29   0.00276466
26.3  0.166589 1.17482 12 9   2.57209 0.0190451 29   0.00272634
26.4  0.178887 1.02967 12 9   2.57374 0.0191215 29   0.0029034
26.5  0.165222 1.10629 12 9   2.57452 0.019106 29   0.00289113
26.6  0.204464 1.153 12 9   2.57383 0.0191025 29   0.00286895
26.7  0.165929 1.1954 12 9   2.57491 0.0190417 29   0.00290169
26.8  0.179461 1.22872 12 9   2.57284 0.0190568 29   0.00294029
26.9  0.179606 1.07528 12 9   2.57231 0.0191456 29   0.00289241
27  0.191267 1.14345 12 9   2.57198 0.0190491 29   0.00286487
27.1  0.191627 1.14336 12 9   2.57135 0.0190415 29   0.00285059
27.2  0.203835 1.09222 12 9   2.57144 0.0191053 30   0.00292489
27.3  0.203893 1.10413 12 9   2.57157 0.0189159 30   0.00296037
27.4  0.192456 1.29554 13 9   2.57474 0.0190821 30   0.00280952
27.5  0.168371 1.15602 13 9   2.57374 0.0190718 30   0.00298772
27.6  0.192779 1.08593 13 9   2.5746 0.0190077 30   0.00298807
27.7  0.180972 1.12855 13 9   2.57354 0.0190154 30   0.00299796
27.8  0.19421 1.12244 13 9   2.5744 0.0189949 30   0.00302162
27.9  0.182092 1.14271 13 9   2.57509 0.0190292 31   0.00301555
28  0.180407 1.12605 12 9   2.57489 0.0189936 31   0.00297621
28.1  0.192473 1.1426 12 9   2.57596 0.019026 31   0.00301158
28.2  0.192183 1.14379 12 9   2.57913 0.0190354 31   0.0030179
28.3  0.192172 1.13802 12 9   2.5801 0.0189686 31   0.00306159
28.4  0.178438 1.15206 12 9   2.57867 0.0190314 31   0.00309786
28.5  0.190216 1.24685 12 9   2.57891 0.0190764 31   0.00308933
28.6  0.204577 1.14098 13 9   2.57831 0.0190564 31   0.00303433
28.7  0.192838 1.12663 12 9   2.5786 0.0190761 31   0.00311789
28.8  0.179373 1.25613 12 9   2.57929 0.0190449 31   0.00312076
28.9  0.180962 1.24866 12 9   2.57855 0.0189796 31   0.00332275
29  0.167872 1.18028 12 9   2.57658 0.0190599 31   0.0031735
29.1  0.193421 1.16092 12 9   2.5767 0.0190601 31   0.00312764
29.2  0.193245 1.12569 12 9   2.57715 0.0190817 31   0.00308081
29.3  0.19255 1.13442 13 9   2.57777 0.0189955 31   0.00306555
29.4  0.16884 1.16515 13 9   2.58062 0.0190277 31   0.0030674
29.5  0.206499 1.13597 13 9   2.57895 0.0190436 31   0.0030193
29.6  0.155666 1.17645 13 9   2.57876 0.018977 32   0.00291452
29.7  0.182443 1.17333 13 9   2.57936 0.0190055 32   0.00292698
29.8  0.169059 1.19811 13 9   2.57795 0.0190021 32   0.00318325
29.9  0.182145 1.24916 13 9   2.57742 0.0189335 32   0.00306308
30  0.155654 1.14268 14 9   2.57631 0.0190623 32   0.00310136
30.1  0.196334 1.10812 14 9   2.57667 0.019052 32   0.00314531
30.2  0.17042 1.18296 14 9   2.57871 0.0190478 32   0.00319191
30.3  0.196259 1.18215 14 9   2.57959 0.0190279 32   0.00310769
30.4  0.171093 1.22202 14 9   2.58071 0.0189312 33   0.00327508
30.5  0.171106 1.27104 14 9   2.5815 0.0190258 33   0.00302525
30.6  0.197822 1.276 14 9   2.5833 0.0191006 33   0.00321424
30.7  0.184903 1.10221 14 9   2.58041 0.0188973 33   0.00238472
30.8  0.171095 1.17134 14 9   2.58051 0.0191225 33   0.00319768
30.9  0.182942 1.14072 14 9   2.58429 0.0190773 33   0.00314274
31  0.171099 1.14547 14 9   2.58185 0.0190674 33   0.0031444
31.1  0.15769 1.13354 14 9   2.58396 0.0190285 33   0.00316778
31.2  0.196394 1.12766 14 9   2.58596 0.0190287 34   0.00318447
31.3  0.145085 1.13352 14 9   2.58702 0.0190012 34   0.00318313
31.4  0.183867 1.11882 13 9   2.58291 0.019033 34   0.0031924
31.5  0.181709 1.13497 13 9   2.5836 0.0190248 34   0.00330369
31.6  0.18257 1.2942 13 9   2.58472 0.0190828 34   0.00326775
31.7  0.206567 1.15523 13 9   2.58354 0.0191205 34   0.00319746
31.8  0.183144 1.18886 13 9   2.58154 0.0191407 34   0.0031726
31.9  0.19399 1.21621 13 9   2.58242 0.0191053 34   0.00326786
32  0.1807 1.19133 13 9   2.58304 0.0189483 34   0.00324597
32.1  0.182173 1.19393 13 9   2.5834 0.0190539 34   0.00320142
32.2  0.19416 1.07089 13 9   2.58506 0.0190996 34   0.00339519
32.3  0.206358 1.2064 13 9   2.58712 0.0190464 34   0.00354446
32.4  0.168536 1.12113 13 9   2.58468 0.0190259 34   0.00340799
32.5  0.180973 1.16263 13 9   2.58699 0.0190862 34   0.00321905
32.6  0.167972 1.21177 13 9   2.58771 0.0190536 34   0.00360919
32.7  0.181956 1.33394 13 9   2.58811 0.0191019 34   0.0033076
32.8  0.168542 1.24966 13 9   2.58905 0.0190085 34   0.00325636
32.9  0.205904 1.17935 13 9   2.58912 0.0190892 34   0.00330775
33  0.181166 1.21109 13 9   2.58772 0.0190648 34   0.00329637
33.1  0.181357 1.21227 13 9   2.5907 0.0190259 34   0.00333132
33.2  0.193462 1.16837 13 9   2.59142 0.0190513 34   0.00335498
33.3  0.19382 1.11772 13 9   2.59056 0.0190037 34   0.00332163
33.4  0.192005 1.11209 13 9   2.59056 0.0190496 34   0.00331976
33.5  0.20576 1.16128 13 9   2.59118 0.0189537 34   0.0033369
33.6  0.193202 1.11491 13 9   2.58994 0.0190624 34   0.003339
33.7  0.18038 1.2507 13 9   2.59083 0.0190768 34   0.00348997
33.8  0.194022 1.23906 13 9   2.59032 0.0190443 34   0.00335717
33.9  0.180367 1.2406 13 9   2.59264 0.0190809 34   0.00345317
34  0.1807 1.26016 13 9   2.58963 0.01911 34   0.00346583
34.1  0.168289 1.21437 13 9   2.59197 0.0189566 34   0.00378292
34.2  0.154794 1.30028 13 9   2.59351 0.0191258 34   0.00352396
34.3  0.180206 1.28205 13 9   2.5929 0.0190283 34   0.00354918
34.4  0.182106 1.29695 13 9   2.59242 0.0190226 35   0.00359524
34.5  0.181676 1.26103 13 9   2.59413 0.0190033 35   0.00356953
34.6  0.20624 1.25476 13 9   2.59536 0.0190729 35   0.00358566
34.7  0.181584 1.28881 13 9   2.5949 0.0189534 35   0.00360118
34.8  0.180276 1.2397 13 9   2.5972 0.0190336 35   0.00361815
34.9  0.18223 1.26976 13 9   2.59493 0.0190318 35   0.00356727
35  0.180427 1.24115 13 9   2.59448 0.0190673 35   0.00367953
35.1  0.181655 1.12712 13 9   2.59642 0.0189944 36   0.00357844
35.2  0.168585 1.27463 13 9   2.59653 0.0190589 36   0.00350125
35.3  0.181349 1.24904 13 9   2.59528 0.0190446 36   0.00365698
35.4  0.180498 1.2095 13 9   2.59682 0.018999 36   0.0035359
35.5  0.169365 1.254 13 9   2.59508 0.0190334 36   0.00349247
35.6  0.169387 1.34676 13 9   2.59507 0.0190106 36   0.00384283
35.7  0.155583 1.53128 13 10   2.59513 0.0189777 36   0.00383662
35.8  0.180994 1.32111 13 9   2.59729 0.0190506 36   0.00373288
35.9  0.155286 1.40905 13 9   2.59586 0.0189681 36   0.00376929
36  0.181247 1.25423 13 9   2.595 0.01897 36   0.00385951
36.1  0.168521 1.19977 13 9   2.59279 0.0190136 36   0.00410452
36.2  0.168798 1.2409 13 10   2.59134 0.0191435 36   0.00395635
36.3  0.180555 1.27758 13 9   2.59311 0.019018 36   0.00431493
36.4  0.181967 1.28864 13 9   2.59339 0.0190857 36   0.00395132
36.5  0.168428 1.35727 13 9   2.59202 0.0190527 36   0.00387221
36.6  0.193837 1.3802 13 9   2.59316 0.0190935 36   0.00386196
36.7  0.18125 1.15681 13 9   2.59169 0.0190125 36   0.004135
36.8  0.206338 1.27461 13 9   2.59062 0.0191022 36   0.00412687
36.9  0.20546 1.25322 13 9   2.59368 0.0190837 36   0.00390683
37  0.194182 1.29039 13 9   2.59207 0.0191014 36   0.00393383
37.1  0.168599 1.29449 13 9   2.5937 0.0190562 36   0.00404814
37.2  0.193954 1.19056 13 9   2.59181 0.0190512 36   0.00397906
37.3  0.181957 1.24444 13 9   2.59025 0.0189278 36   0.0042001
37.4  0.195029 1.3507 13 9   2.59054 0.0190468 36   0.00352613
