# SIAM ground state evolution, spin-symmetric FBR
# n0(t=0)=0.500000002492  E_gs(ref)=-30.8994525853
# t  n_active  bond_dim  wall_s  n0  energy
9.7 12 7 0.099517 0.500000041228 -0.105281203288
9.8 12 7 0.098899 0.500000040774 -0.105281352082
9.9 12 7 0.09892 0.500000040279 -0.105281494726
10 12 7 0.099027 0.50000003975 -0.105281629958
10.1 12 7 0.099689 0.500000039197 -0.105281756625
10.2 12 7 0.099374 0.500000038627 -0.105281873694
10.3 12 7 0.098625 0.500000038051 -0.105281980258
10.4 12 7 0.09881 0.500000037475 -0.105282075535
10.5 12 7 0.098454 0.50000003691 -0.10528215888
10.6 12 7 0.099188 0.500000036364 -0.10528222978
10.7 12 7 0.099671 0.500000035845 -0.105282287857
10.8 12 7 0.098861 0.500000035361 -0.10528233287
10.9 12 7 0.098879 0.500000034919 -0.105282364711
11 12 7 0.09889 0.500000034523 -0.105282382814
11.1 12 7 0.140923 0.500000034104 -0.105282388558
11.2 12 7 0.140442 0.500000033752 -0.105282381557
11.3 12 7 0.141655 0.500000033476 -0.105282362206
11.4 12 7 0.142446 0.500000033281 -0.105282331007
11.5 12 7 0.142119 0.500000033173 -0.105282288555
11.6 12 7 0.143225 0.500000033155 -0.105282235544
11.7 12 7 0.142009 0.500000033232 -0.105282172752
11.8 12 7 0.141318 0.500000033404 -0.105282101033
11.9 12 7 0.141658 0.500000033672 -0.105282021304
12 12 7 0.142083 0.500000034038 -0.105281934538
12.1 12 7 0.142675 0.500000034498 -0.10528184175
12.2 12 7 0.140929 0.500000035052 -0.105281743988
12.3 12 7 0.138535 0.500000035696 -0.105281642324
12.4 12 7 0.138009 0.500000036426 -0.105281537838
12.5 12 7 0.131884 0.500000037237 -0.105281431613
12.6 12 7 0.13406 0.500000038123 -0.105281324721
12.7 12 7 0.133338 0.500000039077 -0.105281218214
12.8 12 7 0.13249 0.500000040091 -0.105281113114
12.9 12 7 0.132332 0.500000041157 -0.105281010405
13 12 7 0.132817 0.500000042265 -0.105280911023
13.1 12 7 0.133395 0.500000043406 -0.105280815848
13.2 12 7 0.133255 0.500000044568 -0.105280725699
13.3 12 7 0.133327 0.500000045742 -0.105280641326
13.4 12 7 0.133418 0.500000046916 -0.105280563402
13.5 12 7 0.133243 0.500000048078 -0.105280492523
13.6 12 7 0.132898 0.500000049217 -0.105280429201
13.7 12 7 0.133415 0.50000005032 -0.105280373861
13.8 12 7 0.133433 0.500000051375 -0.10528032684
13.9 12 7 0.132675 0.500000052371 -0.105280288384
14 12 7 0.133283 0.500000053296 -0.105280258649
14.1 12 7 0.134143 0.500000054139 -0.105280237702
14.2 12 7 0.141215 0.500000054888 -0.105280225521
14.3 12 7 0.136046 0.500000055532 -0.105280221997
14.4 12 7 0.133986 0.500000056061 -0.105280226939
14.5 12 7 0.133215 0.500000056465 -0.105280240075
