# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.1 V=0.1 dt=0.1 tmax=250 E_gs=-158.24610064
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
0 28 59 0.57951 0 -0.499999999444 0.500000002067 -0.215328394494 0 -1000 -1000
0.1 32 45 1.801914 -0.00323609490463 -0.499968734336 0.500000002113 -0.215328502268 2.60136622746e-10 -0.121960176105 -0.05723685945
0.2 36 39 2.19824 -0.00646974340472 -0.499875007369 0.500000002159 -0.215328771139 4.29787296892e-09 -0.12196025085 -0.0572796848836
0.3 34 39 1.916428 -0.00969850766108 -0.499719025653 0.500000002449 -0.215329199025 2.05973521546e-08 -0.121960387914 -0.0573651798595
0.4 38 42 2.243319 -0.0129199675045 -0.499501132986 0.500000003285 -0.215329774739 5.24679878285e-08 -0.12196058304 -0.0574930503791
0.5 42 39 2.343481 -0.0161317318841 -0.499221807965 0.500000004936 -0.215330485146 9.61283705633e-08 -0.121960831666 -0.0576628557891
0.6 44 39 2.435961 -0.0193314437705 -0.498881662474 0.500000007525 -0.215331327126 1.44862756494e-07 -0.121961131067 -0.0578740103959
0.7 42 40 2.50975 -0.0225167933707 -0.498481437956 0.500000011018 -0.215332292266 1.90314687501e-07 -0.121961479484 -0.0581257874492
0.8 46 41 2.450665 -0.0256855239984 -0.498022002084 0.500000015349 -0.215333382667 2.31072529156e-07 -0.12196187757 -0.0584173213122
0.9 50 40 2.586407 -0.0288354405225 -0.497504344558 0.500000020425 -0.215334592866 2.66566455081e-07 -0.121962323494 -0.0587476145842
1 54 39 2.687962 -0.0319644171493 -0.496929572368 0.500000026134 -0.215335914297 2.95867810108e-07 -0.121962814078 -0.0591155430457
1.1 58 40 2.815859 -0.0350704053851 -0.496298904181 0.500000032335 -0.215337336962 3.17553349031e-07 -0.121963345578 -0.0595198599157
1.2 58 40 2.970339 -0.0381514402786 -0.495613664868 0.5000000389 -0.21533885325 3.32206380949e-07 -0.121963915134 -0.0599592023786
1.3 56 41 2.979885 -0.0412056474805 -0.49487527889 0.50000004568 -0.21534045285 3.39217907591e-07 -0.121964518842 -0.0604320987402
1.4 60 42 2.95643 -0.0442312490152 -0.494085263662 0.500000052516 -0.215342125992 3.37594258175e-07 -0.121965153101 -0.0609369756722
1.5 62 43 3.086461 -0.0472265687129 -0.493245222456 0.50000005923 -0.215343862008 3.27543624678e-07 -0.121965813655 -0.0614721659314
1.6 64 43 3.165076 -0.0501900374581 -0.492356836681 0.500000065658 -0.215345649792 3.08817758909e-07 -0.121966496306 -0.0620359166742
1.7 68 42 3.342638 -0.053120197106 -0.491421858185 0.500000071605 -0.215347478727 2.8116815104e-07 -0.121967196932 -0.0626263981425
1.8 72 43 3.592134 -0.0560157044327 -0.490442101206 0.500000076906 -0.215349337784 2.44787487621e-07 -0.121967911333 -0.0632417126764
1.9 76 44 3.634985 -0.0588753340994 -0.489419434046 0.500000081395 -0.215351215641 1.99709960884e-07 -0.12196863506 -0.0638799039403
2 78 44 3.716308 -0.0616979814502 -0.488355770591 0.500000084901 -0.215353100838 1.45713149352e-07 -0.121969363664 -0.0645389663668
2.1 82 45 4.2152 -0.0644826639908 -0.487253061759 0.500000087243 -0.215354982678 8.37980826401e-08 -0.121970092971 -0.0652168551016
2.2 86 43 3.829358 -0.0672285224366 -0.486113287145 0.500000088242 -0.215356850152 1.41721332606e-08 -0.12197081864 -0.0659114949617
2.3 90 43 4.343653 -0.0699348221646 -0.484938445586 0.500000087789 -0.215358692486 -6.32687051044e-08 -0.121971536395 -0.0666207904118
2.4 94 43 4.330702 -0.072600951732 -0.483730547513 0.500000085727 -0.215360499032 -1.46528524653e-07 -0.121972242099 -0.0673426384388
2.5 98 47 4.792405 -0.0752264234132 -0.482491606119 0.500000081942 -0.215362260645 -2.35919043894e-07 -0.121972932002 -0.0680749325793
