# SIAM excitation evolution, spin-symmetric FBR
# n0(t=0)=1  E_gs(ref)=-158.222021525
# t  n_active  bond_dim  wall_s  n0  energy
9.5 16 15 0.8544 0.533984094511 -0.0834468571162
9.6 16 15 0.862675 0.533597515163 -0.0832071514297
9.7 16 15 0.858144 0.533210216241 -0.0829669297299
9.8 16 15 0.863611 0.532822230708 -0.0827268397694
9.9 16 15 0.889007 0.532433592707 -0.0824875965129
10 16 15 0.86406 0.532044335493 -0.0822498664522
10.1 16 15 0.861245 0.531654491917 -0.0820142679174
10.2 16 15 0.864081 0.531264094324 -0.0817813726728
10.3 16 15 0.868065 0.530873174464 -0.0815517071479
10.4 16 15 0.86738 0.530481764844 -0.0813258656286
10.5 16 15 0.868786 0.530089894948 -0.081104334058
10.6 16 15 0.922398 0.529697592257 -0.08088732605
10.7 16 15 0.908719 0.529304883914 -0.0806752208654
10.8 16 15 0.908448 0.528911798586 -0.0804683715658
10.9 16 15 0.908279 0.52851836308 -0.0802671077388
11 16 15 0.888668 0.528124601177 -0.0800717425746
11.1 16 15 0.857921 0.527730538526 -0.0798825725641
11.2 16 15 0.885355 0.527336197131 -0.0796998849467
11.3 16 15 0.898578 0.526941600199 -0.0795239549617
11.4 16 15 0.908199 0.526546769153 -0.0793550555388
11.5 16 15 0.911691 0.526151724444 -0.0791934554037
11.6 16 15 0.907026 0.525756485505 -0.0790394222605
11.7 16 15 0.906199 0.525361069591 -0.0788932290259
11.8 16 15 0.900648 0.524965495654 -0.0787551500995
11.9 16 15 0.904432 0.524569780126 -0.0786254666074
12 16 15 0.891183 0.524173939344 -0.0785044647546
12.1 16 15 0.902553 0.523777987842 -0.078392438102
12.2 16 15 0.895942 0.523381942053 -0.0782896858222
12.3 16 15 0.895433 0.522985816293 -0.0781965132466
12.4 16 15 0.892837 0.52258962442 -0.0781132306848
12.5 16 15 0.893168 0.522193379803 -0.0780401523911
12.6 16 15 0.896495 0.521797095858 -0.0779775942248
12.7 16 15 0.901477 0.521400786175 -0.0779258727883
12.8 16 15 0.892882 0.521004463143 -0.0778853024147
12.9 16 15 0.896549 0.520608139586 -0.0778561948211
13 16 15 0.89541 0.520211828408 -0.0778388545684
13.1 16 15 0.885077 0.519815542654 -0.0778335756638
13.2 16 15 0.858408 0.519419295582 -0.0778406397653
13.3 16 15 0.861408 0.519023100732 -0.0778603132665
13.4 16 15 0.868041 0.518626971998 -0.0778928445763
13.5 16 15 0.850146 0.518230923686 -0.077938461448
13.6 16 15 0.864396 0.517834970571 -0.0779973684323
13.7 16 15 0.870365 0.517439127953 -0.0780697444904
13.8 16 15 0.866105 0.517043411448 -0.0781557407557
13.9 16 15 0.903645 0.516647837751 -0.0782554787871
14 16 15 0.90288 0.516252423975 -0.0783690484474
14.1 16 15 0.861017 0.515857187881 -0.0784965066727
14.2 16 15 0.864562 0.515462147906 -0.0786378762406
14.3 16 15 0.880206 0.515067323168 -0.0787931448699
14.4 16 15 0.870976 0.514672733475 -0.078962264611
14.5 16 15 0.872069 0.51427839931 -0.0791451515369
14.6 16 15 0.862198 0.513884341823 -0.0793416857207
14.7 16 15 0.864507 0.51349058263 -0.0795517113286
14.8 16 16 0.868988 0.513097144311 -0.0797750376669
14.9 16 16 0.875754 0.512704050214 -0.0800114395186
15 16 16 0.853762 0.512311323552 -0.0802606581727
15.1 16 16 0.85147 0.511918988384 -0.0805224029352
15.2 16 16 0.847975 0.511527069229 -0.0807963524569
15.3 16 16 0.872846 0.511135591013 -0.0810821563947
15.4 16 15 0.910119 0.510744579008 -0.0813794372187
15.5 16 15 0.860946 0.510354062571 -0.081687792426
15.6 16 15 0.867463 0.509964063774 -0.0820067956648
15.7 16 15 0.861271 0.509574608565 -0.0823359998118
15.8 16 15 0.867483 0.509185722993 -0.0826749387981
15.9 16 15 0.883426 0.508797433133 -0.0830231298188
16 16 15 0.857396 0.508409765021 -0.08338007554
16.1 16 15 0.861184 0.508022744592 -0.083745266291
16.2 16 15 0.858372 0.507636397605 -0.0841181822171
16.3 16 15 0.865776 0.50725074958 -0.0844982953829
16.4 16 15 0.868998 0.506865825758 -0.0848850717828
16.5 16 15 0.854417 0.506481651011 -0.085277973276
16.6 16 15 0.859223 0.506098249419 -0.0856764594958
16.7 16 15 0.867236 0.50571564528 -0.0860799893308
16.8 16 15 0.932783 0.505333862072 -0.0864880227167
