# t  n_active  bond_dim  wall_s  n0  drift
0 4 2 6.29999999999e-05 0.500000246358 0
0.1 4 2 0.024918 0.50000024633 2.8677624274e-09
0.2 4 2 0.017407 0.500000246244 5.73437779047e-09
0.3 4 2 0.024472 0.5000002461 8.59869945817e-09
0.4 4 2 0.017377 0.5000002459 1.14595817556e-08
0.5 4 2 0.02443 0.500000245642 1.431588037e-08
0.6 4 2 0.024448 0.500000245327 1.71664528073e-08
0.7 4 2 0.017361 0.500000244955 2.00101588676e-08
0.8 4 2 0.024587 0.500000244527 2.28458611088e-08
0.9 4 2 0.024434 0.500000244042 2.5672425287e-08
1 4 2 0.024423 0.5000002435 2.84887208246e-08
1.1 4 2 0.01737 0.500000242902 3.12936212464e-08
1.2 4 2 0.024473 0.500000242248 3.40860045727e-08
1.3 4 2 0.017404 0.500000241539 3.68647539205e-08
1.4 4 2 0.024473 0.500000240774 3.96287578009e-08
1.5 4 2 0.024409 0.500000239954 4.23769106829e-08
1.6 4 2 0.017327 0.500000239079 4.51081132809e-08
1.7 4 2 0.017398 0.50000023815 4.78212732085e-08
1.8 4 2 0.017353 0.500000237166 5.05153052328e-08
1.9 4 2 0.01732 0.500000236129 5.31891317288e-08
2 4 2 0.017348 0.500000235039 5.58416832249e-08
